model,baseline_correlation,baseline_correlation_previous_5run,mean_augmented_correlation,sd_augmented_correlation,n_above_baseline,n_below_or_equal_baseline,share_augmented_papers_below_baseline,share_augmented_papers_above_baseline,n_papers
Claude Sonnet 4.6,0.6644858192216249,0.639323353767395,0.6565721597854087,0.026075712401830535,768,1243,0.618100447538538,0.381899552461462,2011
GPT-5.1,0.6526169304695438,0.6670421361923218,0.5923407079829037,0.06705861189911991,321,1690,0.8403779214321233,0.1596220785678767,2011
GPT-4.1 Mini,0.6154436723939996,0.617575466632843,0.5951105026627346,0.05376990751771755,727,1284,0.6384883142715068,0.36151168572849324,2011
GPT-4.1,0.6145930323334075,0.5474886298179626,0.5859601126251678,0.04414090313517531,422,1589,0.7901541521631029,0.20984584783689708,2011
GPT-5 Nano,0.5984576014590571,0.533880352973938,0.5680689585290645,0.06499624885325028,452,1559,0.775236200895077,0.22476379910492295,2011
GPT-5 Mini,0.5616469732000592,0.5310258269309998,0.5627214019205347,0.059238567817883704,1102,909,0.4520139234211835,0.5479860765788165,2011
Gemini 2.5 Pro,0.3993819997213735,0.3572567403316498,0.5280198709236218,0.0938170666866812,1824,187,0.09298856290402785,0.9070114370959721,2011
