model,variant_id,correlation,baseline_correlation
Claude Sonnet 4.6,type_empirical__citation_q3__discipline_math_phys_cs,0.4596018493175506,0.639323353767395
Claude Sonnet 4.6,type_empirical__year_q2__discipline_math_phys_cs,0.491031140089035,0.639323353767395
Claude Sonnet 4.6,citation_q3__jcr_q4__discipline_psych_social,0.5178688168525696,0.639323353767395
Claude Sonnet 4.6,jcr_q4__year_q2__discipline_math_phys_cs,0.529600203037262,0.639323353767395
Claude Sonnet 4.6,citation_q3__jcr_q4__year_q2,0.532584547996521,0.639323353767395
Claude Sonnet 4.6,citation_q4_highest__jcr_q3__discipline_bio_evo,0.54004967212677,0.639323353767395
Claude Sonnet 4.6,year_q1_oldest,0.5508832931518555,0.639323353767395
Claude Sonnet 4.6,citation_q3__jcr_q4__discipline_math_phys_cs,0.555206298828125,0.639323353767395
Claude Sonnet 4.6,type_empirical__jcr_q4__year_q2,0.5552263855934143,0.639323353767395
Claude Sonnet 4.6,citation_q2__year_q1_oldest__discipline_bio_evo,0.5560463666915894,0.639323353767395
Claude Sonnet 4.6,citation_q3__jcr_q1__year_q1_oldest,0.5607702732086182,0.639323353767395
Claude Sonnet 4.6,type_theoretical__jcr_q2__year_q2,0.5614661574363708,0.639323353767395
Claude Sonnet 4.6,citation_q4_highest__jcr_q2__discipline_economics,0.5637942552566528,0.639323353767395
Claude Sonnet 4.6,type_empirical__citation_q3__jcr_q4,0.5750877857208252,0.639323353767395
Claude Sonnet 4.6,jcr_q4__year_q2,0.5810664892196655,0.639323353767395
Claude Sonnet 4.6,citation_q4_highest__jcr_q3__discipline_math_phys_cs,0.5814114809036255,0.639323353767395
Claude Sonnet 4.6,citation_q3__year_q2__discipline_math_phys_cs,0.5823270678520203,0.639323353767395
Claude Sonnet 4.6,citation_q4_highest__jcr_q3__year_q1_oldest,0.5828239321708679,0.639323353767395
Claude Sonnet 4.6,citation_q4_highest__jcr_q2__year_q1_oldest,0.583647608757019,0.639323353767395
Claude Sonnet 4.6,type_empirical__citation_q2__year_q1_oldest,0.5838671326637268,0.639323353767395
Claude Sonnet 4.6,type_empirical__jcr_q2__discipline_multidisciplinary,0.5849878787994385,0.639323353767395
Claude Sonnet 4.6,citation_q2__year_q3__discipline_other,0.5892335772514343,0.639323353767395
Claude Sonnet 4.6,jcr_q2__discipline_multidisciplinary,0.5905466079711914,0.639323353767395
Claude Sonnet 4.6,citation_q2__jcr_q3__discipline_math_phys_cs,0.5906367897987366,0.639323353767395
Claude Sonnet 4.6,type_empirical__citation_q1_lowest__year_q4_newest,0.5906691551208496,0.639323353767395
Claude Sonnet 4.6,type_empirical__year_q2__discipline_economics,0.5946102738380432,0.639323353767395
Claude Sonnet 4.6,citation_q4_highest__jcr_q2,0.5967284440994263,0.639323353767395
Claude Sonnet 4.6,citation_q4_highest__year_q1_oldest__discipline_math_phys_cs,0.5978647470474243,0.639323353767395
Claude Sonnet 4.6,citation_q3__jcr_q4,0.5982456803321838,0.639323353767395
Claude Sonnet 4.6,type_empirical__citation_q4_highest__year_q3,0.6003954410552979,0.639323353767395
Claude Sonnet 4.6,type_empirical__jcr_q4__discipline_psych_social,0.6009550094604492,0.639323353767395
Claude Sonnet 4.6,type_empirical__year_q1_oldest__discipline_other,0.6021544337272644,0.639323353767395
Claude Sonnet 4.6,jcr_q1__year_q4_newest__discipline_bio_evo,0.6022236347198486,0.639323353767395
Claude Sonnet 4.6,jcr_q4__year_q2__discipline_economics,0.6029035449028015,0.639323353767395
Claude Sonnet 4.6,citation_q2__year_q1_oldest__discipline_economics,0.6030334234237671,0.639323353767395
Claude Sonnet 4.6,jcr_q2__year_q2__discipline_multidisciplinary,0.6031197905540466,0.639323353767395
Claude Sonnet 4.6,type_empirical__citation_q3__discipline_economics,0.603445827960968,0.639323353767395
Claude Sonnet 4.6,jcr_q4__year_q2__discipline_psych_social,0.6062536239624023,0.639323353767395
Claude Sonnet 4.6,jcr_q1__year_q4_newest__discipline_psych_social,0.6095497012138367,0.639323353767395
Claude Sonnet 4.6,type_empirical__jcr_q4__discipline_math_phys_cs,0.6107542514801025,0.639323353767395
Claude Sonnet 4.6,type_theoretical__jcr_q2,0.6109001636505127,0.639323353767395
Claude Sonnet 4.6,type_theoretical__jcr_q3__discipline_psych_social,0.6109216809272766,0.639323353767395
Claude Sonnet 4.6,citation_q1_lowest__year_q2__discipline_other,0.6109277606010437,0.639323353767395
Claude Sonnet 4.6,type_empirical__citation_q3__discipline_bio_evo,0.6120215058326721,0.639323353767395
Claude Sonnet 4.6,type_theoretical__citation_q1_lowest__discipline_math_phys_cs,0.6126781105995178,0.639323353767395
Claude Sonnet 4.6,jcr_q3__discipline_other,0.6133869886398315,0.639323353767395
Claude Sonnet 4.6,type_theoretical__citation_q4_highest__jcr_q3,0.6144014000892639,0.639323353767395
Claude Sonnet 4.6,type_empirical__citation_q4_highest__jcr_q2,0.6146966814994812,0.639323353767395
Claude Sonnet 4.6,year_q4_newest__discipline_psych_social,0.615273654460907,0.639323353767395
Claude Sonnet 4.6,type_theoretical__jcr_q3,0.6155235171318054,0.639323353767395
