item_type,model,feature_key,feature_label,coef,ci_low,ci_high,n
Individual papers (rank target),GPT-4.1,journal_impact,Journal Impact Factor,0.0007502682653613712,-0.010654099437510832,0.014546617275563027,2010
Individual papers (rank target),GPT-4.1,citation,Citation,0.0074648531771323474,-0.005229776922665949,0.02125191681613869,2010
Individual papers (rank target),GPT-4.1,empirical_share,Empirical papers,-0.026628951875472085,-0.04339926475893083,-0.014396321135756403,2010
Individual papers (rank target),GPT-4.1,recent,Publication Year,-0.001838557633970178,-0.014219684597989151,0.011930535032684104,2010
Individual papers (rank target),GPT-4.1,biology_share,Biology Journals,-0.005111745922012305,-0.02026432854582873,0.007222237548139748,2010
Individual papers (rank target),GPT-4.1,economics_share,Economics Journals,-0.022779325505157665,-0.041136966230888646,-0.009505615943491162,2010
Individual papers (rank target),GPT-4.1,psychology_share,Psychology Journals,-0.01278182149984955,-0.026671936624329828,-0.0024212144310971047,2010
Individual papers (rank target),GPT-4.1,mathphysics_share,Math/Physics Journals,0.007202284432252871,-0.010224127925170284,0.019026510460118603,2010
Individual papers (rank target),GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.01576633915252567,-0.03335860228101571,-0.002242154535107994,2010
Individual papers (rank target),GPT-4.1 Mini,journal_impact,Journal Impact Factor,0.009748549337792914,-0.0042781943974104595,0.025189226855327394,2011
Individual papers (rank target),GPT-4.1 Mini,citation,Citation,-0.02419883152841184,-0.039880608283853564,-0.009359029919195556,2011
Individual papers (rank target),GPT-4.1 Mini,empirical_share,Empirical papers,-0.07206749232298947,-0.08970306347604558,-0.05880592967935089,2011
Individual papers (rank target),GPT-4.1 Mini,recent,Publication Year,-0.023396402334744354,-0.038592150683801243,-0.009858597928283237,2011
Individual papers (rank target),GPT-4.1 Mini,biology_share,Biology Journals,-0.0029838338421711835,-0.016649372629273587,0.008081594126392751,2011
Individual papers (rank target),GPT-4.1 Mini,economics_share,Economics Journals,-0.040773913716538226,-0.055245055648788594,-0.028099610725475,2011
