feature_key,feature_label,mean_abs_shap,mean_signed_shap
mathphysics_share,Math/Physics Journals,0.008752814898520677,0.0009513585850239005
recent,Publication Year,0.003278488025460319,-0.00019693500217077555
citation,Citation,0.0025977510005256365,-0.0002803173473115149
empirical_share,Empirical Papers,0.0022326492930615054,-0.0007542188633757466
collection_size,Number of Papers,0.002867499169176176,-9.369431872555829e-05
biology_share,Biology Journals,0.0026073712381471815,-2.984827298707227e-05
psychology_share,Psychology Journals,0.001649564058277332,6.031176136284303e-05
multidisciplinary_share,Multidisciplinary Journals,0.0005825030439445309,3.666215631057411e-05
journal_impact,Journal Impact Factor,0.0012542852802482263,0.00021785218139896308
economics_share,Economics Journals,0.00076596686464873,3.56762992503632e-05
