feature_key,feature_label,mean_abs_shap,mean_signed_shap
citation,Citation,0.013061532756626531,0.00018671657877081761
journal_impact,Journal Impact Factor,0.007531308320330012,0.0005390623536903101
mathphysics_share,Math/Physics Journals,0.00953498419505838,0.00027664959558465734
recent,Publication Year,0.009872717073408996,-0.001000829116992158
collection_size,Number of Papers,0.007328187307839089,-1.4729343362913314e-06
empirical_share,Empirical Papers,0.006843248991347992,2.6557447484285863e-05
psychology_share,Psychology Journals,0.0027482872108171505,0.000729552452796439
biology_share,Biology Journals,0.002453985583909582,-0.0005101156554137133
economics_share,Economics Journals,0.0028795589938944975,-0.0008555937777271588
multidisciplinary_share,Multidisciplinary Journals,0.003170722989373135,0.0006094730561428199
