model,bin_label,bin_left,bin_right,bin_center,n_obs,mean_correlation,median_correlation,q10_correlation,q90_correlation
Claude Sonnet 4.6,1,1.0,1.0,1.0,2011,0.6565721597854087,0.6571714282035828,0.6250935792922974,0.6870630979537964
Claude Sonnet 4.6,2-3,2.0,4.0,2.8284271247461903,30,0.6474079032739003,0.6418278515338898,0.6189331173896789,0.7014456152915954
Claude Sonnet 4.6,4-7,4.0,8.0,5.656854249492381,50,0.6467071628570557,0.653067022562027,0.6100504279136658,0.6853919982910156
Claude Sonnet 4.6,8-15,8.0,16.0,11.313708498984761,70,0.6492273347718375,0.6573915779590607,0.5974757730960846,0.7020238995552063
Claude Sonnet 4.6,16-31,16.0,32.0,22.627416997969522,101,0.6625510023372008,0.6584064364433289,0.6312807202339172,0.692459225654602
Claude Sonnet 4.6,32-63,32.0,64.0,45.254833995939045,156,0.6611631642549466,0.661136656999588,0.6196357011795044,0.7012097537517548
Claude Sonnet 4.6,64-127,64.0,128.0,90.50966799187809,138,0.6620906245881233,0.6650446355342865,0.6235324621200562,0.7077883064746857
Claude Sonnet 4.6,128-255,128.0,256.0,181.01933598375618,108,0.6668463305190757,0.6663614213466644,0.6292660057544708,0.7044526875019074
Claude Sonnet 4.6,256-511,256.0,512.0,362.03867196751236,43,0.670465276684872,0.6680899262428284,0.6303918719291687,0.7122451305389405
Claude Sonnet 4.6,512-1023,512.0,1024.0,724.0773439350247,16,0.668447308242321,0.6740676760673523,0.6255722641944885,0.7086956799030304
Claude Sonnet 4.6,1024+,1024.0,2048.0,1448.1546878700494,3,0.6848818063735962,0.6867318153381348,0.6711756229400635,0.6978479862213135
GPT-5.1,1,1.0,1.0,1.0,2009,0.5923407079829037,0.5972281694412231,0.5141395330429077,0.6682501792907715
GPT-5.1,2-3,2.0,4.0,2.8284271247461903,30,0.5793192873398463,0.5763345062732697,0.5167703628540039,0.636428838968277
GPT-5.1,4-7,4.0,8.0,5.656854249492381,50,0.549266471862793,0.5620440244674683,0.44043250977993015,0.6304476499557495
GPT-5.1,8-15,8.0,16.0,11.313708498984761,70,0.5247631924492973,0.5329560041427612,0.3983668595552444,0.642606234550476
GPT-5.1,16-31,16.0,32.0,22.627416997969522,101,0.5533084028428144,0.5621414184570312,0.4579006135463714,0.6439029574394226
GPT-5.1,32-63,32.0,64.0,45.254833995939045,156,0.5434675566278971,0.541841596364975,0.44483456015586853,0.6477251648902893
GPT-5.1,64-127,64.0,128.0,90.50966799187809,138,0.5464106871598009,0.5498364865779877,0.4571223258972168,0.6346834659576416
GPT-5.1,128-255,128.0,256.0,181.01933598375618,108,0.5586459504233466,0.5637585520744324,0.4787673562765121,0.6358032763004303
GPT-5.1,256-511,256.0,512.0,362.03867196751236,43,0.5642344577367916,0.567939043045044,0.5042911171913147,0.6191673636436463
GPT-5.1,512-1023,512.0,1024.0,724.0773439350247,16,0.5729823000729084,0.5986848771572113,0.46672846376895905,0.6328198313713074
GPT-5.1,1024+,1024.0,2048.0,1448.1546878700494,3,0.5892624258995056,0.5955771207809448,0.5687291860580445,0.6072697877883911
GPT-4.1,1,1.0,1.0,1.0,2010,0.5859601126251678,0.5864534974098206,0.5433337688446045,0.634561151266098
GPT-4.1,2-3,2.0,4.0,2.8284271247461903,30,0.5748234421014786,0.5692980289459229,0.5437231421470642,0.624415922164917
GPT-4.1,4-7,4.0,8.0,5.656854249492381,50,0.5642396718263626,0.5746500790119171,0.4565838068723678,0.653770112991333
GPT-4.1,8-15,8.0,16.0,11.313708498984761,70,0.569388969029699,0.5918153524398804,0.45253523886203767,0.6371532559394837
GPT-4.1,16-31,16.0,32.0,22.627416997969522,101,0.6102418161854886,0.6089708805084229,0.548942506313324,0.659458577632904
GPT-4.1,32-63,32.0,64.0,45.254833995939045,156,0.604869608886731,0.6024355292320251,0.5268823802471161,0.6714632511138916
GPT-4.1,64-127,64.0,128.0,90.50966799187809,138,0.6198919555847195,0.6200973689556122,0.560342687368393,0.6810178697109223
GPT-4.1,128-255,128.0,256.0,181.01933598375618,108,0.6353859272268083,0.6417321562767029,0.5676636815071106,0.6803975522518158
GPT-4.1,256-511,256.0,512.0,362.03867196751236,43,0.6343759783478671,0.646463930606842,0.573280930519104,0.6803847908973694
GPT-4.1,512-1023,512.0,1024.0,724.0773439350247,16,0.6428274251520634,0.6586700677871704,0.5764906704425812,0.6868879795074463
GPT-4.1,1024+,1024.0,2048.0,1448.1546878700494,3,0.6279579401016235,0.6282501816749573,0.6205591797828675,0.6352398037910462
Gemini 2.5 Pro,1,1.0,1.0,1.0,2011,0.5280198709236218,0.5491161346435547,0.4049391746520996,0.6141313314437866
Gemini 2.5 Pro,2-3,2.0,4.0,2.8284271247461903,30,0.54134634633859,0.5491161346435547,0.4741853713989258,0.5995598793029785
Gemini 2.5 Pro,4-7,4.0,8.0,5.656854249492381,50,0.485216973721981,0.5390160083770752,0.2722859382629394,0.5629266381263733
Gemini 2.5 Pro,8-15,8.0,16.0,11.313708498984761,70,0.4927907833031246,0.5329489707946777,0.3337791800498962,0.5969772636890411
Gemini 2.5 Pro,16-31,16.0,32.0,22.627416997969522,101,0.5236740615403298,0.533013105392456,0.4344345927238464,0.6227343082427979
Gemini 2.5 Pro,32-63,32.0,64.0,45.254833995939045,156,0.5125170085961238,0.5248545408248901,0.3927685171365738,0.6192377209663391
Gemini 2.5 Pro,64-127,64.0,128.0,90.50966799187809,138,0.5086809883730999,0.5234976410865784,0.3922134697437286,0.6180626332759858
Gemini 2.5 Pro,128-255,128.0,256.0,181.01933598375618,108,0.5137400966551569,0.5268875062465668,0.4053795635700226,0.60503089427948
Gemini 2.5 Pro,256-511,256.0,512.0,362.03867196751236,43,0.5118307304936786,0.5287681818008423,0.4148202955722809,0.5903045892715455
Gemini 2.5 Pro,512-1023,512.0,1024.0,724.0773439350247,16,0.5070385672152042,0.5040770471096039,0.40763044357299805,0.6106058061122894
Gemini 2.5 Pro,1024+,1024.0,2048.0,1448.1546878700494,3,0.5271585285663605,0.5468246340751648,0.4902681469917297,0.5561824679374695
