model,moderator,p_omnibus,sig_omnibus_0_05,high_minus_low,q1_mean,q4_mean,mathphysics_minus_other_groups_mean,mathphysics_is_lowest,mathphysics_mean,highest_group_mean
Claude Sonnet 4.6,Empirical share,0.7538936958425849,False,0.001959759429846497,0.6601462807069277,0.6621060401367742,,,,
Claude Sonnet 4.6,Dominant discipline,0.0005421601448091865,True,,,,-0.012795338558298286,True,0.6494526506766028,0.6658725036929051
GPT-4.1,Empirical share,6.272070680615414e-05,True,-0.02330388336874256,0.6225450884696492,0.5992412051009066,,,,
GPT-4.1,Dominant discipline,0.41924518314719383,False,,,,-0.004201566267491796,False,0.6044937691826752,0.6142099558995032
GPT-4.1 Mini,Empirical share,6.219894323111323e-05,True,-0.022087492589843993,0.6359337172028738,0.6138462246130298,,,,
GPT-4.1 Mini,Dominant discipline,0.021097702204461517,True,,,,-0.0014971725319130602,False,0.6194113436816395,0.631177294999361
GPT-5.1,Empirical share,0.21666512871660223,False,-0.013038341892498195,0.5588663756514395,0.5458280337589413,,,,
GPT-5.1,Dominant discipline,0.000754589377882278,True,,,,-0.018900349146359074,True,0.532262109975884,0.5634670979343355
GPT-5 Mini,Empirical share,0.0549234627942769,False,-0.01340343965498425,0.5830658469453204,0.5696624072903361,,,,
GPT-5 Mini,Dominant discipline,0.1902597993305175,False,,,,-0.006738673314204857,False,0.570589977114097,0.5864481166485818
GPT-5 Nano,Empirical share,0.4556294537607902,False,-0.0076633984721865556,0.5960248417398902,0.5883614432677037,,,,
GPT-5 Nano,Dominant discipline,0.07391323440792687,False,,,,-0.007534224783371735,True,0.5852990007918814,0.5985150228847157
Gemini 2.5 Pro,Empirical share,0.014371839319072263,True,-0.02809828207645998,0.5259428204104887,0.4978445383340287,,,,
Gemini 2.5 Pro,Dominant discipline,0.003629646727847795,True,,,,-0.02077355256743274,True,0.4967567898009134,0.5421625547191148
