model,dataset,q1_mean,q4_mean,q4_minus_q1,p_omnibus,sig_omnibus_0_05
Claude Sonnet 4.6,current_260409,0.65853127405416,0.6545188794614839,-0.004012394592676105,0.09536296147667848,False
GPT-4.1,current_260409,0.5854064879691706,0.5864098486795899,0.0010033607104192876,0.9146855701614458,False
GPT-4.1 Mini,current_260409,0.596755358545182,0.5899776926905406,-0.006777665854641457,0.13114768333330545,False
GPT-5.1,current_260409,0.5960024080589308,0.5871508294777548,-0.008851578581176023,0.25765099310924217,False
GPT-5 Mini,current_260409,0.5631468643656874,0.5622958357247417,-0.0008510286409456613,0.9060095402246265,False
GPT-5 Nano,current_260409,0.5689836883835033,0.5656125059527625,-0.00337118243074086,0.7047026381701638,False
Gemini 2.5 Pro,current_260409,0.5347682924105296,0.5200208749957993,-0.01474741741473029,0.07294544106372829,False
GPT-4.1 Nano,repeat5_validation,0.5140196850701061,0.5139155854078842,-0.00010409966222191258,0.9064366099026693,False
