feature_key,feature_label,mean_abs_shap,mean_signed_shap
citation,Citation,0.009342396889331509,-0.00014573665433421256
recent,Publication Year,0.009897194818796787,-0.0008415182260774043
mathphysics_share,Math/Physics Journals,0.008934472181416481,7.417641518008559e-05
economics_share,Economics Journals,0.011084193768092615,-7.58216392443766e-05
biology_share,Biology Journals,0.008060137727268386,-0.00031883540762202907
empirical_share,Empirical Papers,0.006202654273206099,1.2660801510568576e-05
journal_impact,Journal Impact Factor,0.005690701930821624,-0.0002975032818538536
psychology_share,Psychology Journals,0.004067624992452637,0.0011640478706156758
collection_size,Number of Papers,0.0027459649392654046,-0.00045869108389589626
multidisciplinary_share,Multidisciplinary Journals,0.0014650675839013938,0.00010490011676316176
