model,dataset,n,citation_slope,ci_low,ci_high,p_value,r_squared,sig_raw_0_05
Claude Sonnet 4.6,current_260409,1955,-0.000694862228107295,-0.0014791258314738143,8.940137525922421e-05,0.08246843781942,0.001851440600322496,False
GPT-4.1,current_260409,1954,0.00016872846087732113,-0.0013041508765648244,0.0016416077983194665,0.8223469815582655,3.787428546486726e-05,False
GPT-4.1 Mini,current_260409,1955,-0.0011206568477324288,-0.002789779443446324,0.0005484657479814664,0.1881978274229127,0.0011399315617177663,False
GPT-4.1 Nano,repeat5_validation,1955,0.0009454703110180423,-0.0012351336652929121,0.003126074287328997,0.3954336123677068,0.00037387889482598524,False
GPT-5 Mini,current_260409,1952,5.7954247445746e-05,-0.0015851695662391211,0.0017010780611306131,0.9448865831527404,2.544196983644831e-06,False
GPT-5 Nano,current_260409,1950,-0.00029330440094686136,-0.002137416089760805,0.0015508072878670826,0.7552452626195137,5.3852403253173975e-05,False
GPT-5.1,current_260409,1953,-0.0013146945953301764,-0.003255135846236968,0.0006257466555766149,0.18420397297197888,0.0009895531808092883,False
Gemini 2.5 Pro,current_260409,1955,-0.0036246892877895838,-0.006576491218947207,-0.0006728873566319606,0.01609501699869868,0.003893021791787854,True
