dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman
metadata_filter_collections,within_model,Claude Sonnet 4.6,delta_correlation,Correlation gain,random_forest,715,715,0.08567154398664256,0.2683844439194099,0.08308021198646201,0.2700228175580288,0.052467568411168876,0.09735780651810227
metadata_filter_collections,within_model,GPT-4.1,delta_correlation,Correlation gain,extra_trees,715,715,0.2160073982471381,0.47248849140088056,0.20986851602272977,0.4699917204289493,0.05457006220283858,0.0353432778229667
metadata_filter_collections,within_model,GPT-4.1 Mini,delta_correlation,Correlation gain,gradient_boosting,716,716,0.20430157819896722,0.41370214834603236,0.19964173656927864,0.41430166724970025,0.09090808006871129,0.08886496019443753
metadata_filter_collections,within_model,GPT-5 Mini,delta_correlation,Correlation gain,extra_trees,715,715,0.16383568493703593,0.22923112991310085,0.1621974744302646,0.231475312856635,0.08923151771257977,0.08078159835994672
metadata_filter_collections,within_model,GPT-5 Nano,delta_correlation,Correlation gain,gradient_boosting,712,712,0.12888934447864397,0.2784886727537884,0.09559884916957828,0.27702091595835643,0.1738223309855758,0.0662134018619945
metadata_filter_collections,within_model,GPT-5.1,delta_correlation,Correlation gain,gradient_boosting,716,716,0.12826854490739148,0.3077577573077912,0.11989353699441663,0.3038313346035541,0.0544245606049053,0.040253844432602395
metadata_filter_collections,within_model,Gemini 2.5 Pro,delta_correlation,Correlation gain,random_forest,715,715,0.06654248879960056,0.2077506411683935,0.06172807722168039,0.2088393824453875,0.04814382947729087,0.09454098416657125
