kind,model_a,model_b,n_items,spearman_rho,kendall_tau_b_deciles,exact_decile_agreement,within_one_decile_agreement,mean_abs_decile_gap,scaled_decile_proximity,top_decile_jaccard,bottom_decile_jaccard,extreme_decile_jaccard_mean
papers,GPT-5.1,GPT-4.1 Mini,1999,0.30229631418648373,0.22361583806028248,0.1470735367683842,0.37168584292146073,2.6473236618309155,0.7058529264632316,0.14285714285714285,0.19161676646706588,0.16723695466210436
papers,GPT-5.1,GPT-4.1,1999,0.2620802015939808,0.1923462351240129,0.14107053526763383,0.3676838419209605,2.737368684342171,0.695847923961981,0.15942028985507245,0.16715542521994134,0.1632878575375069
papers,GPT-5.1,GPT-5 Nano,1999,0.25884282756578314,0.18961628294961627,0.144072036018009,0.36218109054527264,2.7433716858429213,0.6951809237952309,0.17647058823529413,0.13068181818181818,0.15357620320855614
papers,GPT-5.1,GPT-5 Mini,1999,0.30634375821856763,0.2203281058836614,0.1615807903951976,0.376688344172086,2.651325662831416,0.7054082596853982,0.19760479041916168,0.16374269005847952,0.1806737402388206
papers,GPT-5.1,Claude Sonnet 4.6,1999,0.22305888771942947,0.1617678789901012,0.13856928464232116,0.3416708354177089,2.8414207103551776,0.6842865877383135,0.12044817927170869,0.15028901734104047,0.13536859830637457
papers,GPT-5.1,Gemini 2.5 Pro,1999,0.271772472426568,0.1957235012790568,0.14807403701850924,0.3601800900450225,2.7263631815907954,0.6970707576010227,0.19402985074626866,0.14040114613180515,0.1672154984390369
papers,GPT-4.1 Mini,GPT-4.1,1999,0.46463479531074403,0.34996552107663215,0.1890945472736368,0.43121560780390195,2.2671335667833916,0.748096270357401,0.19047619047619047,0.3006535947712418,0.24556489262371614
papers,GPT-4.1 Mini,GPT-5 Nano,1999,0.36367240844183185,0.271148370592815,0.17358679339669836,0.4042021010505253,2.4872436218109053,0.7236395975765662,0.1695906432748538,0.2476489028213166,0.2086197730480852
papers,GPT-4.1 Mini,GPT-5 Mini,1999,0.4538296630312224,0.341275720164609,0.18209104552276137,0.4317158579289645,2.289144572286143,0.7456506030793174,0.1834319526627219,0.2555205047318612,0.21947622869729155
papers,GPT-4.1 Mini,Claude Sonnet 4.6,1999,0.21949592914268237,0.16273106439773105,0.14457228614307155,0.3486743371685843,2.8214107053526765,0.6865099216274804,0.12359550561797752,0.14367816091954022,0.13363683326875886
papers,GPT-4.1 Mini,Gemini 2.5 Pro,1999,0.32089540326336397,0.23689578467356243,0.1585792896448224,0.3891945972986493,2.5872936468234116,0.712522928130732,0.15273775216138327,0.17751479289940827,0.16512627253039577
papers,GPT-4.1,GPT-5 Nano,1999,0.36058728246184923,0.2706867979090201,0.17358679339669836,0.4192096048024012,2.4712356178089045,0.7254182646878995,0.17994100294985252,0.20241691842900303,0.19117896068942777
papers,GPT-4.1,GPT-5 Mini,1999,0.3759577754874839,0.275663997330664,0.16708354177088544,0.408704352176088,2.4872436218109053,0.7236395975765662,0.21212121212121213,0.2398753894080997,0.2259983007646559
