model,dataset,n,citation_coef_std,ci_low,ci_high,p_value,sig_raw_0_05
Claude Sonnet 4.6,current_260409,2011,-0.0035457158099081237,-0.0051665219683844745,-0.0019249096514317727,1.805604004468857e-05,True
GPT-4.1,current_260409,2010,0.00016163745473777455,-0.0024761310387457188,0.0027994059482212676,0.9044016518991564,False
GPT-4.1 Mini,current_260409,2011,-0.006081956092391089,-0.009308787133155676,-0.0028551250516265026,0.000220618968985595,True
GPT-4.1 Nano,repeat5_validation,2011,0.004432857824101934,-0.0004051562986774034,0.009270871946881271,0.07252186108868736,False
GPT-5 Mini,current_260409,2008,-0.002395933217975963,-0.006132277764822551,0.0013404113288706249,0.20881588859381173,False
GPT-5 Nano,current_260409,2005,-0.005145584679016553,-0.009065610710994015,-0.0012255586470390914,0.01009004776608335,True
GPT-5.1,current_260409,2009,-0.007985832749935333,-0.012232104187859218,-0.0037395613120114477,0.00022776673183704066,True
Gemini 2.5 Pro,current_260409,2011,-0.007924800679324648,-0.013760543761880868,-0.0020890575967684273,0.007777379394824797,True
