dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman,scope_order,dataset_label,estimator_label,se_fold_r2,se_fold_spearman
individual_papers,within_model,Claude Sonnet 4.6,correlation,Correlation,ridge,2011,2011,0.0162745865520345,0.1386072644130617,0.0157515070419968,0.1425898851358355,0.0123872411256432,0.0449457482220316,0,Individual papers,Ridge,0.005539742642123841,0.020100349664810592
metadata_filter_collections,within_model,Claude Sonnet 4.6,correlation,Correlation,random_forest,715,715,0.0856715439866427,0.2683844439194099,0.0830802119864618,0.2700228175580288,0.0524675684111695,0.0973578065181022,0,Collections,Random Forest,0.023464209916299127,0.04353973470294972
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2009,2009,0.0417396687832576,0.2137070580860035,0.0397969440768557,0.2184078019461566,0.0113207099284599,0.0360805744722372,1,Individual papers,Ridge,0.005062775390718623,0.016135723437433195
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,gradient_boosting,716,716,0.1280176558205863,0.3088859949101645,0.1196732323882817,0.3051744515804738,0.0535168531534232,0.0382397731241422,1,Collections,Gradient Boosting,0.02393346431858565,0.017101346429950294
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2010,2010,0.0227284151223261,0.1827442504652921,0.0204590309122463,0.193209904911707,0.0210908416022491,0.0621700716510084,2,Individual papers,Ridge,0.009432111105061914,0.02780330127553747
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,extra_trees,715,715,0.2160073982471381,0.4724884914008805,0.2098685160227296,0.4699917204289493,0.0545700622028383,0.0353432778229667,2,Collections,Extra Trees,0.024404473724387667,0.015805994351962862
individual_papers,within_model,Gemini 2.5 Pro,correlation,Correlation,ridge,2011,2011,0.0829343682601007,0.290741436852536,0.0845274971351179,0.2924412214746935,0.0408284984558543,0.0425139688503867,3,Individual papers,Ridge,0.018259059593307078,0.019012824868554646
metadata_filter_collections,within_model,Gemini 2.5 Pro,correlation,Correlation,random_forest,715,715,0.0665424887996007,0.2077506411683935,0.0617280772216805,0.2088393824453875,0.0481438294772908,0.0945409841665712,3,Collections,Random Forest,0.02153057508167608,0.0422800134512369
