model,variant_id,variant_label,family,n_matching_variants,mean_correlation,median_correlation,sd_correlation,mean_count,variant_order,baseline_correlation_mean30,delta_vs_baseline_mean30
Claude Sonnet 4.6,broad_all_2011,Everything,all,5,0.6345147993211772,0.6345147993211772,0.0,2011.0,0,0.6644858192216249,-0.029971019900447704
Claude Sonnet 4.6,type_empirical,Empirical only,type,133,0.6615134352131894,0.660851776599884,0.047509764502812774,117.42857142857143,1,0.6644858192216249,-0.002972384008435469
Claude Sonnet 4.6,type_theoretical,Non-empirical only,type,137,0.6640866994857788,0.6652572751045227,0.025625928927579526,121.05839416058394,2,0.6644858192216249,-0.0003991197358460541
Claude Sonnet 4.6,citation_q1_lowest,Lowest citation,citation,106,0.6626303392761158,0.6629730761051178,0.026210131967263812,77.18867924528301,3,0.6644858192216249,-0.0018554799455090532
Claude Sonnet 4.6,citation_q2,Citation Q2,citation,104,0.6681316357392532,0.6624428033828735,0.0387206143448642,76.09615384615384,4,0.6644858192216249,0.0036458165176282975
Claude Sonnet 4.6,citation_q3,Citation Q3,citation,104,0.6509785322615733,0.6569399535655975,0.040057925807362255,77.70192307692308,5,0.6644858192216249,-0.013507286960051545
Claude Sonnet 4.6,citation_q4_highest,Highest citation,citation,93,0.6559094126506518,0.6610055565834045,0.033478729810397116,84.18279569892474,6,0.6644858192216249,-0.008576406570973027
Claude Sonnet 4.6,jcr_q1,JIF Q1,jcr,109,0.6709527072556521,0.6662504076957703,0.031039047881695384,150.9908256880734,7,0.6644858192216249,0.006466888034027285
Claude Sonnet 4.6,jcr_q2,JIF Q2,jcr,104,0.6512537736159104,0.6522875130176544,0.030634866808912087,81.97115384615384,8,0.6644858192216249,-0.013232045605714449
Claude Sonnet 4.6,jcr_q3,JIF Q3,jcr,94,0.6642218840883133,0.6563364267349243,0.04224991571348458,52.95744680851064,9,0.6644858192216249,-0.0002639351333115769
Claude Sonnet 4.6,jcr_q4,JIF Q4,jcr,82,0.6451918257445823,0.6487748026847839,0.039584150332880826,16.9390243902439,10,0.6644858192216249,-0.019293993477042526
Claude Sonnet 4.6,year_q1_oldest,Oldest,year,103,0.6606306173269031,0.6631538271903992,0.037646280993673724,79.89320388349515,11,0.6644858192216249,-0.0038552018947217714
Claude Sonnet 4.6,year_q2,Year Q2,year,105,0.6654565132799602,0.667585551738739,0.04947548272933415,81.52380952380952,12,0.6644858192216249,0.0009706940583353862
Claude Sonnet 4.6,year_q3,Year Q3,year,103,0.6591303632097337,0.657325804233551,0.027626201168256762,73.30097087378641,13,0.6644858192216249,-0.005355456011891135
Claude Sonnet 4.6,year_q4_newest,Newest,year,96,0.6558075100183487,0.6589169204235077,0.023952253798113835,79.84375,14,0.6644858192216249,-0.008678309203276169
Claude Sonnet 4.6,discipline_bio_evo,Biology,discipline,84,0.6650949248245784,0.6609358489513397,0.03805808879233715,56.07142857142857,15,0.6644858192216249,0.0006091056029535746
Claude Sonnet 4.6,discipline_economics,Economics,discipline,86,0.6651426962641782,0.6654919981956482,0.03372690031256813,92.52325581395348,16,0.6644858192216249,0.0006568770425533499
Claude Sonnet 4.6,discipline_math_phys_cs,Math/physics,discipline,87,0.643593410650889,0.6474277973175049,0.039390425602848875,100.67816091954023,17,0.6644858192216249,-0.02089240857073582
Claude Sonnet 4.6,discipline_multidisciplinary,Multidisciplinary,discipline,63,0.65797106519578,0.6602649688720703,0.029777712605137945,81.28571428571429,18,0.6644858192216249,-0.006514754025844893
Claude Sonnet 4.6,discipline_other,Other,discipline,71,0.6577877612181113,0.6565142273902893,0.030072733260326757,17.04225352112676,19,0.6644858192216249,-0.0066980580035135295
Claude Sonnet 4.6,discipline_psych_social,Psychology,discipline,87,0.6665011137381367,0.665846049785614,0.035765281470635416,92.2183908045977,20,0.6644858192216249,0.002015294516511834
GPT-4.1,broad_all_2011,Everything,all,5,0.5535093027771035,0.5535093027771035,0.0,2011.0,0,0.6145930323334075,-0.06108372955630392
GPT-4.1,type_empirical,Empirical only,type,133,0.5986657234510981,0.6005799174308777,0.0744294805173654,117.42857142857143,1,0.6145930323334075,-0.01592730888230931
GPT-4.1,type_theoretical,Non-empirical only,type,137,0.6311332309333078,0.6343075633049011,0.038625335701054184,121.05839416058394,2,0.6145930323334075,0.016540198599900302
GPT-4.1,citation_q1_lowest,Lowest citation,citation,106,0.6044828186057648,0.60308837890625,0.042035676118802594,77.18867924528301,3,0.6145930323334075,-0.010110213727642647
GPT-4.1,citation_q2,Citation Q2,citation,104,0.6174678802490234,0.611980140209198,0.05976068036615842,76.09615384615384,4,0.6145930323334075,0.0028748479156159856
GPT-4.1,citation_q3,Citation Q3,citation,104,0.5933120210583394,0.6024930775165558,0.0664955132884359,77.70192307692308,5,0.6145930323334075,-0.021281011275068096
GPT-4.1,citation_q4_highest,Highest citation,citation,93,0.6036832143542588,0.6014609932899475,0.05545447418176439,84.18279569892474,6,0.6145930323334075,-0.010909817979148695
GPT-4.1,jcr_q1,JIF Q1,jcr,109,0.6253278326550755,0.6341014504432678,0.04700352839705659,150.9908256880734,7,0.6145930323334075,0.01073480032166807
GPT-4.1,jcr_q2,JIF Q2,jcr,104,0.6025354438103162,0.6051499545574188,0.05014031250538086,81.97115384615384,8,0.6145930323334075,-0.012057588523091245
GPT-4.1,jcr_q3,JIF Q3,jcr,94,0.6095527128336278,0.6041003465652466,0.07704847219779141,52.95744680851064,9,0.6145930323334075,-0.005040319499779677
GPT-4.1,jcr_q4,JIF Q4,jcr,82,0.5689078442207197,0.5883280634880066,0.06770371137957723,16.9390243902439,10,0.6145930323334075,-0.045685188112687736
GPT-4.1,year_q1_oldest,Oldest,year,103,0.6065255825959363,0.608090341091156,0.06125171561091555,79.89320388349515,11,0.6145930323334075,-0.0080674497374712
GPT-4.1,year_q2,Year Q2,year,105,0.6176283651874179,0.616897702217102,0.0741632263196534,81.52380952380952,12,0.6145930323334075,0.003035332854010475
GPT-4.1,year_q3,Year Q3,year,103,0.602079644654561,0.60149085521698,0.04501380399903102,73.30097087378641,13,0.6145930323334075,-0.012513387678846466
GPT-4.1,year_q4_newest,Newest,year,96,0.6068255072459579,0.6080402135848999,0.046163756694735054,79.84375,14,0.6145930323334075,-0.0077675250874496005
GPT-4.1,discipline_bio_evo,Biology,discipline,84,0.6141951910796619,0.6084984540939331,0.051966262371481914,56.07142857142857,15,0.6145930323334075,-0.0003978412537455345
GPT-4.1,discipline_economics,Economics,discipline,86,0.6087236539569012,0.6213656067848206,0.06155938275135866,92.52325581395348,16,0.6145930323334075,-0.005869378376506251
GPT-4.1,discipline_math_phys_cs,Math/physics,discipline,87,0.595021408522266,0.6029717326164246,0.0505868998076957,100.67816091954023,17,0.6145930323334075,-0.019571623811141414
GPT-4.1,discipline_multidisciplinary,Multidisciplinary,discipline,63,0.6045923914228167,0.6103602647781372,0.051881312004263394,81.28571428571429,18,0.6145930323334075,-0.010000640910590719
GPT-4.1,discipline_other,Other,discipline,71,0.5868855601465198,0.5891242623329163,0.06673815994876439,17.04225352112676,19,0.6145930323334075,-0.027707472186887627
GPT-4.1,discipline_psych_social,Psychology,discipline,87,0.6133898462372265,0.6167614459991455,0.06010139415510729,92.2183908045977,20,0.6145930323334075,-0.0012031860961809748
GPT-5.1,broad_all_2011,Everything,all,5,0.5115379956411307,0.5115379956411307,0.0,2011.0,0,0.6526169304695438,-0.14107893482841316
GPT-5.1,type_empirical,Empirical only,type,133,0.5469597226246855,0.5510950088500977,0.09043279841201239,117.42857142857143,1,0.6526169304695438,-0.10565720784485833
GPT-5.1,type_theoretical,Non-empirical only,type,137,0.560128233076012,0.5624813437461853,0.05546771091857968,121.05839416058394,2,0.6526169304695438,-0.09248869739353183
