kind,mean_spearman_rho,mean_order_agreement_excluding_near_ties,mean_informative_pair_coverage
collections,0.39327427549771155,0.8686860539334992,0.19878121573824706
papers,0.2919186452873481,0.824652087855127,0.1353325025160943
