model,n_items,baseline_correlation,baseline_correlation_mean_repeat,baseline_repeat_sd,baseline_repeat_se,mean_augmented_correlation,mean_augmented_correlation_mean_repeat
Claude Sonnet 4.6,2011,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.6565722227096558,0.6464396715164185
GPT-4.1,2011,0.5474886298179626,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.5859600901603699,0.5784854888916016
GPT-4.1 Mini,2011,0.617575466632843,0.5938818323712572,0.045843863588961704,0.02050199906722917,0.5951104760169983,0.5793476700782776
GPT-5 Mini,2011,0.5310258269309998,0.5063459711310319,0.08202556946068738,0.03668294984144555,0.5627214312553406,0.5408251881599426
GPT-5 Nano,2011,0.533880352973938,0.5111560085016191,0.07961752219744764,0.035606038366718266,0.5680689811706543,0.5500062704086304
GPT-5.1,2011,0.6670421361923218,0.6166538481658772,0.05440645338523103,0.024331305636810026,0.5923407077789307,0.5510742664337158
Gemini 2.5 Pro,2011,0.3572567403316498,0.3845334678888321,0.2682712017821372,0.1199745287180843,0.5280198454856873,0.5001180768013
