model,variant_id,variant_label,family,count,correlation,n_aug_runs,variant_order,baseline_correlation_mean30,delta_vs_baseline_mean30
Claude Sonnet 4.6,broad_all_2011,Everything,all,2011.0,0.6345147993211772,5,0,0.6644858192216249,-0.029971019900447704
Claude Sonnet 4.6,type_empirical,Empirical only,type,1405.0,0.7006270289421082,5,1,0.6644858192216249,0.03614120972048329
Claude Sonnet 4.6,type_theoretical,Non-empirical only,type,1445.0,0.6672865748405457,5,2,0.6644858192216249,0.0028007556189207916
Claude Sonnet 4.6,citation_q1_lowest,Lowest citation,citation,698.0,0.6816922426223755,5,3,0.6644858192216249,0.017206423400750626
Claude Sonnet 4.6,citation_q2,Citation Q2,citation,681.0,0.7086562514305115,5,4,0.6644858192216249,0.04417043220888661
Claude Sonnet 4.6,citation_q3,Citation Q3,citation,693.0,0.6804901957511902,5,5,0.6644858192216249,0.016004376529565323
Claude Sonnet 4.6,citation_q4_highest,Highest citation,citation,684.0,0.6906659603118896,5,6,0.6644858192216249,0.026180141090264786
Claude Sonnet 4.6,jcr_q1,JIF Q1,jcr,1442.0,0.6867318153381348,5,7,0.6644858192216249,0.022245996116509903
Claude Sonnet 4.6,jcr_q2,JIF Q2,jcr,738.0,0.7217671871185303,5,8,0.6644858192216249,0.05728136789690541
Claude Sonnet 4.6,jcr_q3,JIF Q3,jcr,398.0,0.6717013120651245,5,9,0.6644858192216249,0.007215492843499649
Claude Sonnet 4.6,jcr_q4,JIF Q4,jcr,89.0,0.6647035479545593,5,10,0.6644858192216249,0.0002177287329344635
Claude Sonnet 4.6,year_q1_oldest,Oldest,year,705.0,0.5508832931518555,5,11,0.6644858192216249,-0.1136025260697694
Claude Sonnet 4.6,year_q2,Year Q2,year,743.0,0.6810176372528076,5,12,0.6644858192216249,0.016531818031182755
Claude Sonnet 4.6,year_q3,Year Q3,year,650.0,0.6157837510108948,5,13,0.6644858192216249,-0.04870206821073009
Claude Sonnet 4.6,year_q4_newest,Newest,year,658.0,0.6594971418380737,5,14,0.6644858192216249,-0.004988677383551132
Claude Sonnet 4.6,discipline_bio_evo,Biology,discipline,432.0,0.6651047468185425,5,15,0.6644858192216249,0.0006189275969176178
Claude Sonnet 4.6,discipline_economics,Economics,discipline,730.0,0.663138747215271,5,16,0.6644858192216249,-0.0013470720063538666
Claude Sonnet 4.6,discipline_math_phys_cs,Math/physics,discipline,805.0,0.6353607773780823,5,17,0.6644858192216249,-0.029125041843542587
Claude Sonnet 4.6,discipline_multidisciplinary,Multidisciplinary,discipline,470.0,0.6329769492149353,5,18,0.6644858192216249,-0.03150887000668956
Claude Sonnet 4.6,discipline_other,Other,discipline,193.0,0.7058995962142944,5,19,0.6644858192216249,0.04141377699266957
Claude Sonnet 4.6,discipline_psych_social,Psychology,discipline,737.0,0.7087351083755493,5,20,0.6644858192216249,0.044249289153924454
GPT-4.1,broad_all_2011,Everything,all,2011.0,0.5535093027771035,5,0,0.6145930323334075,-0.06108372955630392
GPT-4.1,type_empirical,Empirical only,type,1405.0,0.6369872093200684,5,1,0.6145930323334075,0.022394176986660908
GPT-4.1,type_theoretical,Non-empirical only,type,1445.0,0.6282501816749573,5,2,0.6145930323334075,0.013657149341549824
GPT-4.1,citation_q1_lowest,Lowest citation,citation,698.0,0.6586611270904541,5,3,0.6145930323334075,0.04406809475704665
GPT-4.1,citation_q2,Citation Q2,citation,681.0,0.6746392846107483,5,4,0.6145930323334075,0.06004625227734084
GPT-4.1,citation_q3,Citation Q3,citation,693.0,0.6864949464797974,5,5,0.6145930323334075,0.07190191414638991
GPT-4.1,citation_q4_highest,Highest citation,citation,684.0,0.664566695690155,5,6,0.6145930323334075,0.04997366335674758
GPT-4.1,jcr_q1,JIF Q1,jcr,1442.0,0.618636429309845,5,7,0.6145930323334075,0.004043396976437519
GPT-4.1,jcr_q2,JIF Q2,jcr,738.0,0.6586790084838867,5,8,0.6145930323334075,0.04408597615047927
GPT-4.1,jcr_q3,JIF Q3,jcr,398.0,0.566362202167511,5,9,0.6145930323334075,-0.048230830165896466
GPT-4.1,jcr_q4,JIF Q4,jcr,89.0,0.5609840750694275,5,10,0.6145930323334075,-0.05360895726397996
GPT-4.1,year_q1_oldest,Oldest,year,705.0,0.5340213775634766,5,11,0.6145930323334075,-0.08057165476993089
GPT-4.1,year_q2,Year Q2,year,743.0,0.6633939743041992,5,12,0.6145930323334075,0.04880094197079177
GPT-4.1,year_q3,Year Q3,year,650.0,0.6189599633216858,5,13,0.6145930323334075,0.004366930988278339
GPT-4.1,year_q4_newest,Newest,year,658.0,0.6228798031806946,5,14,0.6145930323334075,0.008286770847287128
GPT-4.1,discipline_bio_evo,Biology,discipline,432.0,0.624608039855957,5,15,0.6145930323334075,0.01001500752254958
GPT-4.1,discipline_economics,Economics,discipline,730.0,0.6191924810409546,5,16,0.6145930323334075,0.004599448707547138
GPT-4.1,discipline_math_phys_cs,Math/physics,discipline,805.0,0.6209926605224609,5,17,0.6145930323334075,0.006399628189053486
GPT-4.1,discipline_multidisciplinary,Multidisciplinary,discipline,470.0,0.638903021812439,5,18,0.6145930323334075,0.024309989479031513
GPT-4.1,discipline_other,Other,discipline,193.0,0.6482105851173401,5,19,0.6145930323334075,0.033617552783932636
GPT-4.1,discipline_psych_social,Psychology,discipline,737.0,0.7513527870178223,5,20,0.6145930323334075,0.1367597546844148
GPT-5.1,broad_all_2011,Everything,all,2011.0,0.5115379956411307,5,0,0.6526169304695438,-0.14107893482841316
GPT-5.1,type_empirical,Empirical only,type,1405.0,0.5955771207809448,5,1,0.6526169304695438,-0.05703980968859901
GPT-5.1,type_theoretical,Non-empirical only,type,1445.0,0.5620172023773193,5,2,0.6526169304695438,-0.0905997280922245
GPT-5.1,citation_q1_lowest,Lowest citation,citation,698.0,0.5746696591377258,5,3,0.6526169304695438,-0.077947271331818
GPT-5.1,citation_q2,Citation Q2,citation,681.0,0.5779939293861389,5,4,0.6526169304695438,-0.07462300108340492
GPT-5.1,citation_q3,Citation Q3,citation,693.0,0.6156682968139648,5,5,0.6526169304695438,-0.03694863365557899
GPT-5.1,citation_q4_highest,Highest citation,citation,684.0,0.618200421333313,5,6,0.6526169304695438,-0.034416509136230844
GPT-5.1,jcr_q1,JIF Q1,jcr,1442.0,0.6101929545402527,5,7,0.6526169304695438,-0.04242397592929115
GPT-5.1,jcr_q2,JIF Q2,jcr,738.0,0.6319045424461365,5,8,0.6526169304695438,-0.020712388023407358
GPT-5.1,jcr_q3,JIF Q3,jcr,398.0,0.5581476092338562,5,9,0.6526169304695438,-0.09446932123568763
GPT-5.1,jcr_q4,JIF Q4,jcr,89.0,0.5632160305976868,5,10,0.6526169304695438,-0.08940089987185706
GPT-5.1,year_q1_oldest,Oldest,year,705.0,0.4067448079586029,5,11,0.6526169304695438,-0.24587212251094093
