model,n_items,baseline_correlation,baseline_correlation_mean_repeat,baseline_repeat_sd,baseline_repeat_se,mean_augmented_correlation,mean_augmented_correlation_mean_repeat
Claude Sonnet 4.6,716,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.6604291796684265,0.6519436240196228
GPT-4.1,715,0.5474886298179626,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.6082826256752014,0.5989996790885925
GPT-4.1 Mini,716,0.617575466632843,0.5938818323712572,0.045843863588961704,0.02050199906722917,0.6221315860748291,0.6077346205711365
GPT-5 Mini,716,0.5310258269309998,0.5063459711310319,0.08202556946068738,0.03668294984144555,0.576269268989563,0.5570756196975708
GPT-5 Nano,716,0.533880352973938,0.5111560085016191,0.07961752219744764,0.035606038366718266,0.5925954580307007,0.5656321048736572
GPT-5.1,716,0.6670421361923218,0.6166538481658772,0.05440645338523103,0.024331305636810026,0.5499006509780884,0.5249982476234436
Gemini 2.5 Pro,716,0.3572567403316498,0.3845334678888321,0.2682712017821372,0.1199745287180843,0.5108577609062195,0.48907795548439026
