model,feature_label,coef_std,ci_low,ci_high,p_value,sig_raw_0_05
Claude Sonnet 4.6,Empirical papers,-0.003513212858198618,-0.0070536965737366935,2.7270857339457052e-05,0.05179096287462619,False
Claude Sonnet 4.6,Math/Physics Journals,-0.010200195330177696,-0.014087932164010268,-0.006312458496345125,2.713557599537493e-07,True
Claude Sonnet 4.6,Citation,-0.0050554623099364916,-0.00929733985626404,-0.0008135847636089434,0.01949740898161756,True
Claude Sonnet 4.6,Journal Impact Factor,0.002291731352215951,-0.0028753039730761223,0.007458766677508024,0.3846823110464752,False
GPT-4.1,Empirical papers,-0.014879976634911935,-0.020475331965200398,-0.009284621304623474,1.8659491489415875e-07,True
GPT-4.1,Math/Physics Journals,-0.01258233491244997,-0.017575954762121048,-0.007588715062778893,7.873130394618145e-07,True
GPT-4.1,Citation,-0.003614152913537942,-0.009958824956186354,0.0027305191291104695,0.26422278824678813,False
GPT-4.1,Journal Impact Factor,0.0031330741979171454,-0.004568842777628918,0.01083499117346321,0.4252787665554959,False
GPT-4.1 Mini,Empirical papers,-0.01256057954315126,-0.01745956705938022,-0.0076615920269222995,5.029662162694806e-07,True
GPT-4.1 Mini,Math/Physics Journals,-0.010229988789533972,-0.01497105721450303,-0.005488920364564913,2.346374773947653e-05,True
GPT-4.1 Mini,Citation,-0.0108916833225736,-0.016878870512995768,-0.004904496132151433,0.00036316521682825325,True
GPT-4.1 Mini,Journal Impact Factor,0.010217677514507162,0.0033410139047348004,0.017094341124279523,0.0035888270731956598,True
GPT-5.1,Empirical papers,-0.01186247046412116,-0.018918930935654697,-0.004806009992587624,0.0009847243666943149,True
GPT-5.1,Math/Physics Journals,-0.01966940605120315,-0.02690143309368353,-0.012437379008722771,9.786763872796973e-08,True
GPT-5.1,Citation,-0.01250964972350182,-0.021659809872697548,-0.0033594895743060925,0.007371755152194355,True
GPT-5.1,Journal Impact Factor,0.003940116768029512,-0.005778995481742367,0.01365922901780139,0.42686535504388023,False
GPT-5 Mini,Empirical papers,-0.011296644109114908,-0.017393313248232792,-0.005199974969997023,0.00028160645694666416,True
GPT-5 Mini,Math/Physics Journals,-0.012772552584258173,-0.019456201770698813,-0.006088903397817533,0.0001800203586270498,True
GPT-5 Mini,Citation,-0.00921241812267239,-0.016006426482448807,-0.002418409762895973,0.007869060901520814,True
GPT-5 Mini,Journal Impact Factor,0.005449884728812595,-0.0025020717390666298,0.01340184119669182,0.17918646657504966,False
GPT-5 Nano,Empirical papers,-0.00898834254182817,-0.014428251370529062,-0.0035484337131272796,0.0012018457610804727,True
GPT-5 Nano,Math/Physics Journals,-0.0140619369190826,-0.019808868877262978,-0.008315004960902223,1.6206153842089259e-06,True
GPT-5 Nano,Citation,-0.006629820268919489,-0.012508439443829567,-0.0007512010940094105,0.027076126642957648,True
GPT-5 Nano,Journal Impact Factor,0.003124355687176195,-0.004267519885772857,0.010516231260125247,0.4074290796497072,False
Gemini 2.5 Pro,Empirical papers,-0.01914990375109059,-0.027948835166350744,-0.010350972335830435,1.9932511594074685e-05,True
Gemini 2.5 Pro,Math/Physics Journals,-0.019294817035079844,-0.028168434919782576,-0.01042119915037711,2.0283171958642352e-05,True
Gemini 2.5 Pro,Citation,-0.011563399086884838,-0.023148051020543493,2.1252846773817113e-05,0.050421784270169,False
Gemini 2.5 Pro,Journal Impact Factor,0.007941002142793868,-0.005484242164716515,0.02136624645030425,0.24632807993919414,False
