dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,cv_pearson,mean_fold_r2,mean_fold_spearman,mean_fold_pearson,sd_fold_r2,sd_fold_spearman,sd_fold_pearson
individual_papers,within_model,Claude Sonnet 4.6,correlation,Correlation,ridge,2011,2011,0.01627458655203451,0.13860726441306173,0.1287459200368088,0.015751507041996883,0.14258988513583556,0.1360306319903184,0.012387241125643263,0.0449457482220316,0.04575716009190189
individual_papers,within_model,Claude Sonnet 4.6,delta_correlation,Correlation gain,ridge,2011,2011,0.016274586552034398,0.13860726441306173,0.12874592003680874,0.015751507041996883,0.14258988513583556,0.13603063199031834,0.012387241125643255,0.0449457482220316,0.045757160091902255
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2010,2010,0.02272841512232604,0.18274425046529216,0.15194136586071294,0.020459030912246278,0.19320990491170703,0.17022451148180046,0.021090841602249204,0.0621700716510084,0.060921907738419524
individual_papers,within_model,GPT-4.1,delta_correlation,Correlation gain,ridge,2010,2010,0.022728415122325707,0.18274425046529216,0.15194136586071194,0.02045903091224608,0.19320990491170703,0.17022451148179996,0.021090841602249256,0.0621700716510084,0.06092190773841966
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,2011,2011,0.1555596556530785,0.4314250454598501,0.3944425586552844,0.15670390780664128,0.43229521135053367,0.39911179720967227,0.042680798804417074,0.03307541135368908,0.055404474110733626
individual_papers,within_model,GPT-4.1 Mini,delta_correlation,Correlation gain,ridge,2011,2011,0.15555965565307883,0.4314250454598501,0.394442558655285,0.15670390780664153,0.43229521135053367,0.39911179720967305,0.04268079880441641,0.03307541135368908,0.05540447411073177
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2008,2008,0.061708571615616936,0.3197987049586547,0.2486186345711796,0.060516449785080174,0.32236233824496907,0.2507507930448455,0.01104963994644102,0.026865162284665345,0.024444131952396617
individual_papers,within_model,GPT-5 Mini,delta_correlation,Correlation gain,ridge,2008,2008,0.061708571615616825,0.3197987049586547,0.24861863457117983,0.060516449785080126,0.32236233824496907,0.2507507930448455,0.011049639946441108,0.026865162284665345,0.02444413195239657
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,2005,2005,0.024270305205860376,0.18197649034680116,0.15666281334844304,0.018838606792492607,0.19282985589893414,0.16633869281028374,0.01565020679222309,0.04949905495353,0.02891006608667058
individual_papers,within_model,GPT-5 Nano,delta_correlation,Correlation gain,ridge,2005,2005,0.024270305205860376,0.18197649034680116,0.15666281334844304,0.018838606792492562,0.19282985589893414,0.16633869281028357,0.015650206792223214,0.04949905495353,0.02891006608667052
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2009,2009,0.04173966878325752,0.21370705808600354,0.20443232083756918,0.039796944076855766,0.21840780194615667,0.2082685798662892,0.011320709928460033,0.036080574472237226,0.03128400626965989
individual_papers,within_model,GPT-5.1,delta_correlation,Correlation gain,ridge,2009,2009,0.041739668783257744,0.21370705808600354,0.20443232083756893,0.039796944076855724,0.21840780194615667,0.2082685798662892,0.011320709928459976,0.036080574472237226,0.03128400626965935
metadata_filter_collections,within_model,Claude Sonnet 4.6,correlation,Correlation,random_forest,715,715,0.08567154398664278,0.2683844439194099,0.2972374422361267,0.08308021198646202,0.2700228175580288,0.3007429587394612,0.05246756841116949,0.09735780651810227,0.07528465203379549
metadata_filter_collections,within_model,Claude Sonnet 4.6,delta_correlation,Correlation gain,gradient_boosting,715,715,0.08660468951093181,0.27967836106841504,0.31849573896089844,0.08173087855320124,0.279470002436756,0.3198322647686998,0.03531440724042109,0.07164718097241214,0.0416200381423958
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,extra_trees,715,715,0.216007398247138,0.47248849140088056,0.48258375007943843,0.2098685160227296,0.4699917204289493,0.4839585387974507,0.05457006220283841,0.0353432778229667,0.030230119970666547
metadata_filter_collections,within_model,GPT-4.1,delta_correlation,Correlation gain,extra_trees,715,715,0.2177262292974318,0.47127458863248645,0.48374318912503583,0.21150873091007544,0.46792459673450126,0.48525445440452125,0.057629840255116756,0.033384250508153045,0.0319410774809802
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,gradient_boosting,716,716,0.20438063443612353,0.41359328360099723,0.4586216428933554,0.19964635702077632,0.41352512874853814,0.4586516437212128,0.0922431515340295,0.09039837877413952,0.08731067915425599
metadata_filter_collections,within_model,GPT-4.1 Mini,delta_correlation,Correlation gain,gradient_boosting,716,716,0.20402999687336199,0.4134633651334991,0.45830423840583373,0.19943212690301487,0.4132023715316576,0.45826878991081516,0.09186323368063135,0.08979248977868848,0.08709692188424924
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,extra_trees,715,715,0.1638356849370355,0.22923112991310085,0.4382438757514242,0.16219747443026436,0.231475312856635,0.4437215080647863,0.08923151771257991,0.08078159835994672,0.06691369385536572
metadata_filter_collections,within_model,GPT-5 Mini,delta_correlation,Correlation gain,extra_trees,715,715,0.16391916557124608,0.22863616126874123,0.4380229042769754,0.16231789333219387,0.22998724640648258,0.44349344508191957,0.08768389493600909,0.08026699522829255,0.06576702440828168
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,gradient_boosting,712,712,0.1296920124737675,0.2790213934303615,0.37319204984201587,0.0965962762861963,0.2774135625739524,0.3757954784298613,0.17334517048026465,0.06640608227538954,0.12575144934573798
metadata_filter_collections,within_model,GPT-5 Nano,delta_correlation,Correlation gain,gradient_boosting,712,712,0.12832036685150583,0.27850655921579714,0.3717399765049402,0.09544231848188485,0.2772158946388791,0.37454370677395843,0.17296421582129468,0.06580630164609669,0.1248836810983444
