model,baseline_correlation,baseline_correlation_previous_5run,mean_augmented_correlation,sd_augmented_correlation,n_above_baseline,n_below_or_equal_baseline,share_augmented_collections_above_baseline,share_augmented_collections_below_or_equal_baseline,n_collections
Claude Sonnet 4.6,0.6644858192216249,0.639323353767395,0.6604291674311601,0.03622667594610604,318,398,0.4441340782122905,0.5558659217877095,716
GPT-5.1,0.6526169304695438,0.6670421361923218,0.5499006863995637,0.07461304422359051,41,675,0.05726256983240224,0.9427374301675978,716
GPT-4.1 Mini,0.6154436723939996,0.617575466632843,0.6221315749613933,0.05509640937011134,425,291,0.5935754189944135,0.4064245810055866,716
GPT-4.1,0.6145930323334075,0.5474886298179626,0.6082825829515924,0.05961508074766978,332,383,0.4643356643356643,0.5356643356643357,715
GPT-5 Nano,0.5984576014590571,0.533880352973938,0.5925954527985514,0.05194866117173801,347,369,0.48463687150837986,0.5153631284916201,716
GPT-5 Mini,0.5616469732000592,0.5310258269309998,0.5762693057943891,0.05624216608493881,498,218,0.6955307262569832,0.30446927374301674,716
Gemini 2.5 Pro,0.3993819997213735,0.3572567403316498,0.510857771655451,0.09635998706681188,641,75,0.8952513966480447,0.10474860335195531,716
