model,rmse,corr,directional_accuracy,r2_vs_control_baseline,baseline_rmse_control
batch_output_51_paired,0.33559172833027395,-0.16958897912695334,0.5,-21.148952578015393,0.07130740814202537
science_df_paired_learn,0.05248827538227545,0.7462591145310777,0.7,0.4581796601892011,0.07130740814202537
