CONFIG_MPCR,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_numRounds,CONFIG_playerCount,CONFIG_rewardCost,CONFIG_rewardExists,CONFIG_rewardTech,CONFIG_showNRounds,CONFIG_showOtherSummaries,CONFIG_showRewardId,CONFIG_showPunishmentId,CONFIG_punishmentCost,CONFIG_punishmentTech,control_efficiency,treatment_efficiency,n_control_rows,n_treatment_rows
0.2,1,0.0,0,1,4,nan,0,nan,0,0,0,0,0.25,0.25,0.8012750000000001,0.773775,4,4
0.2,1,0.0,0,15,16,nan,0,nan,1,1,0,0,0.25,40,0.3726666666666667,0.6164,3,1
"0.3, 0.5, 0.5, 0.7",1,0.0,0,6,4,nan,0,nan,1,1,0,1,1,3,0.633,0.619,1,2
0.375,1,0.0,0,10,4,nan,0,nan,1,1,0,0,1,3,0.1429,0.1756,1,1
0.375,1,0.0,0,15,4,nan,0,nan,1,1,0,0,1,3,0.04294,0.02037,1,1
0.4,0,0.0,0,10,6,nan,0,nan,1,1,0,0,5,5,0.59,0.625,2,2
0.4,1,0.0,0,10,4,nan,0,nan,1,0,0,0,1,3,0.44,0.33,1,2
0.4,1,0.0,0,10,4,nan,0,nan,1,1,0,0,1,3,0.7440875,0.7747818181818182,2,11
0.4,1,0.0,0,20,4,nan,0,nan,1,1,0,0,0.25,1,0.825,0.7462500000000001,2,4
0.5,1,0.0,0,1,3,nan,0,nan,1,0,0,0,1,1,0.22666666666666666,0.7,3,4
0.5,1,0.0,0,1,4,nan,0,nan,0,0,0,0,0.45,0.45,0.7915000000000001,0.8665,2,2
0.5,1,0.0,0,1,4,nan,0,nan,1,1,0,0,0.2,0.2,0.7879,0.7535000000000001,1,2
0.5,1,0.0,0,10,3,nan,0,nan,1,1,0,0,1,3,0.86,0.78,1,1
0.5,1,0.0,0,10,4,nan,0,nan,0,1,0,0,1,3,0.7172499999999999,0.87425,2,2
0.5,1,0.0,0,20,4,nan,0,nan,1,1,0,0,0.1,0.1,0.7525,0.64,4,2
0.5,1,0.0,0,30,4,nan,0,nan,1,1,0,0,0.1,0.1,0.76,0.7545,4,4
0.5,1,0.0,0,6,4,nan,0,nan,1,1,0,1,1,3,0.608,0.6305000000000001,1,2
0.7,1,0.0,0,10,4,nan,0,nan,0,1,0,0,1,3,0.71925,0.898,2,2
1.5,1,0.0,0,15,4,nan,0,nan,1,1,0,1,0,3,0.0,0.4086,1,1
1.5,1,0.0,0,15,8,nan,0,nan,1,1,0,1,0,3,0.328,0.4765,1,1
N/R,1,0.0,0,10,3,nan,0,nan,1,1,0,0,1,3,0.7749999999999999,0.835,2,2
N/R,1,0.0,0,30,12,nan,0,nan,1,1,0,0,1,3,0.3725,0.3733333333333333,2,3
N/R,1,0.0,0,30,6,nan,0,nan,1,1,0,0,0.5,1.5,0.785,0.772,3,4
N/R,1,1.0,0,10,8,nan,0,nan,1,1,0,1,0,50,0.98,0.99,1,1
N/R,1,1.0,0,25,8,nan,0,nan,0,1,0,0,0.15,0.3,0.56,0.9490000000000001,1,2
N/R,1,1.0,0,N/R,8,nan,0,nan,N/R,1,0,0,,,0.56,0.93,1,1
nan,0,0.0,0,50,2,nan,0,nan,1,1,0,0,4,1,0.4743,0.50415,1,4
nan,1,0.0,nan,1,52,nan,0,nan,1,0,0,0,,,0.869,0.855,1,1
nan,1,0.0,nan,20,48,nan,0,nan,0,0,0,0,,,0.847,0.826,1,1
