dataset,pc1,pc2,n_reported_design_parameters
Benchmark,-0.3977367653194118,0.3877691061545524,12
Benchmark,0.4532625301290442,-0.6813399174924196,12
Benchmark,-0.03159842341994337,-1.3655606839074808,12
Benchmark,0.04179561841187821,1.6218535341754778,12
Benchmark,-0.8090611677001472,-0.25210230673950573,12
Benchmark,0.8603967120027298,0.3634445612491286,12
Benchmark,0.4031580378054698,0.78015293907799,12
Benchmark,-0.6573341181502944,-0.9719191536105712,12
Benchmark,-0.47535170305259483,0.140834793113654,12
Benchmark,1.559654871018512,0.1583478838890699,12
Benchmark,-1.6525058309416234,-0.2451211146411886,12
Benchmark,0.16938760443514345,-0.8264624538484452,12
Benchmark,-0.6229190796886103,0.6775759903643461,12
Benchmark,0.5409674191462382,-1.1414196965460417,12
Benchmark,-0.6674625364065213,0.9316396275142972,12
Benchmark,0.525475671380466,0.09111900292851888,12
Benchmark,-0.4059866048525301,0.016506140553814785,12
Benchmark,0.30271511630605696,0.8625708459366004,12
Benchmark,-0.0604749398563522,-0.9766917445594442,12
Benchmark,-0.4806379356697972,0.641519432754811,12
Benchmark,0.3858884198991356,-0.4472680003578385,12
Benchmark,-0.014461524257177397,0.24220734828838428,12
Benchmark,0.07759759282876581,-0.5583033515090433,12
Benchmark,0.6092046666874907,-0.09397021559803148,12
Benchmark,-0.5315377787982699,-0.23210330886565606,12
Benchmark,0.3844849972653387,0.29586945552748245,12
Benchmark,-0.7718965787595832,0.2219247557038813,12
Benchmark,0.6792857780085559,-0.19041863201349946,12
Benchmark,-0.22411772373649289,1.0602877100881578,12
Benchmark,-0.5926568500867914,0.015302341166060393,12
Benchmark,-1.4163955119236618,-0.17594260597855158,12
Benchmark,1.6380891268588984,-0.05034878738630532,12
Benchmark,-1.01648453331286,-0.29007425970174106,12
Benchmark,-0.7142456653986066,-0.8694606073619514,12
Benchmark,0.9362361121380011,0.5501363860272671,12
Benchmark,0.6323709466711981,-0.7584500145412238,12
Benchmark,-0.22160769606257602,0.47787676221851305,12
Benchmark,-0.07042517524138306,1.5752480386160108,12
Benchmark,-0.07662760629154836,-1.5114818919541835,12
Benchmark,0.7910800528146161,-0.3111719233048481,12
Benchmark,-0.7499322168846766,0.02444317393506869,12
Benchmark,0.456274600567894,0.30368212978390424,12
Benchmark,-0.43526097612766995,-0.4536612282981585,12
Benchmark,0.5522186624829089,-0.6336370368796305,12
Benchmark,-0.5214296796947977,0.632808796647239,12
Benchmark,0.35481764538855826,-0.6660655136701393,12
Benchmark,-0.09085172896945738,0.3184967605437276,12
Benchmark,0.2858151805110937,0.11984303942216187,12
Benchmark,0.0035957282053895724,-1.1868380385497492,12
Benchmark,0.04922602191999012,0.7682354843127398,12
Benchmark,0.3971708885572433,-0.7928611964029936,12
Benchmark,-0.8817882263164419,0.7835168955819812,12
Benchmark,-0.5221280310568528,1.2327913558723689,12
Benchmark,0.7771444123428591,-1.1657624812840377,12
Benchmark,-0.5427538729926419,0.8727374068949095,12
Benchmark,-0.1471653100620896,0.2775321605200826,12
Benchmark,0.18067560544828393,-0.4566920297624111,12
Benchmark,-1.000204374312439,-0.20065103921365585,12
Benchmark,1.0765735324407015,-0.07378210535202764,12
Benchmark,0.051691108646710344,-0.15069665652768616,12
Benchmark,-0.018198111174344826,0.2749001591944355,12
Benchmark,-0.9169926834936039,0.38219424647907624,12
Benchmark,1.0035628784347599,-0.8073549455148644,12
Benchmark,1.1229159735342291,-1.0423346387023689,12
Benchmark,-1.0845235737258987,0.917512393149339,12
Benchmark,0.246417137074771,0.28393152308411834,12
Benchmark,-0.17770281740408334,-0.14743241561327317,12
Benchmark,0.3330743493811008,0.613038080803369,12
Benchmark,-0.29192651345116116,-0.8997668301731483,12
Benchmark,-0.24701649416679564,-0.31004200976932095,12
Benchmark,0.2979396884446228,0.17246411868140488,12
Benchmark,1.4943711475493062,0.30255221624837786,12
Benchmark,-1.473357523109082,-0.45253131476263186,12
Benchmark,1.1042281430269187,-0.21198088389661937,12
Benchmark,-0.8852385427759364,-0.1393422523673782,12
Benchmark,0.18108926422549423,0.8951807840628313,12
Benchmark,0.32496250672093946,0.40944035669865964,12
Benchmark,-0.5736889615542784,-1.5919179320038213,12
Benchmark,0.4383100942167871,1.5238102737984185,12
Benchmark,-1.0899698418825299,-0.6748359520275073,12
Benchmark,0.6053525041233311,0.6654916512064948,12
Benchmark,0.6855014963732962,0.9598800223352468,12
Benchmark,-0.5797308580305461,-0.982266604234918,12
Benchmark,0.0892880973104477,0.3020963865823814,12
Benchmark,-0.06473406803393612,-0.7053410358773581,12
Benchmark,0.2631318804887435,0.6111389901137436,12
Benchmark,0.980399776002223,-0.7114545440650236,12
Benchmark,-0.9201804816224333,0.6811243877483039,12
Benchmark,-1.1259034800163026,1.0392142087923855,12
Benchmark,1.1624487454144352,-1.1699500379122127,12
Benchmark,1.3743089402595963,-0.22976527096687827,12
Benchmark,-1.1669932542040546,0.010315939570110564,12
Benchmark,-0.09519758262928468,0.24059026843906764,12
Benchmark,0.0023466227061771467,-0.3273634991911872,12
Benchmark,0.2872539792831898,-0.7882072671756651,12
Benchmark,-0.7005779875273371,0.8402189967686818,12
Benchmark,0.2760352068138859,-0.31009971380021184,12
Benchmark,0.8564512940729919,0.628530024458022,12
Benchmark,-1.0947348048725074,-0.26519457728274937,12
Benchmark,-0.6695085034438677,-1.1258354344632733,12
Benchmark,0.03176328385811044,-0.8650135198404167,12
Benchmark,0.16052885086263763,0.3866755638095468,12
Benchmark,0.5333502737180669,1.768825185695994,12
Benchmark,-0.47931071473123155,-1.5324511882872318,12
Benchmark,-1.015993309458428,0.009211590476296277,12
Benchmark,1.1137255906960402,-0.15113454468731824,12
Benchmark,0.38887243062784976,1.0355847435651597,12
Benchmark,-0.3724613767194331,-1.0295709218294615,12
Benchmark,0.42014423781478155,0.04897082240921832,12
Benchmark,-0.44326980917361536,-0.08599824009441502,12
Benchmark,-1.5522555504115747,-0.20581654236890615,12
Benchmark,1.4271841147785567,0.13874662174200383,12
Benchmark,1.6280160538024921,-0.30176756043397657,12
