model,n_items,mean_correlation,median_correlation,p05_correlation,p25_correlation,p75_correlation,p95_correlation,min_correlation,max_correlation,baseline_correlation_mean30,n_above_baseline,share_above_baseline
Claude Sonnet 4.6,2011,0.6565721597854087,0.6571714282035828,0.6164138913154602,0.6411109268665314,0.6733277142047882,0.6969532668590546,0.4038335084915161,0.7733215093612671,0.6644858192216249,768,0.38189955246146196
GPT-4.1,2010,0.5859601126251678,0.5864534974098206,0.5273321181535721,0.5623748451471329,0.6099222898483276,0.6517333596944809,0.0301763452589511,0.7826053500175476,0.6145930323334075,422,0.2099502487562189
Gemini 2.5 Pro,2011,0.5280198709236218,0.5491161346435547,0.34742143750190735,0.49401120841503143,0.5808960795402527,0.644045889377594,0.0273033902049064,0.8349292278289795,0.3993819997213735,1824,0.9070114370959722
