round_bin,2,3,4,5,6,7-10,11-15,>15
1,296,183,171,57,13,7,3,0
2-5,47,70,72,34,29,7,0,7
6-10,119,150,485,108,34,47,2,2
11-15,58,23,162,15,27,29,8,19
16-20,77,46,208,72,16,45,9,4
21-30,34,30,71,40,14,31,31,9
31-50,81,40,69,2,4,17,7,0
>50,73,13,3,0,7,14,3,8
