custom_id,n_lab_rows,n_reported_params,n_varied_params
10.1016_j.jesp.2009.02.017,14,8,6
10.1038_s41598-023-33167-2,8,5,5
10.1111_cogs.13326,2,5,4
10.1371_journal.pone.0045093,2,11,4
10.1177_0146167206289978,12,6,3
10.1016_j.jpubeco.2015.03.012,10,6,3
10.1371_journal.pone.0227360,10,7,3
10.1016_j.obhdp.2011.05.007,8,4,3
10.1628_0932456042776140,8,10,3
10.1007_s12110-002-1012-7,7,3,3
10.1007_s12110-024-09483-5,7,9,3
10.2307_2667052,7,2,3
10.1016_j.jebo.2021.02.016,6,7,3
10.1111_1475-4932.12073,6,11,3
10.1523_jneurosci.2303-21.2022,6,5,3
10.1016_j.jebo.2023.04.028,5,6,3
10.1080_01605682.2023.2269984,4,6,3
10.1037_npe0000011,3,8,3
10.1016_j.geb.2006.08.011,16,8,2
10.1038_s41562-017-0138,16,7,2
10.1016_j.jebo.2023.01.012,12,3,2
10.1016_j.obhdp.2016.02.004,12,5,2
10.1037_0022-3514.76.4.587,12,4,2
10.1016_j.jpubeco.2014.05.002,11,5,2
10.1016_j.irle.2019.105858,10,7,2
10.1016_s0167-2681(02)00098-7,10,7,2
10.1016_j.socec.2019.101478,9,6,2
10.1111_j.0021-9029.2006.00042.x,9,3,2
10.1002_bdm.2243,8,6,2
10.1016_j.jebo.2015.09.008,8,4,2
10.1016_j.jesp.2020.104096,8,6,2
10.1016_j.jpubeco.2014.10.001,8,6,2
10.1016_j.socec.2016.10.003,8,7,2
10.1038_s41562-017-0191-5,8,7,2
10.1080_0013791x.2011.650839,8,3,2
10.1093_jleo_ewad011,8,5,2
10.1177_01902725221132517,8,8,2
10.1523_jneurosci.2761-12.2013,8,2,2
10.3390_bs14010039,8,5,2
10.1006_obhd.1995.1015,7,5,2
10.1016_j.geb.2018.10.003,7,4,2
10.1007_s00199-018-1146-4,6,4,2
10.1007_s40750-020-00143-3,6,3,2
10.1016_j.amc.2024.128836,6,5,2
10.1016_j.jebo.2018.04.002,6,6,2
10.1016_j.joep.2017.07.002,6,7,2
10.1016_j.jpubeco.2022.104701,6,7,2
10.1016_j.obhdp.2014.09.005,6,6,2
10.1016_j.socec.2014.09.001,6,11,2
10.1111_j.1465-7295.2011.00452.x,6,11,2
10.1111_j.1467-9442.2006.00444.x,6,5,2
10.1007_s11031-014-9395-4,5,5,2
10.1016_j.geb.2020.08.004,5,3,2
10.1016_j.jesp.2008.06.004,5,3,2
10.1038_s41598-018-38323-7,5,5,2
10.1257_aer.100.1.420,5,6,2
10.1002_pchj.259,4,7,2
10.1016_j.ecolecon.2022.107597,4,6,2
10.1016_j.evolhumbehav.2015.12.004,4,9,2
10.1016_j.jebo.2009.03.011,4,9,2
10.1016_j.jpubeco.2018.06.010,4,5,2
10.1016_s1090-5138(02)00157-5,4,3,2
10.1017_ehs.2024.41,4,8,2
10.1038_nature04755,4,2,2
10.1038_s41598-020-64930-4,4,12,2
10.1086_684229,4,2,2
10.1093_restud_rdt022,4,11,2
10.1126_science.1100735,4,6,2
10.1371_journal.pone.0208129,4,4,2
10.1371_journal.pone.0222724,4,7,2
10.1371_journal.pone.0275383,4,4,2
10.1515_bejte-2019-0057,4,7,2
10.3389_fevo.2014.00041,4,5,2
