parameter,label,n_papers_varied,n_papers_total,percent_papers_varied,paper_ids
CONFIG_numRounds,Number of rounds,77,756,10.185185185185185,10.1002_bdm.2273;10.1002_soej.12391;10.1006_game.1994.1035;10.1006_game.1998.0638;10.1007_978-3-642-13983-3_11;10.1007_s00199-018-1146-4;10.1007_s00265-004-0782-9;10.1007_s00265-004-0885-3;10.1007_s11031-014-9395-4;10.1007_s11127-006-9075-3;10.1007_s11127-010-9665-y;10.1007_s12110-002-1012-7;10.1007_s12110-024-09483-5;10.1007_s40750-020-00143-3;10.1016_j.anbehav.2016.01.010;10.1016_j.econlet.2009.08.024;10.1016_j.econlet.2012.08.014;10.1016_j.euroecorev.2008.09.007;10.1016_j.evolhumbehav.2015.12.004;10.1016_j.evolhumbehav.2022.10.002;10.1016_j.jebo.2005.04.018;10.1016_j.jebo.2014.03.005;10.1016_j.jebo.2015.09.008;10.1016_j.jebo.2021.02.016;10.1016_j.jesp.2009.02.017;10.1016_j.jesp.2019.103823;10.1016_j.joep.2017.07.002;10.1016_j.jpubeco.2011.05.001;10.1016_j.jpubeco.2014.05.002;10.1016_j.jpubeco.2015.03.012;10.1016_j.jpubeco.2017.03.002;10.1016_j.jpubeco.2018.06.010;10.1016_j.obhdp.2018.07.001;10.1016_j.socec.2019.101465;10.1016_j.socec.2021.101692;10.1016_s0167-2681(02)00098-7;10.1016_s1090-5138(02)00157-5;10.1017_s1355770x12000381;10.1017_xps.2020.10;10.1037_0022-3514.76.4.587;10.1037_npe0000169;10.1038_nature04755;10.1038_s41467-020-14712-3;10.1038_s41562-017-0191-5;10.1038_s41598-017-12490-5;10.1038_s41598-023-33167-2;10.1073_pnas.1315273111;10.1073_pnas.93.23.13421;10.1080_01605682.2023.2269984;10.1080_13504851.2022.2156458;10.1080_17565529.2016.1174664;10.1086_684229;10.1098_rspb.2011.0690;10.1098_rspb.2012.0063;10.1098_rspb.2012.0937;10.1098_rstb.2020.0304;10.1111_cogs.13326;10.1111_ecoj.12088;10.1111_eth.12223;10.1111_jems.12451;10.1111_joes.12018;10.1142_s021759082246002x;10.1162_jeea.2005.3.2-3.303;10.1177_0190272512442397;10.1257_aer.100.1.420;10.1287_mnsc.2015.2168;10.1371_journal.pone.0040325;10.1371_journal.pone.0045093;10.1371_journal.pone.0045998;10.1371_journal.pone.0125193;10.1371_journal.pone.0222724;10.1523_jneurosci.2303-21.2022;10.1523_jneurosci.2761-12.2013;10.2147_prbm.S370155;10.2307_2667052;10.3389_fevo.2014.00041;10.3389_fpsyg.2021.681664
CONFIG_playerCount,Group size,75,756,9.920634920634921,10.1002_pchj.259;10.1002_soej.12487;10.1007_s10683-011-9281-9;10.1007_s11031-014-9395-4;10.1007_s11238-022-09897-6;10.1007_s11558-025-09594-3;10.1007_s12110-002-1012-7;10.1007_s12110-009-9072-6;10.1007_s12110-024-09483-5;10.1007_s40750-020-00143-3;10.1016_j.actpsy.2024.104608;10.1016_j.euroecorev.2018.05.004;10.1016_j.evolhumbehav.2016.02.001;10.1016_j.geb.2006.08.011;10.1016_j.geb.2018.10.003;10.1016_j.geb.2020.07.001;10.1016_j.jebo.2008.02.006;10.1016_j.jebo.2009.03.011;10.1016_j.jebo.2015.03.018;10.1016_j.jebo.2018.04.002;10.1016_j.jebo.2021.02.016;10.1016_j.jebo.2021.09.024;10.1016_j.jebo.2023.01.012;10.1016_j.jebo.2024.02.009;10.1016_j.jebo.2025.107138;10.1016_j.jecp.2022.105376;10.1016_j.jesp.2008.06.004;10.1016_j.jesp.2009.02.017;10.1016_j.jesp.2015.04.005;10.1016_j.jpubeco.2014.10.001;10.1016_j.jpubeco.2016.09.008;10.1016_j.jpubeco.2018.06.010;10.1016_j.jpubeco.2022.104701;10.1016_j.neuropsychologia.2007.11.033;10.1016_j.obhdp.2011.05.007;10.1016_j.obhdp.2016.02.004;10.1016_j.socec.2016.08.008;10.1016_j.socec.2016.10.003;10.1016_j.socec.2019.02.006;10.1016_s1090-5138(02)00157-5;10.1016_s1090-5138(04)00005-4;10.1037_dev0001183;10.1038_nature04755;10.1038_s41598-020-64930-4;10.1038_s41598-023-33167-2;10.1038_srep07843;10.1063_5.0147226;10.1073_pnas.1320451111;10.1073_pnas.1707505115;10.1086_691630;10.1093_ajae_aay025;10.1093_ej_uead005;10.1093_jleo_ewad011;10.1093_restud_rdv040;10.1098_rsbl.2013.1069;10.1111_1475-4932.12073;10.1111_caje.12557;10.1111_cogs.13326;10.1111_ecin.13171;10.1111_ecoj.12614;10.1111_vox.13088;10.1177_0022002712448910;10.1177_01902725221132517;10.1257_aer.100.1.420;10.1257_mic.3.4.77;10.1287_mnsc.1110.1466;10.1371_journal.pone.0045093;10.1371_journal.pone.0208129;10.1515_bejeap-2013-0110;10.1515_bejte-2019-0057;10.1523_jneurosci.2303-21.2022;10.1523_jneurosci.2761-12.2013;10.3389_fevo.2014.00041;10.3389_fpsyg.2022.794953;10.3390_bs14010039
CONFIG_punishmentTech,Punishment technology,48,756,6.349206349206349,10.1002_bdm.1976;10.1002_bdm.2208;10.1007_s00355-020-01284-w;10.1007_s10683-007-9171-3;10.1007_s10683-014-9405-0;10.1007_s11238-013-9356-5;10.1007_s12110-002-1012-7;10.1016_j.amc.2024.128836;10.1016_j.ecolecon.2022.107597;10.1016_j.euroecorev.2014.11.009;10.1016_j.geb.2020.08.004;10.1016_j.irle.2019.105858;10.1016_j.jebo.2009.01.006;10.1016_j.jebo.2023.04.028;10.1016_j.jebo.2023.11.003;10.1016_j.jesp.2020.104096;10.1016_j.joep.2013.07.002;10.1016_j.jpubeco.2014.05.002;10.1016_j.obhdp.2011.05.007;10.1016_j.socec.2019.101478;10.1016_s0167-2681(02)00098-7;10.1017_ehs.2024.41;10.1037_npe0000045;10.1038_s41467-018-04775-8;10.1038_s41562-017-0138;10.1038_s41598-018-38323-7;10.1080_0013791x.2011.650839;10.1080_15534510.2012.729493;10.1093_restud_rdt022;10.1111_apce.12343;10.1111_cogs.13326;10.1111_j.0021-9029.2006.00042.x;10.1111_j.1465-7295.2011.00452.x;10.1111_j.1467-937X.2010.00608.x;10.1111_j.1467-9442.2006.00444.x;10.1126_science.1100735;10.1126_science.1178883;10.1177_0146167206289978;10.1257_aer.102.7.3317;10.1371_journal.pone.0045662;10.1371_journal.pone.0064677;10.1371_journal.pone.0117183;10.1371_journal.pone.0155773;10.1371_journal.pone.0227360;10.1371_journal.pone.0275383;10.1628_0932456042776140;10.3390_bs14010039;10.4284_sej.2010.76.3.638
CONFIG_punishmentCost,Punishment cost,45,756,5.952380952380952,10.1002_ejsp.506;10.1007_s40888-022-00287-3;10.1016_j.actpsy.2020.103055;10.1016_j.amc.2024.128836;10.1016_j.ecolecon.2022.107597;10.1016_j.geb.2020.08.004;10.1016_j.irle.2019.105858;10.1016_j.jebo.2015.02.002;10.1016_j.jebo.2018.04.002;10.1016_j.jebo.2023.04.028;10.1016_j.jebo.2023.11.003;10.1016_j.jesp.2020.104096;10.1016_j.joep.2023.102675;10.1016_j.jpubeco.2012.08.003;10.1016_j.obhdp.2011.05.007;10.1016_j.socec.2014.09.001;10.1016_j.socec.2019.101478;10.1017_ehs.2024.41;10.1037_npe0000011;10.1037_npe0000045;10.1037_xge0001004;10.1038_s41598-018-38323-7;10.1038_s41598-023-37286-8;10.1038_srep10321;10.1080_01605682.2023.2269984;10.1086_684229;10.1093_aler_ahw005;10.1093_jleo_ewq015;10.1093_jleo_ewy026;10.1093_restud_rdt022;10.1108_01437720310502177;10.1108_tpm-03-2020-0021;10.1111_j.0021-9029.2006.00042.x;10.1111_j.1467-9442.2006.00444.x;10.1126_science.1100735;10.1177_0146167206289978;10.1177_0190272517703750;10.1371_journal.pone.0045093;10.1371_journal.pone.0045662;10.1371_journal.pone.0208129;10.1371_journal.pone.0227360;10.1371_journal.pone.0275383;10.1628_0932456042776140;10.2307_2667052;10.3390_g12020050
CONFIG_rewardExists,Reward exists,42,756,5.555555555555555,10.1002_bdm.2243;10.1002_pchj.259;10.1006_obhd.1995.1015;10.1007_s10683-013-9354-z;10.1007_s10683-019-09629-8;10.1007_s11238-016-9572-x;10.1007_s11403-022-00363-8;10.1016_j.econlet.2020.109155;10.1016_j.irle.2014.03.001;10.1016_j.jebo.2008.02.006;10.1016_j.jebo.2013.08.006;10.1016_j.jesp.2008.06.004;10.1016_j.joep.2009.04.004;10.1016_j.joep.2013.01.001;10.1016_j.joep.2017.07.002;10.1016_j.jpubeco.2014.10.001;10.1016_j.jpubeco.2015.03.012;10.1016_j.obhdp.2014.09.005;10.1016_j.obhdp.2016.02.004;10.1016_j.physleta.2020.126276;10.1016_j.socec.2016.10.003;10.1016_j.socec.2018.03.007;10.1037_a0011381;10.1037_a0023489;10.1037_npe0000011;10.1038_nature05229;10.1038_s41598-020-65516-w;10.1080_0013791x.2011.650839;10.1080_01605682.2023.2269984;10.1093_pnasnexus_pgad091;10.1098_rspb.2011.0805;10.1111_j.1465-7295.2007.00051.x;10.1111_j.1465-7295.2011.00422.x;10.1126_science.1123633;10.1126_science.1177418;10.1177_0190272513518803;10.1177_1368430208098783;10.1371_journal.pone.0069871;10.1371_journal.pone.0227360;10.1371_journal.pone.0236544;10.1371_journal.pone.0273014;10.1628_093245616x14500948554072
CONFIG_chat,Chat,28,756,3.7037037037037033,10.1002_soej.12626;10.1007_s00199-018-1146-4;10.1007_s10640-015-9879-z;10.1016_j.euroecorev.2012.05.003;10.1016_j.euroecorev.2017.07.013;10.1016_j.geb.2018.10.003;10.1016_j.jebo.2014.11.004;10.1016_j.jebo.2015.09.008;10.1016_j.jebo.2017.06.006;10.1016_j.jebo.2018.01.009;10.1016_j.jebo.2018.11.013;10.1016_j.jebo.2021.05.003;10.1016_j.jesp.2009.02.017;10.1016_j.jpubeco.2014.10.008;10.1016_j.jpubeco.2016.12.007;10.1016_j.leaqua.2019.101351;10.1037_npe0000011;10.1073_pnas.0502399102;10.1093_jleo_ewad011;10.1111_j.1465-7295.2011.00452.x;10.1111_j.1468-0297.2004.00214.x;10.1111_j.1540-5907.2011.00531.x;10.1111_kykl.12113;10.1257_aer.99.1.431;10.1628_0932456042776140;10.2307_1964229;10.3389_fnbeh.2016.00053;10.3763_cpol.2010.0106
CONFIG_MPCR,MPCR,24,756,3.1746031746031744,10.1002_mde.4492;10.1007_s12110-024-09483-5;10.1007_s40822-020-00144-3;10.1016_j.ejpoleco.2013.11.005;10.1016_j.euroecorev.2024.104682;10.1016_j.geb.2006.08.011;10.1016_j.geb.2025.01.011;10.1016_j.jebo.2009.03.011;10.1016_j.jesp.2009.02.017;10.1016_j.jpubeco.2022.104701;10.1016_j.socec.2014.09.001;10.1016_j.socec.2023.102034;10.1038_s41467-017-00731-0;10.1038_s41562-017-0138;10.1038_s41598-020-64930-4;10.1038_s41598-023-33167-2;10.1080_13504851.2011.572844;10.1111_1475-4932.12073;10.1111_ecoj.12614;10.1177_0146167206289978;10.1177_01902725221132517;10.1257_aer.99.4.1335;10.1371_journal.pone.0045093;10.1515_bejte-2019-0057
CONFIG_showAnyId,Show punishment/reward ID,14,756,1.8518518518518516,10.1007_s00199-007-0212-0;10.1007_s00355-015-0884-5;10.1016_j.ejpoleco.2022.102354;10.1016_j.evolhumbehav.2015.12.004;10.1016_j.jebo.2015.09.020;10.1016_j.jesp.2009.02.017;10.1016_j.socec.2016.04.009;10.1037_xge0000018;10.1038_s41598-023-33167-2;10.1038_srep42844;10.1111_1475-4932.12073;10.1111_jels.12231;10.1126_sciadv.1601444;10.1177_0022002712448912
CONFIG_allOrNothing,All-or-nothing,12,756,1.5873015873015872,10.1002_bdm.2110;10.1016_j.jebo.2020.07.031;10.1016_j.jebo.2023.01.012;10.1016_j.jebo.2023.04.028;10.1037_0022-3514.76.4.587;10.1038_s41598-023-33167-2;10.1038_s41598-023-46944-w;10.1111_cogs.13326;10.1177_0022002795039004006;10.1177_1043463107080449;10.1523_jneurosci.2303-21.2022;10.2307_2667052
CONFIG_showOtherSummaries,Show other summaries,9,756,1.1904761904761905,10.1007_s11127-021-00925-7;10.1016_j.jebo.2021.02.016;10.1016_j.jebo.2025.107207;10.1016_j.jesp.2009.02.017;10.1023_a_1023952115422;10.1093_jleo_ewu019;10.1111_jpet.12350;10.1142_s021759082246002x;10.1371_journal.pone.0222724
