feature_key,coef,n,feature_label,repeat,item_type
journal_impact,0.0013630998143064497,10042,journal_impact,rep1,papers
citation,-0.0023563262539465007,10042,citation,rep1,papers
empirical_share,-0.007098195735804304,10042,empirical_share,rep1,papers
recent,-0.0020035891526395673,10042,recent,rep1,papers
biology_share,0.001275793645542305,10042,biology_share,rep1,papers
economics_share,-0.0014543599767231536,10042,economics_share,rep1,papers
psychology_share,-6.317920587480193e-05,10042,psychology_share,rep1,papers
mathphysics_share,-0.001092700942068985,10042,mathphysics_share,rep1,papers
multidisciplinary_share,-4.158980623011754e-05,10042,multidisciplinary_share,rep1,papers
journal_impact,0.0016404776653798454,10026,journal_impact,rep2,papers
citation,-0.003859072183598297,10026,citation,rep2,papers
empirical_share,-0.008922813070026013,10026,empirical_share,rep2,papers
recent,-0.0024069690585991703,10026,recent,rep2,papers
biology_share,0.0021451277951089476,10026,biology_share,rep2,papers
economics_share,-0.0032145090315232965,10026,economics_share,rep2,papers
psychology_share,0.0004694034009142908,10026,psychology_share,rep2,papers
mathphysics_share,-0.003335204185678744,10026,mathphysics_share,rep2,papers
multidisciplinary_share,-0.0013576898007209132,10026,multidisciplinary_share,rep2,papers
journal_impact,0.0011422228492038572,10034,journal_impact,rep3,papers
citation,-0.004975391164907433,10034,citation,rep3,papers
empirical_share,-0.008686704442650408,10034,empirical_share,rep3,papers
recent,-0.003526241348676305,10034,recent,rep3,papers
biology_share,0.000823282259941899,10034,biology_share,rep3,papers
economics_share,-0.0033758502261293354,10034,economics_share,rep3,papers
psychology_share,0.000887927637012345,10034,psychology_share,rep3,papers
mathphysics_share,-0.0020975495709026695,10034,mathphysics_share,rep3,papers
multidisciplinary_share,-0.0003875589619517216,10034,multidisciplinary_share,rep3,papers
journal_impact,0.0013223649626521543,10033,journal_impact,rep4,papers
citation,-0.003335287607519366,10033,citation,rep4,papers
empirical_share,-0.007461622757775008,10033,empirical_share,rep4,papers
recent,-0.002962501218399885,10033,recent,rep4,papers
biology_share,0.0015788609536852498,10033,biology_share,rep4,papers
economics_share,-0.0028580165514652555,10033,economics_share,rep4,papers
psychology_share,0.0010328963931885875,10033,psychology_share,rep4,papers
mathphysics_share,-0.0021523064408668084,10033,mathphysics_share,rep4,papers
multidisciplinary_share,-0.0015598323482463707,10033,multidisciplinary_share,rep4,papers
journal_impact,0.002451265384227753,10036,journal_impact,rep5,papers
citation,-0.00321089534320761,10036,citation,rep5,papers
empirical_share,-0.008829417208941651,10036,empirical_share,rep5,papers
recent,-0.0024088134750540335,10036,recent,rep5,papers
biology_share,0.0001968068832460118,10036,biology_share,rep5,papers
economics_share,-0.0031029988529614446,10036,economics_share,rep5,papers
psychology_share,0.0003160673181191436,10036,psychology_share,rep5,papers
mathphysics_share,-0.0025385946739917044,10036,mathphysics_share,rep5,papers
multidisciplinary_share,-0.0020578706600079986,10036,multidisciplinary_share,rep5,papers
