item_type,feature_key,mean_coef,n_positive,n_negative,n_total
collections,biology_share,0.0033361509434330088,23,2,25
collections,citation,-0.00658640006221132,0,25,25
collections,collection_size,0.00947142759465974,24,1,25
collections,economics_share,-0.0010875516555854225,8,17,25
collections,empirical_share,-0.009728302964311925,0,25,25
collections,journal_impact,0.0043009773063672355,22,3,25
collections,mathphysics_share,-0.010583999553175662,0,25,25
collections,multidisciplinary_share,-0.004391576435111103,0,25,25
collections,psychology_share,-0.0003588007801628942,13,12,25
collections,recent,-0.0024487106745695215,7,18,25
papers,biology_share,0.0012605937662743929,18,7,25
papers,citation,-0.0026501729943048963,3,22,25
papers,economics_share,-0.002356790733479066,6,19,25
papers,empirical_share,-0.007035593219718664,0,25,25
papers,journal_impact,0.001222588441841813,18,7,25
papers,mathphysics_share,-0.001361612167214226,8,17,25
papers,multidisciplinary_share,-0.0006303758642812339,8,17,25
papers,psychology_share,0.00056484739237818,15,10,25
papers,recent,-0.002005067538202749,3,22,25
