dataset,repeat,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman
individual_papers,rep1,0.030236893508389005,0.16511467801399152,0.02890440142946682,0.17180230808455033
individual_papers,rep2,0.032703963698969926,0.16070568103334543,0.030428243496003073,0.1664347830581965
individual_papers,rep3,0.036753415337207815,0.1827146406382051,0.035282113937256096,0.18840671734059578
individual_papers,rep4,0.02938082916038558,0.15805640137185217,0.02842800184484816,0.16302455380976383
individual_papers,rep5,0.03719582353884878,0.18322795023207297,0.036245584261852294,0.18924892696704607
metadata_filter_collections,rep1,0.051828456763556144,0.20459393013644678,0.04432216519179102,0.21861012640767125
metadata_filter_collections,rep2,0.060137650297679854,0.22588483992382552,0.05466702686516952,0.22828946529686095
metadata_filter_collections,rep3,0.06253270247850498,0.23594740915927176,0.0564313531774546,0.2386686625713624
metadata_filter_collections,rep4,0.06906704850181092,0.19181622290182304,0.0657298384120444,0.25356155649994644
metadata_filter_collections,rep5,0.057594104800738496,0.21589906615549764,0.04534045768774554,0.22070581475272305
