item_type,feature_key,mean_coef,n_positive,n_negative,n_total
collections,biology_share,0.0035697525055022826,5,0,5
collections,citation,-0.007710590480132335,0,5,5
collections,collection_size,0.009785945991743539,5,0,5
collections,economics_share,-0.0010123374156683724,1,4,5
collections,empirical_share,-0.010829052897938144,0,5,5
collections,journal_impact,0.00466060072409232,5,0,5
collections,mathphysics_share,-0.011856971368017697,0,5,5
collections,multidisciplinary_share,-0.004750862017962,0,5,5
collections,psychology_share,-0.00012865548931221044,2,3,5
collections,recent,-0.003154104007113663,0,5,5
papers,biology_share,0.0012039743075048827,5,0,5
papers,citation,-0.0035473945106358415,0,5,5
papers,economics_share,-0.002801146927760497,0,5,5
papers,empirical_share,-0.008199750643039478,0,5,5
papers,journal_impact,0.001583886135154012,5,0,5
papers,mathphysics_share,-0.002243271162701782,0,5,5
papers,multidisciplinary_share,-0.0010809083154314243,0,5,5
papers,psychology_share,0.000528623108671913,4,1,5
papers,recent,-0.002661622850673792,0,5,5
