feature_key,coef,n,feature_label,repeat,item_type
journal_impact,0.004710843223813106,3577,journal_impact,rep1,collections
citation,-0.005892227785814341,3577,citation,rep1,collections
empirical_share,-0.00884738397394674,3577,empirical_share,rep1,collections
recent,-0.003113897204742793,3577,recent,rep1,collections
biology_share,0.003614350332801766,3577,biology_share,rep1,collections
economics_share,-0.001295938176132709,3577,economics_share,rep1,collections
psychology_share,-0.000526883637588178,3577,psychology_share,rep1,collections
mathphysics_share,-0.009535313201164523,3577,mathphysics_share,rep1,collections
multidisciplinary_share,-0.003878041040341949,3577,multidisciplinary_share,rep1,collections
collection_size,0.009739172351152604,3577,collection_size,rep1,collections
journal_impact,0.0059725081451849436,3578,journal_impact,rep2,collections
citation,-0.010278174523426045,3578,citation,rep2,collections
empirical_share,-0.012083365623867188,3578,empirical_share,rep2,collections
recent,-0.005001560476267753,3578,recent,rep2,collections
biology_share,0.003711838300782282,3578,biology_share,rep2,collections
economics_share,-0.001770289517555074,3578,economics_share,rep2,collections
psychology_share,0.001159468764692621,3578,psychology_share,rep2,collections
mathphysics_share,-0.013363811876019512,3578,mathphysics_share,rep2,collections
multidisciplinary_share,-0.004367993394985999,3578,multidisciplinary_share,rep2,collections
collection_size,0.010053747000293638,3578,collection_size,rep2,collections
journal_impact,0.005718236698325088,3578,journal_impact,rep3,collections
citation,-0.008195873373608284,3578,citation,rep3,collections
empirical_share,-0.010749916569775924,3578,empirical_share,rep3,collections
recent,-0.00344651813482892,3578,recent,rep3,collections
biology_share,0.003906308381053028,3578,biology_share,rep3,collections
economics_share,-0.0005502700266371321,3578,economics_share,rep3,collections
psychology_share,0.0005996336238339214,3578,psychology_share,rep3,collections
mathphysics_share,-0.011697852932096848,3578,mathphysics_share,rep3,collections
multidisciplinary_share,-0.005660035777499226,3578,multidisciplinary_share,rep3,collections
collection_size,0.010263188335488668,3578,collection_size,rep3,collections
journal_impact,0.0021385126588619775,3579,journal_impact,rep4,collections
citation,-0.005843993375429525,3579,citation,rep4,collections
empirical_share,-0.01188479430616442,3579,empirical_share,rep4,collections
recent,-0.0013947281982584392,3579,recent,rep4,collections
biology_share,0.0029056551973847045,3579,biology_share,rep4,collections
economics_share,-0.0018412038916403414,3579,economics_share,rep4,collections
psychology_share,-0.0010855496145537964,3579,psychology_share,rep4,collections
mathphysics_share,-0.012569054651763478,3579,mathphysics_share,rep4,collections
multidisciplinary_share,-0.005140250619959353,3579,multidisciplinary_share,rep4,collections
collection_size,0.008582928137715507,3579,collection_size,rep4,collections
journal_impact,0.004762902894276484,3578,journal_impact,rep5,collections
citation,-0.008342683342383481,3578,citation,rep5,collections
empirical_share,-0.010579804015936453,3578,empirical_share,rep5,collections
recent,-0.0028138160214704116,3578,recent,rep5,collections
biology_share,0.0037106103154896323,3578,biology_share,rep5,collections
economics_share,0.00039601453362339507,3578,economics_share,rep5,collections
psychology_share,-0.0007899465829456202,3578,psychology_share,rep5,collections
mathphysics_share,-0.012118824179044125,3578,mathphysics_share,rep5,collections
multidisciplinary_share,-0.0047079892570234694,3578,multidisciplinary_share,rep5,collections
collection_size,0.010290694134067276,3578,collection_size,rep5,collections
