wave,input_group,mode,n_variants,median_delta_rmse,median_delta_r2,median_delta_correlation,median_delta_directional_accuracy,mean_delta_rmse,mean_delta_r2,mean_delta_correlation,mean_delta_directional_accuracy
learning,both,joint,8,-0.3853258204227181,0.05117233593322579,0.05427280116269864,0.08333333333333337,-0.37508967382461944,0.049773461302767635,0.05203536981053597,0.07833333333333338
learning,both,joint_reasoning,8,-0.30927133968157694,0.041706536830930785,0.03805239704695054,0.1133333333333334,-0.3355801779535097,0.04513974306607581,0.04411489143328645,0.1083333333333334
learning,both,reasoning,8,0.35420820352161186,-0.047963977429814064,0.07197374766873679,-0.019999999999999962,0.6157638569583654,-0.08775351565624841,0.07192220536959035,-0.029999999999999957
learning,both,single,8,0.11966278445296474,-0.01624699597919299,0.05071215505923651,-0.030000000000000027,0.19366857335173804,-0.027637689874840957,0.044544690811417924,-0.03666666666666671
learning,data_only,joint,3,0.09423489867937107,-0.012722226130869707,-0.0076395602487711045,-0.03999999999999998,0.13567373724352963,-0.018426075374218327,-0.0073473505007204025,-0.03111111111111109
learning,data_only,joint_reasoning,3,-0.07138444450193404,0.009703409834275867,-0.01481004890370341,-0.006666666666666599,0.6299458909483994,-0.09244440729000362,-0.01819479452915305,-0.006666666666666599
learning,data_only,reasoning,3,0.4128591366267571,-0.05583556776985943,0.009877147714868806,-0.1466666666666666,0.5376586105454167,-0.07333844721140188,0.005970893788880383,-0.13999999999999996
learning,data_only,single,3,0.3329811370889324,-0.04552950195146721,-0.05393901978659349,-0.16666666666666669,0.7181709727956734,-0.10212935813798303,-0.05547593524306188,-0.13555555555555557
learning,paper_only,joint,3,-0.2963254688527517,0.03948465082403885,0.042047386256804375,0.08666666666666667,-0.2721133256652604,0.03615288578623166,0.033802748267377815,0.06000000000000002
learning,paper_only,joint_reasoning,3,-0.4491214027730379,0.0602862596699586,0.033541608018617164,0.09333333333333343,-0.41548800487779286,0.05576581248212731,0.03370397493728774,0.09555555555555563
learning,paper_only,reasoning,3,0.24908705601283643,-0.03350322518919424,0.068065657694996,-0.039999999999999925,0.7877309768194968,-0.11326293073809302,0.06431752316026124,-0.035555555555555486
learning,paper_only,single,3,0.07154266362494788,-0.00969805587884598,0.040224302540275925,-0.046666666666666745,0.19425507852891086,-0.02692764945332578,0.04111424983624786,-0.05333333333333342
validation,both,joint,8,0.2318566148471808,-0.07241596206059053,0.15010698059260225,-0.050000000000000044,0.4529262968912041,-0.14702261115305743,0.11341461531789129,-0.06875000000000002
validation,both,joint_reasoning,8,0.09076515915166272,-0.02427392618000168,0.14551774631308673,0.0,0.3988319622788735,-0.12174444537698978,0.15236243592439247,-0.006249999999999964
validation,both,reasoning,8,2.371490096657822,-0.6431232941620857,0.032158780838722256,-0.09999999999999998,2.5640093492662133,-0.7552248015170714,0.02411447996338685,-0.08124999999999996
validation,both,single,8,1.7720349671915265,-0.5440840362851086,0.03967044975090944,-0.09999999999999998,1.3368221020360624,-0.4244552688701428,0.04399665993911746,-0.08125000000000002
validation,data_only,joint,3,0.919238261952712,-0.2675694681001327,0.03909727586263345,-0.25,1.4659499396492832,-0.46901837250890166,0.048362576314620376,-0.25
validation,data_only,joint_reasoning,3,2.3074942901822526,-0.7091003038262736,0.006166337272034084,-0.19999999999999996,3.075324077585071,-1.1032749369077963,-0.035649989069233466,-0.21666666666666665
validation,data_only,reasoning,3,1.7330082175046337,-0.44732159440283026,-0.0760510276333245,-0.29999999999999993,2.6645884094256638,-0.7849223793437622,-0.07212962189935095,-0.3
validation,data_only,single,3,0.7470790928341495,-0.2142391616385455,-0.08058257264598068,-0.25,1.9166402515151673,-0.6541633449142421,-0.09385900346576943,-0.2333333333333333
validation,paper_only,joint,3,0.7442167933441102,-0.21406301696022256,0.13248119512817136,-0.050000000000000044,0.5706175024157464,-0.16363663735500286,0.153000791361941,-0.0666666666666667
validation,paper_only,joint_reasoning,3,0.5130430513439768,-0.13955401922315003,0.13978413062593065,0.050000000000000044,0.5238015788874589,-0.1425991929649425,0.14503748590704735,0.03333333333333336
validation,paper_only,reasoning,3,1.3316937147064039,-0.3332244548680977,0.06775829911268694,-0.1499999999999999,2.0687015772870265,-0.5743636509310215,0.06721118836290603,-0.09999999999999994
validation,paper_only,single,3,0.7783779698709257,-0.22369383714531255,0.0805309895593822,-0.09999999999999998,1.3420715759000572,-0.418451773665655,0.07478626040987464,-0.08333333333333333
