wave,input_group,mode,feature,median_value,mean_value,n_variants
learning,baseline,joint,CONFIG_MPCR,0.053928366753570774,0.053928366753570774,1
learning,baseline,joint,CONFIG_numRounds,-0.05399329821490927,-0.05399329821490927,1
learning,baseline,joint,CONFIG_playerCount,0.15583450897962897,0.15583450897962897,1
learning,baseline,joint,CONFIG_punishmentCost,0.008098849915554663,0.008098849915554663,1
learning,baseline,joint,CONFIG_punishmentTech,-0.004581615531330975,-0.004581615531330975,1
learning,baseline,joint,CONFIG_rewardTech,-0.051091341639271065,-0.051091341639271065,1
learning,baseline,joint,control_pct,-0.3850600707112431,-0.3850600707112431,1
learning,baseline,joint_reasoning,CONFIG_MPCR,0.17895045369886584,0.17895045369886584,1
learning,baseline,joint_reasoning,CONFIG_numRounds,-0.07086634773525269,-0.07086634773525269,1
learning,baseline,joint_reasoning,CONFIG_playerCount,0.1663376184384834,0.1663376184384834,1
learning,baseline,joint_reasoning,CONFIG_punishmentCost,0.2011121666042555,0.2011121666042555,1
learning,baseline,joint_reasoning,CONFIG_punishmentTech,0.012294247742060796,0.012294247742060796,1
learning,baseline,joint_reasoning,CONFIG_rewardTech,0.07098262848420858,0.07098262848420858,1
learning,baseline,joint_reasoning,control_pct,-0.6009720416376757,-0.6009720416376757,1
learning,baseline,reasoning,CONFIG_MPCR,0.15018676253492463,0.15018676253492463,1
learning,baseline,reasoning,CONFIG_numRounds,-0.014234779247949175,-0.014234779247949175,1
learning,baseline,reasoning,CONFIG_playerCount,-0.06994821438400274,-0.06994821438400274,1
learning,baseline,reasoning,CONFIG_punishmentCost,-0.1809787910915097,-0.1809787910915097,1
learning,baseline,reasoning,CONFIG_punishmentTech,0.13164318511169906,0.13164318511169906,1
learning,baseline,reasoning,CONFIG_rewardTech,-0.06022988914405147,-0.06022988914405147,1
learning,baseline,reasoning,control_pct,-0.25649620614959706,-0.25649620614959706,1
learning,baseline,single,CONFIG_MPCR,0.2631376259169821,0.2631376259169821,1
learning,baseline,single,CONFIG_numRounds,-0.03501454807387765,-0.03501454807387765,1
learning,baseline,single,CONFIG_playerCount,-0.21456251278412336,-0.21456251278412336,1
learning,baseline,single,CONFIG_punishmentCost,-0.19254692173129245,-0.19254692173129245,1
learning,baseline,single,CONFIG_punishmentTech,0.12123399200990732,0.12123399200990732,1
learning,baseline,single,CONFIG_rewardTech,-0.09463939029803058,-0.09463939029803058,1
learning,baseline,single,control_pct,0.29379957592142136,0.29379957592142136,1
learning,both,joint,CONFIG_MPCR,0.06663452069609874,0.11366042652379316,8
learning,both,joint,CONFIG_numRounds,-0.0972535644746819,-0.09992744487385448,8
learning,both,joint,CONFIG_playerCount,0.03291629371569618,0.026132704412332584,8
learning,both,joint,CONFIG_punishmentCost,0.05281031139413375,0.05049728509508286,8
learning,both,joint,CONFIG_punishmentTech,0.06253016333746159,0.06995438367635068,8
learning,both,joint,CONFIG_rewardTech,0.01098409183562465,-0.011052091314466137,8
learning,both,joint,control_pct,0.03030077198800145,0.030633030260515087,8
learning,both,joint_reasoning,CONFIG_MPCR,0.06159692134085432,0.08756254938112086,8
learning,both,joint_reasoning,CONFIG_numRounds,-0.07659437559233201,-0.08821064313150227,8
learning,both,joint_reasoning,CONFIG_playerCount,0.01682770208375795,0.012272590187955427,8
learning,both,joint_reasoning,CONFIG_punishmentCost,0.04449308771018415,0.03898478416832528,8
learning,both,joint_reasoning,CONFIG_punishmentTech,0.06933794766912679,0.05960650046387077,8
learning,both,joint_reasoning,CONFIG_rewardTech,-0.06703486346595472,-0.06854060706388374,8
learning,both,joint_reasoning,control_pct,0.20925337785927145,0.1679676300387533,8
learning,both,reasoning,CONFIG_MPCR,0.1459690535658583,0.16257513709058125,8
learning,both,reasoning,CONFIG_numRounds,-0.12448607062580341,-0.12076267648474678,8
learning,both,reasoning,CONFIG_playerCount,0.03256730233143184,0.03723568021973487,8
learning,both,reasoning,CONFIG_punishmentCost,0.02036983587459038,0.021780631255212957,8
learning,both,reasoning,CONFIG_punishmentTech,0.04637301895382065,0.04760323651009194,8
learning,both,reasoning,CONFIG_rewardTech,-0.10200373692548641,-0.10183500180286828,8
learning,both,reasoning,control_pct,0.13972478215730988,0.11365407597943412,8
learning,both,single,CONFIG_MPCR,0.10863632701779206,0.15396331227674118,8
learning,both,single,CONFIG_numRounds,-0.0718222174903023,-0.09151118987762463,8
learning,both,single,CONFIG_playerCount,0.05505331991260359,0.052001616230160204,8
learning,both,single,CONFIG_punishmentCost,0.030845907281028505,0.030509599382224768,8
learning,both,single,CONFIG_punishmentTech,0.06154361136023474,0.06808656246677446,8
learning,both,single,CONFIG_rewardTech,-0.09242148208427788,-0.09379988348224634,8
learning,both,single,control_pct,0.12834643337708043,0.10016250045305837,8
learning,data_only,joint,CONFIG_MPCR,0.0423149788682828,-0.027041423591331406,3
learning,data_only,joint,CONFIG_numRounds,-0.1544236791986449,-0.14053291401318302,3
learning,data_only,joint,CONFIG_playerCount,0.17259912281074602,0.16373764415835926,3
learning,data_only,joint,CONFIG_punishmentCost,0.06468076877089725,0.1091609355415707,3
learning,data_only,joint,CONFIG_punishmentTech,0.14052795842321308,0.161230673098127,3
learning,data_only,joint,CONFIG_rewardTech,-0.035157240990735604,-0.029149000481589537,3
learning,data_only,joint,control_pct,-0.3938272136265192,-0.41108414401637394,3
learning,data_only,joint_reasoning,CONFIG_MPCR,-0.0726933161165173,-0.0850569478269721,3
learning,data_only,joint_reasoning,CONFIG_numRounds,-0.05086208981277579,-0.08461131315960951,3
learning,data_only,joint_reasoning,CONFIG_playerCount,0.14729866550422935,0.11314335437222582,3
learning,data_only,joint_reasoning,CONFIG_punishmentCost,0.10651614740561142,0.0910870410765573,3
learning,data_only,joint_reasoning,CONFIG_punishmentTech,0.2317641860096808,0.2673607401342298,3
learning,data_only,joint_reasoning,CONFIG_rewardTech,-0.04555226464481616,-0.0319240701512395,3
learning,data_only,joint_reasoning,control_pct,-0.5426518801557662,-0.5382498435392113,3
learning,data_only,reasoning,CONFIG_MPCR,-0.02091127020677908,-0.0675905443144499,3
learning,data_only,reasoning,CONFIG_numRounds,-0.05521935148069164,-0.061188819493389446,3
learning,data_only,reasoning,CONFIG_playerCount,0.11351406732507013,0.08559122642207084,3
learning,data_only,reasoning,CONFIG_punishmentCost,-0.10410445170269712,-0.16314600763013876,3
learning,data_only,reasoning,CONFIG_punishmentTech,0.1722282247465604,0.09129093514756303,3
learning,data_only,reasoning,CONFIG_rewardTech,-0.06545558953869207,-0.04708190712766564,3
learning,data_only,reasoning,control_pct,-0.439193610240378,-0.3929404655800048,3
learning,data_only,single,CONFIG_MPCR,-0.027022071942960933,-0.10707989097786001,3
learning,data_only,single,CONFIG_numRounds,-0.06626853897583548,-0.08471540385928217,3
learning,data_only,single,CONFIG_playerCount,0.17431761478240632,0.1724659474020819,3
learning,data_only,single,CONFIG_punishmentCost,-0.01300121448025547,-0.029158844854594374,3
learning,data_only,single,CONFIG_punishmentTech,0.22523774407490613,0.12971127958264386,3
learning,data_only,single,CONFIG_rewardTech,0.0005928875077354758,-0.0027155578167135258,3
learning,data_only,single,control_pct,-0.6499769869757975,-0.6455669109728513,3
learning,paper_only,joint,CONFIG_MPCR,0.07958055520358198,0.09383286117173949,3
learning,paper_only,joint,CONFIG_numRounds,-0.1363596832274859,-0.1257162955848418,3
learning,paper_only,joint,CONFIG_playerCount,0.015241723987540302,0.03232937296656057,3
learning,paper_only,joint,CONFIG_punishmentCost,0.0971005355237372,0.09632056698675485,3
learning,paper_only,joint,CONFIG_punishmentTech,0.07311369464426203,0.040263893521107694,3
learning,paper_only,joint,CONFIG_rewardTech,-0.04151627701007033,-0.06182925966157491,3
learning,paper_only,joint,control_pct,-0.12094470025389108,-0.1223473472773098,3
learning,paper_only,joint_reasoning,CONFIG_MPCR,0.08274375261784561,0.05716568441305611,3
learning,paper_only,joint_reasoning,CONFIG_numRounds,-0.13517767824713425,-0.12217732942022312,3
learning,paper_only,joint_reasoning,CONFIG_playerCount,0.07919038645224394,0.08226840361456814,3
learning,paper_only,joint_reasoning,CONFIG_punishmentCost,0.07009632380901781,0.0796255288881756,3
learning,paper_only,joint_reasoning,CONFIG_punishmentTech,0.04624860434107735,0.03133832707479618,3
learning,paper_only,joint_reasoning,CONFIG_rewardTech,-0.08112602212196528,-0.0893222662569596,3
learning,paper_only,joint_reasoning,control_pct,-0.0035103436540239634,-0.016405804643136807,3
learning,paper_only,reasoning,CONFIG_MPCR,0.047052230278289114,0.05414237172785689,3
learning,paper_only,reasoning,CONFIG_numRounds,-0.13123751582352436,-0.0879791122858194,3
learning,paper_only,reasoning,CONFIG_playerCount,0.08273743299448665,0.09563913470410068,3
learning,paper_only,reasoning,CONFIG_punishmentCost,0.03377233020688871,0.03664732004222954,3
learning,paper_only,reasoning,CONFIG_punishmentTech,0.06706081804319321,0.08144227358520192,3
learning,paper_only,reasoning,CONFIG_rewardTech,-0.12395496206997907,-0.12371263725207106,3
learning,paper_only,reasoning,control_pct,0.1918465832987412,0.12625067528641434,3
learning,paper_only,single,CONFIG_MPCR,0.04150163243577642,0.06248646198137414,3
learning,paper_only,single,CONFIG_numRounds,-0.050096740439606845,-0.06344903100716574,3
learning,paper_only,single,CONFIG_playerCount,0.062016764509336374,0.0808642943941145,3
learning,paper_only,single,CONFIG_punishmentCost,0.019105710137711396,0.01833688663040478,3
learning,paper_only,single,CONFIG_punishmentTech,0.09057734265791556,0.10541795483909862,3
learning,paper_only,single,CONFIG_rewardTech,-0.06274858027136218,-0.08133985831387465,3
learning,paper_only,single,control_pct,0.24342229867344994,0.2169834074392404,3
validation,baseline,joint,CONFIG_MPCR,0.18906415800193482,0.18906415800193482,1
validation,baseline,joint,CONFIG_numRounds,0.10500591966117381,0.10500591966117381,1
validation,baseline,joint,CONFIG_playerCount,0.1750204753214364,0.1750204753214364,1
validation,baseline,joint,CONFIG_punishmentCost,-0.4860391022167776,-0.4860391022167776,1
validation,baseline,joint,CONFIG_punishmentTech,-0.14645818625371457,-0.14645818625371457,1
validation,baseline,joint,CONFIG_rewardTech,0.44191152432248004,0.44191152432248004,1
validation,baseline,joint,control_pct,-0.16239697385030208,-0.16239697385030208,1
validation,baseline,joint_reasoning,CONFIG_MPCR,0.3049714240153688,0.3049714240153688,1
validation,baseline,joint_reasoning,CONFIG_numRounds,0.31377111351606624,0.31377111351606624,1
validation,baseline,joint_reasoning,CONFIG_playerCount,0.05375867413387235,0.05375867413387235,1
validation,baseline,joint_reasoning,CONFIG_punishmentCost,-0.4689083234880436,-0.4689083234880436,1
validation,baseline,joint_reasoning,CONFIG_punishmentTech,0.30095980970237424,0.30095980970237424,1
validation,baseline,joint_reasoning,CONFIG_rewardTech,0.45286745677878615,0.45286745677878615,1
validation,baseline,joint_reasoning,control_pct,-0.3967653355171802,-0.3967653355171802,1
validation,baseline,reasoning,CONFIG_MPCR,0.33347433938820575,0.33347433938820575,1
validation,baseline,reasoning,CONFIG_numRounds,0.1660673342340435,0.1660673342340435,1
validation,baseline,reasoning,CONFIG_playerCount,0.1970284494311813,0.1970284494311813,1
validation,baseline,reasoning,CONFIG_punishmentCost,-0.20018956689239892,-0.20018956689239892,1
validation,baseline,reasoning,CONFIG_punishmentTech,0.15971652220843807,0.15971652220843807,1
validation,baseline,reasoning,CONFIG_rewardTech,0.1283362523809857,0.1283362523809857,1
validation,baseline,reasoning,control_pct,-0.4750884406904404,-0.4750884406904404,1
validation,baseline,single,CONFIG_MPCR,0.16451543768308438,0.16451543768308438,1
validation,baseline,single,CONFIG_numRounds,0.3884701194082313,0.3884701194082313,1
validation,baseline,single,CONFIG_playerCount,-0.2543579068400839,-0.2543579068400839,1
validation,baseline,single,CONFIG_punishmentCost,-0.1740731808976725,-0.1740731808976725,1
validation,baseline,single,CONFIG_punishmentTech,0.30797177921272567,0.30797177921272567,1
validation,baseline,single,CONFIG_rewardTech,-0.04072486598497505,-0.04072486598497505,1
validation,baseline,single,control_pct,0.055666295911908734,0.055666295911908734,1
validation,both,joint,CONFIG_MPCR,0.17733259711556762,0.1934684443900579,8
validation,both,joint,CONFIG_numRounds,0.1150888165662925,0.15929872893100913,8
validation,both,joint,CONFIG_playerCount,-0.1835315391927182,-0.23148087598164235,8
validation,both,joint,CONFIG_punishmentCost,0.0881043668138266,0.06746398203898235,8
validation,both,joint,CONFIG_punishmentTech,0.2723258783065662,0.2774354206981133,8
validation,both,joint,CONFIG_rewardTech,-0.4598674402509994,-0.4864932952046635,8
validation,both,joint,control_pct,-0.05350645924594757,0.0020611780942494454,8
validation,both,joint_reasoning,CONFIG_MPCR,0.05108434899722348,0.03685469667816737,8
validation,both,joint_reasoning,CONFIG_numRounds,0.28011130354337677,0.23795234005256224,8
validation,both,joint_reasoning,CONFIG_playerCount,-0.27798029696273296,-0.25026847599135915,8
validation,both,joint_reasoning,CONFIG_punishmentCost,0.17801845612548295,0.16191920634213752,8
validation,both,joint_reasoning,CONFIG_punishmentTech,0.284352946482846,0.30457366599951663,8
validation,both,joint_reasoning,CONFIG_rewardTech,-0.4839494382669708,-0.4657586499284037,8
validation,both,joint_reasoning,control_pct,0.10866334847022291,0.06937364122283071,8
validation,both,reasoning,CONFIG_MPCR,0.030601773673442786,0.04832025670824887,8
validation,both,reasoning,CONFIG_numRounds,0.05971948802409769,0.05787957229513333,8
validation,both,reasoning,CONFIG_playerCount,-0.3022307841215843,-0.2841967229289517,8
validation,both,reasoning,CONFIG_punishmentCost,0.20882702031578457,0.2238717411595019,8
validation,both,reasoning,CONFIG_punishmentTech,0.303177789860115,0.32122027500208394,8
validation,both,reasoning,CONFIG_rewardTech,-0.503136665658952,-0.4817157997226185,8
validation,both,reasoning,control_pct,0.10628742740817168,0.11870124209690226,8
validation,both,single,CONFIG_MPCR,-0.02448656389449782,0.0360302123027146,8
validation,both,single,CONFIG_numRounds,0.03844127826900798,0.05554980887148611,8
validation,both,single,CONFIG_playerCount,-0.2475446610859478,-0.27872209776985607,8
validation,both,single,CONFIG_punishmentCost,0.23759856353175351,0.18405072913599085,8
validation,both,single,CONFIG_punishmentTech,0.23363854579479565,0.22602500823400987,8
validation,both,single,CONFIG_rewardTech,-0.50537906498112,-0.5037126794533274,8
validation,both,single,control_pct,0.16155597629573126,0.14284993135654184,8
validation,data_only,joint,CONFIG_MPCR,0.22344338114275877,0.2323011488069178,3
validation,data_only,joint,CONFIG_numRounds,0.12862760962784967,0.08275559796900246,3
validation,data_only,joint,CONFIG_playerCount,-0.10101609451466527,-0.07627425069616857,3
validation,data_only,joint,CONFIG_punishmentCost,-0.050531373528776735,-0.020505031355958204,3
validation,data_only,joint,CONFIG_punishmentTech,0.31844681093534116,0.35178980548356353,3
validation,data_only,joint,CONFIG_rewardTech,-0.18690886743935586,-0.1785985312094216,3
validation,data_only,joint,control_pct,-0.47370528458832406,-0.46114404055110886,3
validation,data_only,joint_reasoning,CONFIG_MPCR,0.2633931260260926,0.23306737647920714,3
validation,data_only,joint_reasoning,CONFIG_numRounds,0.16399235439611723,0.19018715141789966,3
validation,data_only,joint_reasoning,CONFIG_playerCount,0.040617030895530676,-0.06936587089680185,3
validation,data_only,joint_reasoning,CONFIG_punishmentCost,0.019642303397221023,-0.050668892788390374,3
validation,data_only,joint_reasoning,CONFIG_punishmentTech,0.24049904748522563,0.36686560853465094,3
validation,data_only,joint_reasoning,CONFIG_rewardTech,-0.12826808276357157,-0.13248482986438137,3
validation,data_only,joint_reasoning,control_pct,-0.4702844505182454,-0.3060621299862612,3
validation,data_only,reasoning,CONFIG_MPCR,0.3507721552949035,0.30455520956032966,3
validation,data_only,reasoning,CONFIG_numRounds,0.21802167622246177,0.19020292546590145,3
validation,data_only,reasoning,CONFIG_playerCount,-0.16964015321713344,-0.24340075197331168,3
validation,data_only,reasoning,CONFIG_punishmentCost,-0.45963056480840625,-0.4251199834375334,3
validation,data_only,reasoning,CONFIG_punishmentTech,0.1441210840372335,0.22484871334228815,3
validation,data_only,reasoning,CONFIG_rewardTech,-0.05683863061043922,-0.10828745897160079,3
validation,data_only,reasoning,control_pct,-0.10371946783540047,-0.17764558064769642,3
validation,data_only,single,CONFIG_MPCR,0.32324445509353156,0.15976155990143112,3
validation,data_only,single,CONFIG_numRounds,-0.007117961434249752,-0.00035882812919515544,3
validation,data_only,single,CONFIG_playerCount,0.05437211080498101,-0.05082337934072756,3
validation,data_only,single,CONFIG_punishmentCost,-0.08479256950019914,-0.13853572205897902,3
validation,data_only,single,CONFIG_punishmentTech,0.4600922578076157,0.4075900433620408,3
validation,data_only,single,CONFIG_rewardTech,-0.012827066647397767,0.03816099301580798,3
validation,data_only,single,control_pct,-0.4321221874589378,-0.33922654574774813,3
validation,paper_only,joint,CONFIG_MPCR,-0.001576229168809746,0.11208165731075508,3
validation,paper_only,joint,CONFIG_numRounds,0.22566036580801585,0.2004319122260019,3
validation,paper_only,joint,CONFIG_playerCount,0.09381416064645996,-0.014550238900104179,3
validation,paper_only,joint,CONFIG_punishmentCost,0.05310935056513771,0.12586001522729703,3
validation,paper_only,joint,CONFIG_punishmentTech,0.23932122880692075,0.2613461479538033,3
validation,paper_only,joint,CONFIG_rewardTech,-0.4955871572272088,-0.4417615971903139,3
validation,paper_only,joint,control_pct,0.06696663633196889,0.07616836966348943,3
validation,paper_only,joint_reasoning,CONFIG_MPCR,-0.05144769146936552,-0.08575591052185179,3
validation,paper_only,joint_reasoning,CONFIG_numRounds,0.38307494389293556,0.342481723592444,3
validation,paper_only,joint_reasoning,CONFIG_playerCount,-0.17304838899058878,-0.15541926187183486,3
validation,paper_only,joint_reasoning,CONFIG_punishmentCost,0.0477579306259437,0.0840919451073286,3
validation,paper_only,joint_reasoning,CONFIG_punishmentTech,0.1441404007429833,0.1827778051485964,3
validation,paper_only,joint_reasoning,CONFIG_rewardTech,-0.4678709370976659,-0.4911441511422412,3
validation,paper_only,joint_reasoning,control_pct,0.15913188606000941,0.15424656927828342,3
validation,paper_only,reasoning,CONFIG_MPCR,-0.08544481471976602,-0.05827153256735026,3
validation,paper_only,reasoning,CONFIG_numRounds,0.11463223108957529,0.11348305708077992,3
validation,paper_only,reasoning,CONFIG_playerCount,-0.2752657149259106,-0.19554160377460986,3
validation,paper_only,reasoning,CONFIG_punishmentCost,0.1995967742647385,0.13807175244076197,3
validation,paper_only,reasoning,CONFIG_punishmentTech,0.2730520899380706,0.2579601994887834,3
validation,paper_only,reasoning,CONFIG_rewardTech,-0.5757902169499064,-0.526733389720429,3
validation,paper_only,reasoning,control_pct,0.27739141962438235,0.17762644381966816,3
validation,paper_only,single,CONFIG_MPCR,-0.11379597424696765,-0.07048884895896164,3
validation,paper_only,single,CONFIG_numRounds,0.19220583746612954,0.12423354690158876,3
validation,paper_only,single,CONFIG_playerCount,-0.13205119873236262,-0.2020047699249661,3
validation,paper_only,single,CONFIG_punishmentCost,0.03464617438748991,0.05176046839754258,3
validation,paper_only,single,CONFIG_punishmentTech,0.1247589665298124,0.16161377385941883,3
validation,paper_only,single,CONFIG_rewardTech,-0.5488513018545257,-0.5224996341165192,3
validation,paper_only,single,control_pct,0.39769135132590616,0.26813461514466436,3
