variation,rmse,rmse_ci_low,rmse_ci_high,correlation,correlation_ci_low,correlation_ci_high,directional_accuracy,directional_accuracy_ci_low,directional_accuracy_ci_high,n,input_group,family,mode,wave,r2,baseline_r2_matched,delta_r2_vs_matched_baseline,source
both_contrastive,6.3654235749957095,4.740523820486534,7.755520928318347,0.7742985130953652,0.5168403003711551,0.9078489072899684,0.7,0.5,0.9,20,both,contrastive,single,validation,0.20313396862040145,0.05899622905074087,0.14413773956966058,
both_contrastive_reasoning,6.114896496224247,4.260850696550675,7.71541969094456,0.7338993843836635,0.4478777162406984,0.8987744685881489,0.65,0.45,0.85,20,both,contrastive,reasoning,validation,0.26462490345210965,0.3619639450741491,-0.09733904162203943,
both_contrastive_joint,6.411041270760928,4.954776861280304,7.684032345339919,0.722916410997191,0.4870916295188596,0.8683578139371714,0.6,0.4,0.8,20,both,contrastive,joint,validation,0.1916715900860967,0.052604036776360275,0.1390675533097364,
both_contrastive_joint_reasoning,6.222734974973875,5.13270714606969,7.27713911847176,0.7650290954281587,0.5674982371959614,0.8873583648873903,0.65,0.4487500000000001,0.85,20,both,contrastive,joint_reasoning,validation,0.23845896930459654,0.1279231301022753,0.11053583920232124,
both_ensemble,8.789958669991936,6.994750726426495,10.428405067807224,0.5566276083908986,0.1373556297429488,0.8012149966518246,0.45,0.25,0.65,20,both,ensemble,single,validation,-0.5195128034360068,0.05899622905074087,-0.5785090324867477,
both_ensemble_reasoning,10.821196916647136,8.031985540550362,13.88902781801939,0.6481064549706288,0.3077319549537616,0.836152982521495,0.5,0.3,0.7012499999999988,20,both,ensemble,reasoning,validation,-1.302932972640387,0.3619639450741491,-1.664896917714536,
both_ensemble_joint,8.833285434811623,6.247564039799092,11.342963831195634,0.4450425763914762,-0.0778312492902565,0.8119046611477969,0.55,0.34875,0.75,20,both,ensemble,joint,validation,-0.53452944505828,0.052604036776360275,-0.5871334818346403,
both_ensemble_joint_reasoning,6.618622706016502,4.915723614990078,8.036176004335958,0.7394222057644596,0.5005377981830204,0.8916624618585419,0.6,0.4,0.8,20,both,ensemble,joint_reasoning,validation,0.13847884247050646,0.1279231301022753,0.010555712368231163,
both_freeform,8.588511272131528,6.3607337125211965,10.493409591282514,0.6685339710540438,0.399888865547396,0.839723262061133,0.55,0.34875,0.75,20,both,freeform,single,validation,-0.4506628110327291,0.05899622905074087,-0.50965904008347,
both_freeform_reasoning,9.030279109453472,6.479024445865274,11.454922289522177,0.6699158010014048,0.3881935732523901,0.8533356891194203,0.6,0.4,0.8,20,both,freeform,reasoning,validation,-0.6037366169846266,0.3619639450741491,-0.9657005620587756,
