comparison,delta_r2,delta_ci_low,delta_ci_high
noise_ceiling_minus_baseline_reasoning,0.2788922286763714,-0.05951829945921878,0.691560822322963
noise_ceiling_minus_elastic_net,0.042009698266051165,-0.2646955954741557,0.4968618914379668
elastic_net_minus_baseline_reasoning,0.23688253041032026,-0.11815542260604056,0.5095172764676933
