wave,input_group,mode,n_variants,median_delta_rmse,median_delta_r2,median_delta_correlation,median_delta_directional_accuracy,mean_delta_rmse,mean_delta_r2,mean_delta_correlation,mean_delta_directional_accuracy
learning,both,joint,8,2.9482404817406973,-0.43604090450918476,-0.18759858250990458,0.13000000000000006,3.1179891005862483,-0.4697300819011139,-0.22000854023757196,0.1341666666666667
learning,both,joint_reasoning,8,-0.11167964284855358,0.015159554769116679,0.014120612334160648,0.030000000000000027,-0.07083309262889714,0.008423262785502109,0.0023275624617940145,0.08416666666666672
learning,both,reasoning,8,1.588651224318152,-0.22329567599400513,0.09369497025518783,-0.11165548098433997,1.4281845814555905,-0.20253784209632944,0.07912067609715301,-0.10323140665662232
learning,both,single,8,13.699186519858072,-2.7036657724080855,-0.28132957866868713,-0.010000000000000064,15.143173477153695,-3.3755385342213047,-0.2906500305430904,-0.005000000000000032
learning,data_only,joint,3,1.7788346303519198,-0.25363999580283236,-0.2067474539836082,0.1266666666666667,2.0312585800430916,-0.31412969614591574,-0.22725433654626548,0.1444444444444445
learning,data_only,joint_reasoning,3,1.675384754375873,-0.2409099450180472,-0.026278328980825105,0.00666666666666671,1.8254697508621451,-0.26897458637408705,-0.012674576307647678,0.024444444444444508
learning,data_only,reasoning,3,1.0770478738487004,-0.14888105459746392,-0.010012246249585688,-0.1471171171171171,1.3102785793748322,-0.18467106908052364,-0.014111633496788437,-0.1542242242242242
learning,data_only,single,3,12.89230260141866,-2.4915874180735242,-0.3973485520381418,0.0,14.908316482420355,-3.1625068504659466,-0.46211854718848916,-3.700743415417188e-17
learning,paper_only,joint,3,2.0614690402420273,-0.29656262783458764,-0.1715594218172213,0.13333333333333341,2.6877303313751604,-0.40548931857538256,-0.2109237251898335,0.1377777777777778
learning,paper_only,joint_reasoning,3,2.271619536289748,-0.3327409578179734,-0.019732235689001232,0.10666666666666674,2.277147509595329,-0.3770570853438791,-0.021262451104341645,0.12222222222222229
learning,paper_only,reasoning,3,1.504684938463683,-0.2108897802203169,0.015032238690667277,-0.06970917225950779,1.4454899894726274,-0.2086909785682527,0.04243297991783233,-0.08313199105145413
learning,paper_only,single,3,26.533682563085783,-6.757082353041224,-0.3738609610211699,-0.020000000000000018,26.116826867260126,-6.655023596420538,-0.37024592218746805,-0.011111111111111146
validation,both,joint,8,3.88206920094557,-1.4522886536245159,-0.1920808837776518,0.25,4.93639956970037,-2.1702287799918296,-0.20084251133446332,0.25
validation,both,joint_reasoning,8,0.12844470759181403,-0.03976441775239248,0.07072545153318022,0.024999999999999994,1.0761591006224394,-0.47918592487016104,-0.006991459890425232,0.07500000000000001
validation,both,reasoning,8,-0.6585331989566132,0.2503676892717529,0.30354577806892297,0.10000000000000003,-0.9428006156816523,0.34460018821347,0.29160881612607337,0.10361842105263158
validation,both,single,8,14.710790450021879,-8.66028766449401,-0.30267448031758015,0.04999999999999993,16.51328308515927,-11.894002469195273,-0.324881182877607,0.09999999999999995
validation,data_only,joint,3,1.8788956222731006,-0.6269064814152032,0.029143997016415124,0.15000000000000002,1.5475077897404894,-0.5136359099470039,0.03313915546175766,0.13333333333333336
validation,data_only,joint_reasoning,3,2.796162814862811,-1.0088943757872533,-0.11298381891377701,-0.04999999999999999,2.337017865885056,-0.9588718253456708,-0.1303232382146958,-1.850371707708594e-17
validation,data_only,reasoning,3,-0.06452302828112622,0.025472089760478545,0.07236340886709114,-0.04999999999999999,0.5031128909065602,-0.272275737108929,0.09592541287899563,-0.060526315789473685
validation,data_only,single,3,17.258689255488832,-10.977423763535153,-0.8499846888491338,0.09999999999999998,17.994943812922276,-12.295039773475475,-0.7446293161470493,0.09999999999999994
validation,paper_only,joint,3,9.04753095924838,-4.2943204428458595,-0.2936366123576092,0.25,6.553613504453917,-3.033810566045819,-0.22081693946930325,0.25
validation,paper_only,joint_reasoning,3,0.19990057349695345,-0.06192001634603428,0.06583296232607982,0.2,0.1699051297182971,-0.07285141830953723,-0.10174277058282093,0.13333333333333333
validation,paper_only,reasoning,3,-0.8687927526460459,0.3292358529741126,0.2145016960228081,0.04999999999999999,-0.41287153331744086,0.13289876838466652,0.18865649885179456,0.04999999999999999
validation,paper_only,single,3,29.95375974276004,-26.530694472652275,-0.41886795563096774,0.04999999999999993,31.066378375434216,-28.274369102721025,-0.38979523161563506,0.06666666666666661
