model,rmse,rmse_ci_low,rmse_ci_high,correlation,correlation_ci_low,correlation_ci_high,directional_accuracy,directional_accuracy_ci_low,directional_accuracy_ci_high,n
baseline_reasoning,5.69583318667422,4.00154999162382,7.288072471885785,0.6268523471472945,0.32289117275799517,0.8372100887246068,0.7,0.5,0.9,20
elastic_net,4.516374610310278,3.2444238256624294,5.639494457922916,0.7734817664704353,0.5402069338462047,0.9076009800161865,0.75,0.55,0.95,20
