feature,enet_pct_increase_rmse,enet_mean_abs_shap,enet_shap_direction,feature_label
CONFIG_playerCount,-0.3885573818937848,0.0011994371761260886,0.036575857408436774,Group Size
CONFIG_numRounds,10.725129182111948,0.006065861214244258,0.011662505916995579,Game Length
CONFIG_showNRounds,1.8223214617426782,0.003049658711236145,0.011915701130970882,Horizon Knowledge
CONFIG_MPCR,2.729599849874877,0.018424361702483086,0.9682937629210973,Return Rate (MPCR)
CONFIG_allOrNothing,12.32392675282576,0.0059005894391020875,-0.016926260175613227,Contribution Type
CONFIG_chat,51.110633029609915,0.03760543518397755,0.971251762068715,Communication
CONFIG_defaultContribProp,19.961647925756267,0.005204750905514075,0.016313961916374076,Contribution Framing
CONFIG_rewardExists,4.931152552357575,0.0074452890317110694,0.8952365510683589,Reward
CONFIG_showOtherSummaries,6.507610538929062,0.005311541736573254,-0.036507275935316795,Peer Outcome Visibility
CONFIG_showPunishmentId,-0.1100190257851602,0.001479824079314829,0.012415013604024751,Actor Anonymity
CONFIG_punishmentCost,0.2978839356141676,0.0009767934367427991,0.04385063925043429,Peer Incentive Cost
CONFIG_punishmentTech,-1.2316602188117587,0.0010809684042100579,-0.07151770295029615,Punishment Technology
