wave,feature,mean_shift,mean_abs_shift,enet_pct_increase_rmse,enet_mean_abs_shap,enet_shap_direction,feature_label,category,sign_aligned
learning,CONFIG_MPCR,-0.08861031794165493,0.14706288628034464,2.729599849874877,0.018424361702483086,0.9682937629210973,Return Rate (MPCR),Game Structure,False
learning,CONFIG_allOrNothing,-0.19734690611904324,0.20781806060752922,12.32392675282576,0.0059005894391020875,-0.016926260175613227,Contribution Type,Contribution Structure,True
learning,CONFIG_chat,0.48946616790645836,0.5775081344965123,51.110633029609915,0.03760543518397755,0.971251762068715,Communication,Social Information,True
learning,CONFIG_defaultContribProp,-0.016751841054359198,0.11940554398963464,19.961647925756267,0.005204750905514075,0.016313961916374076,Contribution Framing,Contribution Structure,False
learning,CONFIG_numRounds,-0.0549442976000808,0.06731461265430443,10.725129182111948,0.006065861214244258,0.011662505916995579,Game Length,Game Structure,False
learning,CONFIG_playerCount,0.05307141533935539,0.1638732201159266,-0.3885573818937848,0.0011994371761260886,0.036575857408436774,Group Size,Game Structure,True
learning,CONFIG_punishmentCost,0.07412865049092024,0.15163742520690557,0.2978839356141676,0.0009767934367427991,0.04385063925043429,Peer Incentive Cost,Incentive Mechanisms,True
learning,CONFIG_punishmentTech,0.01853422080771964,0.0881854063563793,-1.2316602188117587,0.0010809684042100579,-0.07151770295029615,Punishment Technology,Incentive Mechanisms,False
learning,CONFIG_rewardExists,0.04561997353352635,0.13954657479165292,4.931152552357575,0.0074452890317110694,0.8952365510683589,Reward,Incentive Mechanisms,True
learning,CONFIG_showNRounds,0.15921309739202721,0.18220868735299003,1.8223214617426782,0.003049658711236145,0.011915701130970882,Horizon Knowledge,Game Structure,True
learning,CONFIG_showOtherSummaries,-0.09332014423609737,0.14745183516146113,6.507610538929062,0.005311541736573254,-0.036507275935316795,Peer Outcome Visibility,Social Information,True
learning,CONFIG_showPunishmentId,-0.019491879611293738,0.0896954401426328,-0.1100190257851602,0.001479824079314829,0.012415013604024751,Actor Anonymity,Social Information,False
validation,CONFIG_MPCR,0.07188478883008657,0.0840951397730448,2.729599849874877,0.018424361702483086,0.9682937629210973,Return Rate (MPCR),Game Structure,True
validation,CONFIG_allOrNothing,0.006713839937188408,0.04634297341451511,12.32392675282576,0.0059005894391020875,-0.016926260175613227,Contribution Type,Contribution Structure,False
validation,CONFIG_chat,0.0749707758141739,0.08492191728767383,51.110633029609915,0.03760543518397755,0.971251762068715,Communication,Social Information,True
validation,CONFIG_defaultContribProp,0.05957217807920013,0.06923978025024251,19.961647925756267,0.005204750905514075,0.016313961916374076,Contribution Framing,Contribution Structure,True
validation,CONFIG_numRounds,0.017303570642033663,0.04451416619424431,10.725129182111948,0.006065861214244258,0.011662505916995579,Game Length,Game Structure,True
validation,CONFIG_playerCount,-0.04410331112441076,0.05851976326362481,-0.3885573818937848,0.0011994371761260886,0.036575857408436774,Group Size,Game Structure,False
validation,CONFIG_punishmentCost,-0.09238894151215202,0.10265955534407167,0.2978839356141676,0.0009767934367427991,0.04385063925043429,Peer Incentive Cost,Incentive Mechanisms,False
validation,CONFIG_punishmentTech,-0.0564542626769586,0.0689902787560471,-1.2316602188117587,0.0010809684042100579,-0.07151770295029615,Punishment Technology,Incentive Mechanisms,True
validation,CONFIG_rewardExists,-0.0397331957475549,0.07472631812061568,4.931152552357575,0.0074452890317110694,0.8952365510683589,Reward,Incentive Mechanisms,False
validation,CONFIG_showNRounds,-0.02756164757169573,0.03867411497027668,1.8223214617426782,0.003049658711236145,0.011915701130970882,Horizon Knowledge,Game Structure,False
validation,CONFIG_showOtherSummaries,-0.048512606680645685,0.06435863204559389,6.507610538929062,0.005311541736573254,-0.036507275935316795,Peer Outcome Visibility,Social Information,True
validation,CONFIG_showPunishmentId,-0.05561350179436448,0.06397817516563606,-0.1100190257851602,0.001479824079314829,0.012415013604024751,Actor Anonymity,Social Information,False
