wave,source,variation,family,mode,input_group,rmse,correlation,directional_accuracy,r2,n
validation,validation_batch,baseline,baseline,single,baseline,6.917200003870206,0.6133012819529498,0.65,0.05899622905074109,20
validation,validation_batch,baseline_reasoning,baseline,reasoning,baseline,5.69583318667422,0.6268523471472945,0.7,0.3619639450741493,20
validation,validation_batch,baseline_joint,baseline,joint,baseline,6.940654339734114,0.5295673978611708,0.65,0.05260403677636061,20
validation,validation_batch,baseline_joint_reasoning,baseline,joint_reasoning,baseline,6.659046308229082,0.5504489095313153,0.6,0.12792313010227552,20
validation,validation_batch,both_contrastive,both_contrastive,single,both,6.3654235749957095,0.7742985130953652,0.7,0.20313396862040167,20
validation,validation_batch,both_contrastive_reasoning,both_contrastive,reasoning,both,6.114896496224247,0.7338993843836635,0.65,0.26462490345210987,20
validation,validation_batch,both_contrastive_joint,both_contrastive,joint,both,6.411041270760928,0.722916410997191,0.6,0.1916715900860969,20
validation,validation_batch,both_contrastive_joint_reasoning,both_contrastive,joint_reasoning,both,6.222734974973875,0.7650290954281587,0.65,0.23845896930459676,20
validation,validation_batch,both_ensemble,both_ensemble,single,both,8.789958669991936,0.5566276083908986,0.45,-0.5195128034360064,20
validation,validation_batch,both_ensemble_reasoning,both_ensemble,reasoning,both,10.821196916647136,0.6481064549706288,0.5,-1.3029329726403862,20
validation,validation_batch,both_ensemble_joint,both_ensemble,joint,both,8.833285434811623,0.4450425763914762,0.55,-0.5345294450582796,20
validation,validation_batch,both_ensemble_joint_reasoning,both_ensemble,joint_reasoning,both,6.618622706016502,0.7394222057644596,0.6,0.13847884247050668,20
validation,validation_batch,both_freeform,both_freeform,single,both,8.588511272131528,0.6685339710540438,0.55,-0.45066281103272865,20
validation,validation_batch,both_freeform_reasoning,both_freeform,reasoning,both,9.030279109453472,0.6699158010014048,0.6,-0.6037366169846261,20
validation,validation_batch,both_freeform_joint,both_freeform,joint,both,6.466087531028341,0.7036507408211108,0.55,0.17773111557741905,20
validation,validation_batch,both_freeform_joint_reasoning,both_freeform,joint_reasoning,both,8.549043215183517,0.6583963974031573,0.55,-0.43736055530932405,20
validation,validation_batch,both_quantitative,both_quantitative,single,both,8.91987461112751,0.6229827727161334,0.55,-0.5647616605424597,20
validation,validation_batch,both_quantitative_reasoning,both_quantitative,reasoning,both,10.33539896877252,0.5866769858707647,0.6,-1.1008023265163067,20
validation,validation_batch,both_quantitative_joint,both_quantitative,joint,both,8.387953110994507,0.5913148352245986,0.6,-0.38370237340235525,20
validation,validation_batch,both_quantitative_joint_reasoning,both_quantitative,joint_reasoning,both,8.156518177603623,0.6846366237067619,0.65,-0.3083993343256264,20
validation,validation_batch,both_refined,both_refined,single,both,9.261740103135988,0.5529396385699693,0.6,-0.6870030881862552,20
validation,validation_batch,both_refined_reasoning,both_refined,reasoning,both,8.316320552025564,0.6412975834565328,0.6,-0.36016983586937035,20
validation,validation_batch,both_refined_joint,both_refined,joint,both,8.367239723024673,0.5584791083455654,0.5,-0.37687692374251114,20
validation,validation_batch,both_refined_joint_reasoning,both_refined,joint_reasoning,both,6.881000228744988,0.6777376469190138,0.6,0.06881956537404099,20
validation,validation_batch,both_rules,both_rules,single,both,9.800377402142342,0.7394771279488548,0.65,-0.8889318878888173,20
validation,validation_batch,both_rules_reasoning,both_rules,reasoning,both,7.818326014638519,0.6728032249445709,0.75,-0.20214886230650242,20
validation,validation_batch,both_rules_joint,both_rules,joint,both,7.812774442910319,0.7631036767450087,0.6,-0.20044224475668315,20
validation,validation_batch,both_rules_joint_reasoning,both_rules,joint_reasoning,both,7.482302114801335,0.7072966879820421,0.55,-0.10103513365611083,20
validation,validation_batch,both_structured,both_structured,single,both,7.44482206122046,0.6374094923536746,0.5,-0.09003223668230342,20
validation,validation_batch,both_structured_reasoning,both_structured,reasoning,both,7.345419899661389,0.5791074788822069,0.6,-0.06111866087995854,20
validation,validation_batch,both_structured_joint,both_structured,joint,both,6.5322474662522705,0.693752711009361,0.65,0.1608183941882233,20
validation,validation_batch,both_structured_joint_reasoning,both_structured,joint_reasoning,both,6.235387169584402,0.720083378225317,0.6,0.23535905887207687,20
validation,validation_batch,both_uncertainty,both_uncertainty,single,both,6.861469152504672,0.7061144110075979,0.55,0.07409820059295524,20
validation,validation_batch,both_uncertainty_reasoning,both_uncertainty,reasoning,both,6.296902330100616,0.6759277033756788,0.65,0.22019752020166383,20
validation,validation_batch,both_uncertainty_joint,both_uncertainty,joint,both,6.338016113219883,0.6655960458981851,0.6,0.20998129209451544,20
validation,validation_batch,both_uncertainty_joint_reasoning,both_uncertainty,joint_reasoning,both,6.317417577155405,0.6698887282167518,0.55,0.21510806507212588,20
validation,validation_batch,data_only_freeform,data_only_freeform,single,data_only,7.664279096704355,0.537542418059221,0.4,-0.15524293258780442,20
validation,validation_batch,data_only_freeform_reasoning,data_only_freeform,reasoning,data_only,7.428841404178853,0.55080131951397,0.45,-0.08535764932868095,20
validation,validation_batch,data_only_freeform_joint,data_only_freeform,joint,data_only,7.337964180413315,0.5325728525707165,0.4,-0.05896564911700386,20
validation,validation_batch,data_only_freeform_joint_reasoning,data_only_freeform,joint_reasoning,data_only,7.275166510628284,0.5566152468033494,0.4,-0.04091813064947636,20
validation,validation_batch,data_only_quantitative,data_only_quantitative,single,data_only,11.311845496699252,0.4880657080953509,0.4,-1.516504011559538,20
validation,validation_batch,data_only_quantitative_reasoning,data_only_quantitative,reasoning,data_only,10.568304599057427,0.5376800047815125,0.4,-1.1965512551393482,20
validation,validation_batch,data_only_quantitative_joint,data_only_quantitative,joint,data_only,10.021956056050051,0.6325523962328528,0.4,-0.9753119267568471,20
