variation,input_group,family,mode,feature,predicted_effect_feature_corr,baseline_feature_corr,feature_corr_shift_vs_matched_baseline,wave
both_contrastive,both,contrastive,single,CONFIG_playerCount,0.10981758520279884,0.1576257110807447,-0.04780812587794585,validation
both_contrastive,both,contrastive,single,CONFIG_numRounds,0.09365007719270553,0.05371145815605968,0.03993861903664585,validation
both_contrastive,both,contrastive,single,CONFIG_showNRounds,-0.30081292939390075,-0.2980260174282772,-0.0027869119656235286,validation
both_contrastive,both,contrastive,single,CONFIG_MPCR,0.19138215689256902,0.16525898747782167,0.02612316941474735,validation
both_contrastive,both,contrastive,single,CONFIG_allOrNothing,-0.18698721681958408,-0.23331444062528234,0.04632722380569826,validation
both_contrastive,both,contrastive,single,CONFIG_chat,-0.29588403813437886,-0.4712066462559778,0.17532260812159894,validation
both_contrastive,both,contrastive,single,CONFIG_defaultContribProp,0.1990396216440971,0.19160902727024523,0.007430594373851879,validation
both_contrastive,both,contrastive,single,CONFIG_rewardExists,0.27809093517396255,0.31414186365643504,-0.03605092848247249,validation
both_contrastive,both,contrastive,single,CONFIG_showOtherSummaries,-0.020023852921147976,0.05068547148938029,-0.07070932441052827,validation
both_contrastive,both,contrastive,single,CONFIG_showPunishmentId,-0.10642144081269099,-0.08306053878152236,-0.023360902031168626,validation
both_contrastive,both,contrastive,single,CONFIG_punishmentCost,-0.2382320014449606,-0.16980377118586976,-0.06842823025909084,validation
both_contrastive,both,contrastive,single,CONFIG_punishmentTech,0.07866675606071288,0.04616568678232502,0.03250106927838786,validation
both_contrastive_reasoning,both,contrastive,reasoning,CONFIG_playerCount,0.15663042220142875,0.15370220921934255,0.0029282129820862035,validation
both_contrastive_reasoning,both,contrastive,reasoning,CONFIG_numRounds,0.05531581910776667,0.07316830328148677,-0.017852484173720096,validation
both_contrastive_reasoning,both,contrastive,reasoning,CONFIG_showNRounds,-0.37053949492191446,-0.2589433001174376,-0.11159619480447686,validation
