wave,feature,n_level0,n_level1,true_mean_effect_diff_1_minus_0,true_positive_share_diff_1_minus_0,baseline_mean_effect_diff_1_minus_0,baseline_positive_share_diff_1_minus_0,baseline_reasoning_mean_effect_diff_1_minus_0,baseline_reasoning_positive_share_diff_1_minus_0,baseline_joint_mean_effect_diff_1_minus_0,baseline_joint_positive_share_diff_1_minus_0,baseline_joint_reasoning_mean_effect_diff_1_minus_0,baseline_joint_reasoning_positive_share_diff_1_minus_0,n_variants_up,n_variants_down,consistent_direction
learning_wave,CONFIG_chat,78,72,2.6864091188652344,0.007478632478632508,0.7119609021916542,-0.010683760683760687,-1.557776126119244,-0.22329059829059833,-0.2586308269739448,-0.1282051282051282,-0.6272205705636891,-0.05555555555555558,1,3,mixed
learning_wave,CONFIG_allOrNothing,73,77,0.4695531571064122,0.1106564668208504,-0.6717095561237927,0.011563778687066359,-0.6710253415896623,-0.038071517523572296,0.05144396992074518,-0.008005692937199771,0.274713850724873,-0.025262408824052618,2,2,mixed
learning_wave,CONFIG_defaultContribProp,78,72,-2.1166049148166604,-0.019230769230769218,0.2885022847533456,0.016025641025641024,-0.46957258053593454,-0.06303418803418803,-0.05183753780089195,-0.021367521367521403,-0.18004266600601992,-0.002136752136752129,1,3,mixed
learning_wave,CONFIG_rewardExists,78,72,0.7582400030719139,-0.019230769230769218,0.59916450018261,-0.0641025641025641,-0.7483221696938058,-0.06303418803418803,-0.03678370815534471,0.005341880341880323,-0.16498883636047346,-0.028846153846153855,1,3,mixed
learning_wave,CONFIG_showNRounds,71,79,-0.1976201512097493,-0.045640934212872186,-1.336738999237511,-0.04367980032091282,-1.7982608060043115,-0.10304867177750043,-0.1496603424635734,-0.0026742734890354836,0.1774924476951001,0.002852558388304449,1,3,mixed
learning_wave,CONFIG_showOtherSummaries,73,77,1.6745153761683687,0.0839708236968511,0.24038571198391434,-0.015121864436932926,0.29401688835457773,0.01529976872442626,0.02911740427701137,-0.008005692937199771,0.5993006456931296,-0.025262408824052618,4,0,up
learning_wave,CONFIG_showPunishmentId,74,76,0.29414368373782684,0.041963015647226154,-0.11809372829482978,0.012446657183499285,0.4982315011406815,0.020981507823613077,-0.06755797254352902,-0.03733997155049795,0.4107492820795149,0.027382645803698424,2,2,mixed
validation_20,CONFIG_chat,7,13,3.11867038159418,0.17582417582417587,1.2793905434609547,0.07692307692307693,0.7496831140311015,-0.06593406593406592,-0.6788883145403268,-0.20879120879120877,-1.590976226628239,-0.10989010989010983,2,2,mixed
validation_20,CONFIG_allOrNothing,11,9,1.9906943517953468,0.2828282828282829,-0.6933753152429398,-0.09090909090909091,1.2936637603152636,0.020202020202020193,0.3845728512243547,0.1313131313131313,0.39467386132536486,0.10101010101010105,3,1,mixed
validation_20,CONFIG_defaultContribProp,12,8,2.347814956377437,0.16666666666666669,1.1202382016018273,-0.08333333333333333,1.117733663293679,0.04166666666666667,1.117733663293679,0.375,1.4510669966270124,0.20833333333333331,4,0,up
validation_20,CONFIG_rewardExists,9,11,1.2722040206371037,-0.08080808080808077,1.1321852479702672,0.09090909090909091,-0.42504188648714347,-0.020202020202020193,-0.5260519874972445,-0.1313131313131313,-0.1321125935578505,-0.10101010101010105,1,3,mixed
validation_20,CONFIG_showNRounds,6,14,-4.360529140251717,-0.14285714285714285,-1.5129520431552534,-0.16666666666666666,-3.5456003704069596,-0.3333333333333333,0.025828201021611985,-0.023809523809523808,-2.7598860846926736,-0.23809523809523808,1,3,mixed
validation_20,CONFIG_showOtherSummaries,7,13,-0.21684217988427879,-0.04395604395604391,0.04881616610943329,0.07692307692307693,1.648786046234157,0.15384615384615385,0.22021461766272865,0.23076923076923078,0.6268080242561351,-0.10989010989010983,4,0,up
validation_20,CONFIG_showPunishmentId,10,10,5.193828204499641,0.2,0.5267059705421842,0.1,0.3259766019560062,0.0,-0.2740233980439939,-0.1,0.22597660195600613,0.0,3,1,mixed
