wave,input_group,mode,feature,median_value,mean_value,n_variants
learning,data_only,reasoning,CONFIG_punishmentCost,-0.05465410345388294,-0.05476452366765731,3
learning,data_only,reasoning,CONFIG_punishmentTech,0.0024678014312827065,-0.04183284946633151,3
learning,data_only,reasoning,CONFIG_rewardTech,-0.04804128305891338,-0.04925039667669041,3
learning,data_only,reasoning,control_pct,-0.4855872543453861,-0.4600922631933151,3
learning,data_only,single,CONFIG_MPCR,0.0830935217386247,0.10298857206004763,3
learning,data_only,single,CONFIG_numRounds,-0.117791107650557,-0.11459240657622145,3
learning,data_only,single,CONFIG_playerCount,0.20861508761415645,0.16474914742637414,3
learning,data_only,single,CONFIG_punishmentCost,-0.03494034050802156,-0.03026261672470612,3
learning,data_only,single,CONFIG_punishmentTech,-0.07592398088877735,-0.07658437971160047,3
learning,data_only,single,CONFIG_rewardTech,0.017076847327162,0.02192563705402074,3
learning,data_only,single,control_pct,-0.8515813831731825,-0.8341210971436555,3
learning,paper_only,joint,CONFIG_MPCR,0.05588015134797435,0.06512013567426643,3
learning,paper_only,joint,CONFIG_numRounds,-0.11651052871284576,-0.12028075951421045,3
learning,paper_only,joint,CONFIG_playerCount,0.24038818800731218,0.24799880118185857,3
learning,paper_only,joint,CONFIG_punishmentCost,0.056058127342992474,0.056505794854966256,3
learning,paper_only,joint,CONFIG_punishmentTech,-0.17688828606094698,-0.1764243736418213,3
learning,paper_only,joint,CONFIG_rewardTech,0.009541879442104953,0.008575682379899736,3
learning,paper_only,joint,control_pct,-0.901399014617115,-0.9275555848383797,3
learning,paper_only,joint_reasoning,CONFIG_MPCR,0.14457720052305542,0.1602888061926303,3
learning,paper_only,joint_reasoning,CONFIG_numRounds,0.1223921436646474,0.08943359411202277,3
learning,paper_only,joint_reasoning,CONFIG_playerCount,0.08403033151416019,0.1076839204815271,3
learning,paper_only,joint_reasoning,CONFIG_punishmentCost,0.11080232224347336,0.07195558264701794,3
learning,paper_only,joint_reasoning,CONFIG_punishmentTech,-0.05350045052910187,-0.0585036690750765,3
learning,paper_only,joint_reasoning,CONFIG_rewardTech,0.008773202164162962,0.03647756157650282,3
learning,paper_only,joint_reasoning,control_pct,-0.26855362134249755,-0.2979611208982947,3
learning,paper_only,reasoning,CONFIG_MPCR,0.02667368026736453,0.0028545503910819142,3
learning,paper_only,reasoning,CONFIG_numRounds,-0.1420728709227428,-0.10342519594668947,3
learning,paper_only,reasoning,CONFIG_playerCount,0.05661492314121841,0.08075824544507514,3
learning,paper_only,reasoning,CONFIG_punishmentCost,-0.03982582266165441,0.0034162514889269865,3
learning,paper_only,reasoning,CONFIG_punishmentTech,0.01886499535115885,-0.00689882673206487,3
learning,paper_only,reasoning,CONFIG_rewardTech,0.053011854649046564,0.006971145339213308,3
learning,paper_only,reasoning,control_pct,0.05766459188356624,0.07703402450840127,3
learning,paper_only,single,CONFIG_MPCR,0.08726211839614947,0.08983380071469448,3
learning,paper_only,single,CONFIG_numRounds,-0.07060587704955583,-0.11960629544229696,3
learning,paper_only,single,CONFIG_playerCount,0.21868466548674423,0.23043105170730546,3
learning,paper_only,single,CONFIG_punishmentCost,0.056834550316633474,0.015595361512439634,3
learning,paper_only,single,CONFIG_punishmentTech,-0.10988400463480616,-0.1033874592964859,3
learning,paper_only,single,CONFIG_rewardTech,0.02992462323255622,-0.022532495215350164,3
learning,paper_only,single,control_pct,-0.6776890340204507,-0.7178066235149511,3
validation,baseline,joint,CONFIG_MPCR,0.20135063410638407,0.20135063410638407,1
validation,baseline,joint,CONFIG_numRounds,-0.11827028215718054,-0.11827028215718054,1
validation,baseline,joint,CONFIG_playerCount,0.03667369382071379,0.03667369382071379,1
validation,baseline,joint,CONFIG_punishmentCost,0.038979212620963447,0.038979212620963447,1
validation,baseline,joint,CONFIG_punishmentTech,-0.0008223775232222922,-0.0008223775232222922,1
validation,baseline,joint,CONFIG_rewardTech,0.03103847307658741,0.03103847307658741,1
validation,baseline,joint,control_pct,-0.45796142711580534,-0.45796142711580534,1
validation,baseline,joint_reasoning,CONFIG_MPCR,0.3265445948125131,0.3265445948125131,1
validation,baseline,joint_reasoning,CONFIG_numRounds,0.10570967104744611,0.10570967104744611,1
validation,baseline,joint_reasoning,CONFIG_playerCount,-0.11481577983571777,-0.11481577983571777,1
validation,baseline,joint_reasoning,CONFIG_punishmentCost,-0.5195460886016662,-0.5195460886016662,1
validation,baseline,joint_reasoning,CONFIG_punishmentTech,0.019063349193310538,0.019063349193310538,1
validation,baseline,joint_reasoning,CONFIG_rewardTech,0.12351173049765526,0.12351173049765526,1
validation,baseline,joint_reasoning,control_pct,-0.6284459309494709,-0.6284459309494709,1
validation,baseline,reasoning,CONFIG_MPCR,0.475918091025485,0.475918091025485,1
validation,baseline,reasoning,CONFIG_numRounds,0.019903994663810907,0.019903994663810907,1
validation,baseline,reasoning,CONFIG_playerCount,0.3016475567605514,0.3016475567605514,1
validation,baseline,reasoning,CONFIG_punishmentCost,-0.011496798947134351,-0.011496798947134351,1
validation,baseline,reasoning,CONFIG_punishmentTech,0.16904843862846905,0.16904843862846905,1
validation,baseline,reasoning,CONFIG_rewardTech,0.08138488013516858,0.08138488013516858,1
validation,baseline,reasoning,control_pct,-0.7730221237238182,-0.7730221237238182,1
validation,baseline,single,CONFIG_MPCR,0.35368935867158174,0.35368935867158174,1
validation,baseline,single,CONFIG_numRounds,-0.0491591726082142,-0.0491591726082142,1
validation,baseline,single,CONFIG_playerCount,-0.0355443926860903,-0.0355443926860903,1
validation,baseline,single,CONFIG_punishmentCost,-0.3229160955210082,-0.3229160955210082,1
validation,baseline,single,CONFIG_punishmentTech,-0.3565299344128684,-0.3565299344128684,1
validation,baseline,single,CONFIG_rewardTech,-0.13166604841632365,-0.13166604841632365,1
validation,baseline,single,control_pct,-0.6679236942844734,-0.6679236942844734,1
validation,both,joint,CONFIG_MPCR,0.2659036660224815,0.2296671630280316,8
validation,both,joint,CONFIG_numRounds,-0.2143956156774457,-0.23128427439653995,8
validation,both,joint,CONFIG_playerCount,0.07776231685209135,0.021256609708001483,8
validation,both,joint,CONFIG_punishmentCost,-0.2564524300966139,-0.25210706273833605,8
validation,both,joint,CONFIG_punishmentTech,-0.1821644823600403,-0.17089892166045656,8
validation,both,joint,CONFIG_rewardTech,-0.07670103581016255,-0.0819882302728691,8
validation,both,joint,control_pct,-0.6708095882614467,-0.6271378558435129,8
validation,both,joint_reasoning,CONFIG_MPCR,0.01581399505311944,-0.009484669631223776,8
validation,both,joint_reasoning,CONFIG_numRounds,-0.11780208278149279,-0.1522494699853172,8
validation,both,joint_reasoning,CONFIG_playerCount,-0.10969383744122252,-0.11427565998342414,8
validation,both,joint_reasoning,CONFIG_punishmentCost,-0.1751579529130965,-0.12301304574674585,8
validation,both,joint_reasoning,CONFIG_punishmentTech,-0.06884345307567584,-0.023657082423030447,8
validation,both,joint_reasoning,CONFIG_rewardTech,-0.1433105329868568,-0.12366377205980524,8
validation,both,joint_reasoning,control_pct,-0.2521814299071341,-0.09776137084033229,8
validation,both,reasoning,CONFIG_MPCR,0.08195813007979405,0.06390313734150609,8
validation,both,reasoning,CONFIG_numRounds,-0.006618570422145011,0.02373563726347056,8
validation,both,reasoning,CONFIG_playerCount,-0.3001568931916568,-0.2789783386001753,8
validation,both,reasoning,CONFIG_punishmentCost,-0.024630748452417903,-0.005010436022472094,8
validation,both,reasoning,CONFIG_punishmentTech,0.11926792752679818,0.12527333766189502,8
validation,both,reasoning,CONFIG_rewardTech,-0.36637441374580826,-0.340150842526927,8
validation,both,reasoning,control_pct,0.1919953119821205,0.22778511913372998,8
validation,both,single,CONFIG_MPCR,0.3966710898360983,0.4103891581356096,8
validation,both,single,CONFIG_numRounds,-0.03764630550532158,-0.04205359146405701,8
validation,both,single,CONFIG_playerCount,0.0849818540308386,0.07858963754675966,8
validation,both,single,CONFIG_punishmentCost,-0.04508716835416962,-0.006364481564952718,8
validation,both,single,CONFIG_punishmentTech,0.18604221539955834,0.1634935720005003,8
validation,both,single,CONFIG_rewardTech,-0.20088964256865044,-0.19323893084363453,8
validation,both,single,control_pct,-0.6002333610564874,-0.5938472177036827,8
validation,data_only,joint,CONFIG_MPCR,0.19537618158346304,0.230034968769267,3
validation,data_only,joint,CONFIG_numRounds,0.07387464787542644,0.08314856561822025,3
validation,data_only,joint,CONFIG_playerCount,-0.24094822847126618,-0.12598839780470186,3
validation,data_only,joint,CONFIG_punishmentCost,-0.32998698262359677,-0.3303986368051024,3
validation,data_only,joint,CONFIG_punishmentTech,-0.012855351419878923,-0.02744238779686981,3
validation,data_only,joint,CONFIG_rewardTech,-0.34120212004750916,-0.3503979752041891,3
validation,data_only,joint,control_pct,-0.3495325586976212,-0.35911446239518313,3
