model,r2_vs_control_null,r2_ci_low,r2_ci_high,share_of_ceiling
baseline_reasoning,0.3619639450741491,-0.046076296488803944,0.6137336468129427,0.5648130733543629
elastic_net,0.5988464754844693,0.14839832579001702,0.8054816364488875,0.9344475406701704
noise_ceiling,0.6408561737505205,0.4141782355422083,0.7594818068355701,1.0
