wave,source,variation,family,mode,input_group,rmse,correlation,directional_accuracy,r2,n
validation,validation_batch,baseline,baseline,single,baseline,7.541471055480931,0.5815833527666314,0.55,-0.11851763256141679,20
validation,validation_batch,baseline_reasoning,baseline,reasoning,baseline,10.068919865829844,0.4365981432419155,0.45,-0.9938682910373822,20
validation,validation_batch,baseline_joint,baseline,joint,baseline,7.543355788461948,0.4433144316667045,0.35,-0.11907677294161267,20
validation,validation_batch,baseline_joint_reasoning,baseline,joint_reasoning,baseline,7.775154275461146,0.5267772584324578,0.45,-0.1889093100537813,20
validation,validation_batch,both_contrastive,both_contrastive,single,both,23.689033465616923,0.3451169859647032,0.65,-10.036347857232668,20
validation,validation_batch,both_contrastive_reasoning,both_contrastive,reasoning,both,8.190865474132135,0.760996840819249,0.55,-0.3194419386839287,20
validation,validation_batch,both_contrastive_joint,both_contrastive,joint,both,7.54856422279124,0.4746376011131715,0.6,-0.12062267645839131,20
validation,validation_batch,both_contrastive_joint_reasoning,both_contrastive,joint_reasoning,both,7.058678961384207,0.3744281425305228,0.4,0.020109476220838363,20
validation,validation_batch,both_ensemble,both_ensemble,single,both,29.99831610641927,0.0814337177357271,0.6,-16.698010648506617,20
validation,validation_batch,both_ensemble_reasoning,both_ensemble,reasoning,both,9.82024844845269,0.7247703981239149,0.5,-0.8965995733534529,20
validation,validation_batch,both_ensemble_joint,both_ensemble,joint,both,11.880481258279708,0.2349728308363024,0.6,-1.7758677084799852,20
validation,validation_batch,both_ensemble_joint_reasoning,both_ensemble,joint_reasoning,both,9.861330541826865,0.6339402268985461,0.45,-0.9125012603468403,20
validation,validation_batch,both_freeform,both_freeform,single,both,20.815489545388697,0.4375370719484456,0.6,-7.521262736878189,20
validation,validation_batch,both_freeform_reasoning,both_freeform,reasoning,both,9.816776384760397,0.7068737565199087,0.55,-0.8952586805176166,20
validation,validation_batch,both_freeform_joint,both_freeform,joint,both,10.480843984623212,0.311935794582357,0.65,-1.1603454878626422,20
validation,validation_batch,both_freeform_joint_reasoning,both_freeform,joint_reasoning,both,12.024694123857818,0.1549204835706341,0.65,-1.8436672315020726,20
validation,validation_batch,both_quantitative,both_quantitative,single,both,43.44755824531384,-0.0566957814284394,0.6,-36.12457118244694,20
validation,validation_batch,both_quantitative_reasoning,both_quantitative,reasoning,both,9.93262630753391,0.6023006217130892,0.5789473684210527,-0.9402553543253243,19
validation,validation_batch,both_quantitative_joint,both_quantitative,joint,both,16.60787594322707,-0.0488132390338945,0.6,-4.424489612923856,20
validation,validation_batch,both_quantitative_joint_reasoning,both_quantitative,joint_reasoning,both,7.813782811383928,0.5878904907622567,0.5,-0.20075213882559728,20
validation,validation_batch,both_refined,both_refined,single,both,18.724186104759124,0.2127007589333994,0.6,-5.895036917259569,20
validation,validation_batch,both_refined_reasoning,both_refined,reasoning,both,7.994917348308355,0.7988998427294773,0.65,-0.2570676622763597,20
validation,validation_batch,both_refined_joint,both_refined,joint,both,16.96684254830221,0.0593232723312056,0.6,-4.661516233969906,20
validation,validation_batch,both_refined_joint_reasoning,both_refined,joint_reasoning,both,6.339034658114914,0.6071149291690193,0.65,0.20972735327064085,20
validation,validation_batch,both_rules,both_rules,single,both,20.7153231495759,0.5869327757156173,0.6,-7.439449575516395,20
validation,validation_batch,both_rules_reasoning,both_rules,reasoning,both,9.098604952544688,0.7737850197114955,0.6,-0.628097148990967,20
validation,validation_batch,both_rules_joint,both_rules,joint,both,16.145062377514527,0.1755730043782706,0.6,-4.1263724048554575,20
validation,validation_batch,both_rules_joint_reasoning,both_rules,joint_reasoning,both,13.555679433182728,0.5422814422178776,0.45,-2.6138762569132217,20
validation,validation_batch,both_structured,both_structured,single,both,25.18172918512113,-0.088090992545229,0.75,-11.471014833253438,20
validation,validation_batch,both_structured_reasoning,both_structured,reasoning,both,9.722168381201774,0.755517444497762,0.5,-0.8589040545402915,20
validation,validation_batch,both_structured_joint,both_structured,joint,both,9.238003810025251,0.2674942649418029,0.55,-0.6783671542650278,20
validation,validation_batch,both_structured_joint_reasoning,both_structured,joint_reasoning,both,6.163891324196229,0.6465521479301407,0.65,0.2527934954914637,20
validation,validation_batch,both_uncertainty,both_uncertainty,single,both,9.86639732292672,0.5346828227879714,0.8,-0.9144670629597031,20
validation,validation_batch,both_uncertainty_reasoning,both_uncertainty,reasoning,both,8.432746704251588,0.7025117508290144,0.5,-0.3985204099033568,20
validation,validation_batch,both_uncertainty_joint,both_uncertainty,joint,both,10.970368720535328,0.4646518335087138,0.6,-1.3668631446522719,20
validation,validation_batch,both_uncertainty_joint_reasoning,both_uncertainty,joint_reasoning,both,7.993415154721992,0.6111585252572633,0.45,-0.2565953167867503,20
validation,validation_batch,data_only_freeform,data_only_freeform,single,data_only,24.800160310969765,-0.2684013360825024,0.65,-11.09594139609657,20
validation,validation_batch,data_only_freeform_reasoning,data_only_freeform,reasoning,data_only,8.631430697662875,0.5089615521090066,0.4,-0.46519785271930614,20
validation,validation_batch,data_only_freeform_joint,data_only_freeform,joint,data_only,9.422251410735049,0.4298295823512734,0.5,-0.7459832543568159,20
validation,validation_batch,data_only_freeform_joint_reasoning,data_only_freeform,joint_reasoning,data_only,10.571317090323957,0.4137934395186808,0.4,-1.1978036858410346,20
validation,validation_batch,data_only_quantitative,data_only_quantitative,single,data_only,32.575284058651526,0.2091128871347239,0.7,-19.86926340768834,20
validation,validation_batch,data_only_quantitative_reasoning,data_only_quantitative,reasoning,data_only,13.08027073499762,0.6438897166998264,0.4,-2.3648380304427237,20
validation,validation_batch,data_only_quantitative_joint,data_only_quantitative,joint,data_only,9.618629177867929,0.5270727503509934,0.45,-0.8195209547444204,20
validation,validation_batch,data_only_quantitative_joint_reasoning,data_only_quantitative,joint_reasoning,data_only,13.087547257331792,0.2738466979505033,0.35,-2.368582773935991,20
validation,validation_batch,data_only_structured,data_only_structured,single,data_only,19.233800235588333,-0.429849441193475,0.6,-6.275467414325765,20
validation,validation_batch,data_only_structured_reasoning,data_only_structured,reasoning,data_only,10.004396837548718,0.4447193995539003,0.3684210526315789,-0.9683962012769036,19
validation,validation_batch,data_only_structured_joint,data_only_structured,joint,data_only,8.231710146004335,0.4724584286831196,0.5,-0.33263383956461356,20
validation,validation_batch,data_only_structured_joint_reasoning,data_only_structured,joint_reasoning,data_only,6.6776520763828575,0.5017219231841019,0.6,0.12304305357866907,20
validation,validation_batch,paper_only_freeform,paper_only_freeform,single,paper_only,37.495230798240975,0.1293539657843896,0.6,-26.649212105213692,20
validation,validation_batch,paper_only_freeform_reasoning,paper_only_freeform,reasoning,paper_only,8.497080481430531,0.6510998392647236,0.5,-0.4199405483366261,20
validation,validation_batch,paper_only_freeform_joint,paper_only_freeform,joint,paper_only,16.59088674771033,0.1496778193090953,0.6,-4.413397215787472,20
validation,validation_batch,paper_only_freeform_joint_reasoning,paper_only_freeform,joint_reasoning,paper_only,6.685323697210872,0.5926102207585376,0.7,0.12102691208258065,20
validation,validation_batch,paper_only_quantitative,paper_only_quantitative,single,paper_only,41.41208071354243,0.2832950005329357,0.65,-32.72755050596017,20
validation,validation_batch,paper_only_quantitative_reasoning,paper_only_quantitative,reasoning,paper_only,11.27093740292288,0.6628205419659542,0.5,-1.4983355815582513,20
validation,validation_batch,paper_only_quantitative_joint,paper_only_quantitative,joint,paper_only,9.10913438332694,0.3681368379740131,0.6,-0.6318675853873505,20
validation,validation_batch,paper_only_quantitative_joint_reasoning,paper_only_quantitative,joint_reasoning,paper_only,9.174799669369358,0.6859193759026834,0.4,-0.6554797707727207,20
validation,validation_batch,paper_only_structured,paper_only_structured,single,paper_only,36.916236780962045,0.1627153971356637,0.6,-25.801897594673466,20
