,baseline,feature,iteration,permuted_performance,importance,model
0,5.222765062410215,# of players,0,5.12979662748164,0.982199384077661,OLS
1,5.222765062410215,# of players,1,5.155433060979139,0.9871079781252876,OLS
2,5.222765062410215,# of players,2,5.324442470359805,1.019468118273478,OLS
3,5.222765062410215,# of players,3,5.14637413380798,0.9853734702424118,OLS
4,5.222765062410215,# of players,4,5.217622444681969,0.9990153457666977,OLS
5,5.222765062410215,# of players,5,5.107797381979741,0.9779872004471482,OLS
6,5.222765062410215,# of players,6,5.235040315479051,1.002350336061866,OLS
7,5.222765062410215,# of players,7,5.148125951656587,0.9857088898578211,OLS
8,5.222765062410215,# of players,8,5.137472011797186,0.9836689857587301,OLS
9,5.222765062410215,# of players,9,5.055695660535453,0.9680113120390558,OLS
10,5.222765062410215,# of players,10,5.119470939344297,0.9802223301581463,OLS
11,5.222765062410215,# of players,11,5.051597411501178,0.9672266225143878,OLS
12,5.222765062410215,# of players,12,5.172337539498223,0.9903446694788296,OLS
13,5.222765062410215,# of players,13,5.246201379109629,1.0044873388749749,OLS
14,5.222765062410215,# of players,14,5.279064449396033,1.0107796131576015,OLS
15,5.222765062410215,# of players,15,5.133246095647427,0.9828598518805522,OLS
16,5.222765062410215,# of players,16,5.157507115814358,0.9875050962821327,OLS
17,5.222765062410215,# of players,17,5.230803637772576,1.0015391416742478,OLS
18,5.222765062410215,# of players,18,5.114704459499888,0.9793096948419007,OLS
19,5.222765062410215,# of players,19,5.248792378973562,1.0049834362167032,OLS
20,5.222765062410215,# of players,20,5.155213693383189,0.9870659759304103,OLS
21,5.222765062410215,# of players,21,5.19425267225534,0.9945407480876199,OLS
22,5.222765062410215,# of players,22,5.175308216430827,0.9909134633834196,OLS
23,5.222765062410215,# of players,23,5.088370670071706,0.9742675784316271,OLS
24,5.222765062410215,# of players,24,5.16361169610681,0.9886739369670007,OLS
25,5.222765062410215,# of players,25,5.185432336961695,0.9928519232624085,OLS
26,5.222765062410215,# of players,26,5.20856515151284,0.9972811507453062,OLS
27,5.222765062410215,# of players,27,5.159310369771432,0.9878503643413936,OLS
28,5.222765062410215,# of players,28,5.152753808231626,0.9865949830517018,OLS
29,5.222765062410215,# of players,29,5.035089318354985,0.9640658268536743,OLS
30,5.222765062410215,# of rounds,0,5.36390581603879,1.0270241437135297,OLS
31,5.222765062410215,# of rounds,1,5.528604324958396,1.0585588780834498,OLS
32,5.222765062410215,# of rounds,2,5.674275515073365,1.08645046201921,OLS
33,5.222765062410215,# of rounds,3,5.483332961455822,1.0498907946139473,OLS
