model,estimator_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman
GPT-4.1,extra_trees,133,133,0.20963075920411878,0.4368604686750798,0.20712665453172732,0.4403369963369963,0.09615707794615151,0.1169155237104029
GPT-4.1 Mini,extra_trees,133,133,0.04009856110592791,0.2831332061497026,0.03883299127457183,0.27725518925518927,0.18665939304382126,0.17048526475213757
GPT-5 Mini,extra_trees,133,133,0.051656879015170354,0.23578620907764664,-0.022365313039167424,0.2462954822954823,0.4688886680676263,0.09774155026651778
GPT-5 Nano,random_forest,133,133,0.022087946299121364,0.2324705930361861,-0.018299488708583066,0.2349450549450549,0.1939480038965941,0.05321107631318552
GPT-5.1,extra_trees,133,133,0.11209204152262287,0.30188939104885687,0.03175811013774452,0.312068376068376,0.3292631220571261,0.12671725902485773
