custom_id,n_gpt41,n_sonnet46,delta,smaller_model,frac_small_matched,avg_match_score,verdict
10.1093_pnasnexus_pgad091,2,16,14,gpt41,0.0,0.2,sonnet_different
10.1016_j.jesp.2022.104284,4,17,13,gpt41,1.0,0.75,sonnet_splits_gpt
10.1016_j.socec.2023.102081,4,17,13,gpt41,1.0,0.5,sonnet_splits_gpt
10.1093_qje_qjz001,4,17,13,gpt41,0.0,0.233,sonnet_different
10.1098_rstb.2008.0275,4,16,12,gpt41,0.0,0.24,sonnet_different
10.1016_j.jebo.2016.09.005,4,16,12,gpt41,1.0,0.5,sonnet_splits_gpt
10.1016_j.euroecorev.2021.103711,6,18,12,gpt41,1.0,0.963,sonnet_splits_gpt
10.1073_pnas.2415010122,3,14,11,gpt41,1.0,0.5,sonnet_splits_gpt
10.1177_0003122413512316,3,14,11,gpt41,0.667,0.389,sonnet_splits_gpt
10.1037_a0033495,2,13,11,gpt41,1.0,0.75,sonnet_splits_gpt
10.1016_j.irle.2013.07.005,3,13,10,gpt41,1.0,0.525,sonnet_splits_gpt
10.1002_ejsp.3171,3,13,10,gpt41,1.0,0.822,sonnet_splits_gpt
10.1038_s41562-025-02258-7,5,15,10,gpt41,1.0,0.47,sonnet_splits_gpt
10.2147_prbm.S370155,4,14,10,gpt41,1.0,0.661,sonnet_splits_gpt
10.2307_2786703,5,15,10,gpt41,1.0,0.48,sonnet_splits_gpt
10.1007_s11127-020-00868-5,4,13,9,gpt41,1.0,0.641,sonnet_splits_gpt
10.1016_s1090-5138(02)00157-5,4,13,9,gpt41,1.0,0.408,sonnet_splits_gpt
10.1037_pspi0000474,2,11,9,gpt41,0.0,0.077,sonnet_different
10.1093_pnasnexus_pgae200,3,11,8,gpt41,1.0,0.4,sonnet_splits_gpt
10.1086_681231,8,16,8,gpt41,1.0,0.463,sonnet_splits_gpt
10.1016_j.actpsy.2024.104608,4,12,8,gpt41,1.0,0.46,sonnet_splits_gpt
10.1016_j.jesp.2023.104566,4,12,8,gpt41,1.0,0.385,sonnet_splits_gpt
10.1007_s11127-016-0319-6,4,12,8,gpt41,0.25,0.255,sonnet_different
10.1073_pnas.1505067112,8,16,8,gpt41,1.0,0.958,sonnet_splits_gpt
10.1371_journal.pone.0026922,6,14,8,gpt41,1.0,0.667,sonnet_splits_gpt
10.1016_j.jebo.2017.01.006,7,15,8,gpt41,0.143,0.166,sonnet_different
10.1007_s10683-014-9405-0,5,13,8,gpt41,0.4,0.235,sonnet_different
10.1093_restud_rdt022,4,12,8,gpt41,1.0,0.444,sonnet_splits_gpt
10.1523_jneurosci.0595-16.2016,4,12,8,gpt41,1.0,0.6,sonnet_splits_gpt
10.1016_j.jebo.2021.04.029,6,14,8,gpt41,0.0,0.143,sonnet_different
10.1007_978-3-642-13983-3_11,6,14,8,gpt41,1.0,0.406,sonnet_splits_gpt
10.1038_s41562-020-00950-4,4,12,8,gpt41,1.0,0.523,sonnet_splits_gpt
10.1098_rspb.2012.2723,5,13,8,gpt41,0.6,0.37,sonnet_different
10.1111_eth.12223,8,16,8,gpt41,1.0,0.594,sonnet_splits_gpt
10.1016_j.euroecorev.2016.08.004,8,15,7,gpt41,1.0,0.412,sonnet_splits_gpt
10.1111_j.1467-937X.2010.00608.x,5,12,7,gpt41,1.0,0.64,sonnet_splits_gpt
10.1162_jeea.2005.3.2-3.303,5,12,7,gpt41,0.0,0.209,sonnet_different
10.1016_j.geb.2007.09.004,3,10,7,gpt41,0.0,0.0,sonnet_different
10.1111_j.0021-9029.2006.00042.x,9,16,7,gpt41,1.0,1.0,sonnet_splits_gpt
10.1016_j.socec.2011.04.001,7,14,7,gpt41,1.0,0.441,sonnet_splits_gpt
10.1007_s10683-015-9452-1,5,12,7,gpt41,0.8,0.432,sonnet_splits_gpt
10.1038_s41467-023-38592-5,4,11,7,gpt41,1.0,0.393,sonnet_splits_gpt
10.1038_s41598-023-46944-w,4,11,7,gpt41,1.0,0.768,sonnet_splits_gpt
10.1257_000282803321455359,3,9,6,gpt41,1.0,0.436,sonnet_splits_gpt
10.1016_j.jpubeco.2015.03.007,5,11,6,gpt41,1.0,1.0,sonnet_splits_gpt
10.1177_0098628319834208,1,7,6,gpt41,0.0,0.125,sonnet_different
10.1371_journal.pone.0267251,6,12,6,gpt41,1.0,0.62,sonnet_splits_gpt
10.1126_sciadv.abj7377,4,10,6,gpt41,1.0,0.527,sonnet_splits_gpt
10.1371_journal.pone.0273014,3,9,6,gpt41,1.0,1.0,sonnet_splits_gpt
10.1098_rsif.2011.0063,5,10,5,gpt41,0.0,0.2,sonnet_different
10.3389_fpsyg.2019.02956,9,14,5,gpt41,1.0,0.937,sonnet_splits_gpt
10.1371_journal.pone.0326564,3,8,5,gpt41,0.0,0.116,sonnet_different
10.1016_j.geb.2017.02.007,6,11,5,gpt41,0.167,0.163,sonnet_different
10.1016_j.geb.2025.01.011,5,10,5,gpt41,1.0,0.6,sonnet_splits_gpt
10.1257_aer.98.2.494,9,14,5,gpt41,0.889,0.541,sonnet_splits_gpt
10.1016_j.jebo.2023.04.028,5,10,5,gpt41,1.0,0.558,sonnet_splits_gpt
10.1177_1948550616639650,5,10,5,gpt41,1.0,0.5,sonnet_splits_gpt
10.1080_09638180.2011.631734,5,10,5,gpt41,1.0,0.95,sonnet_splits_gpt
10.1371_journal.pone.0061458,4,9,5,gpt41,0.25,0.284,sonnet_different
10.1111_ecin.12766,4,8,4,gpt41,1.0,0.833,sonnet_splits_gpt
10.1086_684229,7,11,4,gpt41,1.0,0.692,sonnet_splits_gpt
10.1016_j.jebo.2021.09.024,5,9,4,gpt41,1.0,0.6,sonnet_splits_gpt
10.1016_j.jeem.2018.07.004,6,10,4,gpt41,1.0,0.683,sonnet_splits_gpt
10.1016_j.jpubeco.2017.03.002,4,8,4,gpt41,1.0,1.0,sonnet_splits_gpt
10.1038_srep23919,4,8,4,gpt41,0.75,0.335,sonnet_splits_gpt
10.1016_j.leaqua.2019.04.003,4,8,4,gpt41,0.25,0.28,sonnet_different
10.1038_415424a,2,6,4,gpt41,0.0,0.258,sonnet_different
10.1111_geer.12103,1,5,4,gpt41,1.0,0.385,sonnet_splits_gpt
10.7717_peerj.450,6,10,4,gpt41,1.0,0.514,sonnet_splits_gpt
10.1002_soej.12487,4,8,4,gpt41,0.0,0.195,sonnet_different
10.2307_2669365,6,10,4,gpt41,1.0,0.741,sonnet_splits_gpt
10.1007_s10683-022-09758-7,4,8,4,gpt41,1.0,1.0,sonnet_splits_gpt
10.1371_journal.pone.0175472,3,7,4,gpt41,0.333,0.267,sonnet_different
10.1177_0190272512442397,6,10,4,gpt41,1.0,0.63,sonnet_splits_gpt
10.1016_j.ecolecon.2011.05.011,4,8,4,gpt41,1.0,0.565,sonnet_splits_gpt
10.1007_s00355-020-01284-w,4,8,4,gpt41,1.0,0.364,sonnet_splits_gpt
10.1177_0022002714560349,4,8,4,gpt41,0.5,0.321,sonnet_different
10.1006_obhd.1995.1015,7,11,4,gpt41,1.0,0.6,sonnet_splits_gpt
10.1257_mic.3.4.77,6,10,4,gpt41,1.0,0.681,sonnet_splits_gpt
10.1002_mde.2877,8,12,4,gpt41,1.0,0.623,sonnet_splits_gpt
10.1016_j.evolhumbehav.2024.01.003,4,8,4,gpt41,1.0,0.625,sonnet_splits_gpt
10.3389_fpsyg.2017.01990,4,8,4,gpt41,1.0,0.345,sonnet_splits_gpt
10.1016_j.geb.2007.05.001,4,8,4,gpt41,1.0,0.69,sonnet_splits_gpt
10.1016_j.geb.2019.02.006,4,8,4,gpt41,0.0,0.222,sonnet_different
10.1016_j.geb.2020.07.004,5,9,4,gpt41,1.0,0.345,sonnet_splits_gpt
10.1111_j.1465-7295.2007.00051.x,4,8,4,gpt41,1.0,0.625,sonnet_splits_gpt
10.1016_j.jdeveco.2022.102845,2,6,4,gpt41,1.0,0.343,sonnet_splits_gpt
10.1002_per.474,8,11,3,gpt41,0.5,0.32,sonnet_different
10.1007_s12110-012-9136-x,3,6,3,gpt41,1.0,0.505,sonnet_splits_gpt
10.1057_s41599-020-0419-2,6,9,3,gpt41,0.667,0.291,sonnet_splits_gpt
10.1016_j.jpubeco.2012.08.003,7,10,3,gpt41,0.0,0.05,sonnet_different
10.1007_s11238-016-9572-x,4,7,3,gpt41,0.5,0.35,sonnet_different
10.1016_j.jebo.2009.03.022,3,6,3,gpt41,0.667,0.317,sonnet_splits_gpt
10.1007_s12110-002-1012-7,7,10,3,gpt41,0.714,0.471,sonnet_splits_gpt
10.1016_j.socec.2019.101478,9,12,3,gpt41,1.0,0.439,sonnet_splits_gpt
10.1007_s40881-023-00137-3,2,5,3,gpt41,1.0,0.429,sonnet_splits_gpt
10.1016_j.jenvp.2020.101441,5,8,3,gpt41,0.4,0.419,sonnet_different
10.1111_1475-4932.12073,6,9,3,gpt41,0.0,0.0,sonnet_different
10.1016_j.jebo.2024.04.016,4,7,3,gpt41,1.0,0.567,sonnet_splits_gpt
10.1111_j.1749-6632.2009.04503.x,1,4,3,gpt41,1.0,0.6,sonnet_splits_gpt
10.1016_j.cub.2010.10.027,4,7,3,gpt41,0.25,0.235,sonnet_different
10.1098_rsbl.2012.0470,3,6,3,gpt41,1.0,0.333,sonnet_splits_gpt
10.1016_j.euroecorev.2021.103862,6,9,3,gpt41,1.0,0.667,sonnet_splits_gpt
10.1038_s41562-022-01457-w,8,10,2,gpt41,0.875,0.554,sonnet_splits_gpt
10.1016_s0167-2681(02)00098-7,4,6,2,gpt41,0.25,0.235,sonnet_different
10.3390_e22020199,3,5,2,gpt41,0.667,0.336,sonnet_splits_gpt
10.1098_rspb.2021.2174,6,8,2,gpt41,1.0,1.0,sonnet_splits_gpt
10.1126_sciadv.1601444,2,4,2,gpt41,1.0,0.5,sonnet_splits_gpt
10.1038_nature01474,3,5,2,gpt41,1.0,0.415,sonnet_splits_gpt
10.1177_0022002703258795,4,6,2,gpt41,1.0,0.518,sonnet_splits_gpt
10.1086_699547,7,9,2,gpt41,1.0,0.333,sonnet_splits_gpt
10.1628_093245616x14500948554072,6,8,2,gpt41,1.0,0.622,sonnet_splits_gpt
10.1561_105.00000200_app,3,5,2,gpt41,1.0,0.356,sonnet_splits_gpt
10.1111_j.1420-9101.2010.01936.x,2,4,2,gpt41,1.0,0.333,sonnet_splits_gpt
10.1371_journal.pone.0269523,2,4,2,gpt41,1.0,0.67,sonnet_splits_gpt
