field,type,n_condition_pairs,n_agree,n_disagree,agreement_rate,n_both_missing,n_one_missing,n_both_present,n_agree_present,agreement_rate_present,pct_both_missing
METHOD_analytical,binary,3315,3315,0,1.0,0,0,3315,3315,1.0,0.0
METHOD_simulation,binary,3315,3309,6,0.9981900452488688,0,0,3315,3309,0.9981900452488688,0.0
METHOD_empirical,binary,3315,3299,16,0.9951734539969834,0,0,3315,3299,0.9951734539969834,0.0
METHOD_experiment,binary,3315,3291,24,0.9927601809954751,0,0,3315,3291,0.9927601809954751,0.0
source_data,binary,3315,3288,27,0.9918552036199095,0,0,3315,3288,0.9918552036199095,0.0
CONFIG_showRewardId,binary,3315,3272,43,0.987028657616893,3239,42,34,33,0.9705882352941176,0.9770739064856712
CONFIG_rewardTech,numeric,3315,3199,116,0.9650075414781297,3119,105,91,80,0.8791208791208791,0.9408748114630467
CONFIG_rewardCost,numeric,3315,3187,128,0.9613876319758673,3095,120,100,92,0.92,0.9336349924585219
METHOD_lab,binary,3315,3159,156,0.9529411764705882,0,1,3314,3159,0.9532287266143633,0.0
experiment_environment,binary,3315,3130,185,0.9441930618401206,0,1,3314,3130,0.9444779722389861,0.0
CONFIG_defaultContribProp,numeric,3315,3018,297,0.9104072398190045,1134,282,1899,1884,0.9921011058451816,0.3420814479638009
CONFIG_playerCount,numeric,3315,3008,307,0.9073906485671192,103,112,3100,2905,0.9370967741935484,0.031070889894419307
CONFIG_endowment,numeric,3315,3006,309,0.9067873303167421,734,211,2370,2272,0.9586497890295359,0.22141779788838611
CONFIG_rewardExists,binary,3315,2926,389,0.8826546003016591,2734,384,197,192,0.9746192893401016,0.82473604826546
CONFIG_numRounds,numeric,3315,2905,410,0.8763197586726998,185,145,2985,2720,0.9112227805695142,0.05580693815987934
CONFIG_allOrNothing,binary,3315,2901,414,0.8751131221719457,169,220,2926,2732,0.9336978810663021,0.050980392156862744
CONFIG_showPunishmentId,binary,3315,2901,414,0.8751131221719457,2558,400,357,343,0.9607843137254902,0.7716440422322776
CONFIG_MPCR,numeric,3315,2897,418,0.8739064856711916,1803,266,1246,1094,0.8780096308186196,0.5438914027149321
CONFIG_showNRounds,binary,3315,2896,419,0.873604826546003,2601,417,297,295,0.9932659932659933,0.7846153846153846
CONFIG_punishmentCost,numeric,3315,2869,446,0.8654600301659126,1936,398,981,933,0.9510703363914373,0.5840120663650076
CONFIG_punishmentTech,numeric,3315,2826,489,0.8524886877828054,2090,406,819,736,0.8986568986568987,0.6304675716440422
participant_country,text,3315,2764,551,0.8337858220211162,96,88,3131,2668,0.8521239220696263,0.02895927601809955
DV_efficiencyReported,binary,3315,2590,725,0.7812971342383107,0,0,3315,2590,0.7812971342383107,0.0
CONFIG_punishmentExists,binary,3315,2562,753,0.7728506787330317,1109,701,1505,1453,0.9654485049833887,0.33453996983408746
number_IVs,numeric,3315,2527,788,0.7622926093514328,4,7,3304,2523,0.7636198547215496,0.0012066365007541479
CONFIG_chat,binary,3315,2430,885,0.7330316742081447,1565,860,890,865,0.9719101123595506,0.4720965309200603
CONFIG_showOtherSummaries,binary,3315,2334,981,0.7040723981900453,473,637,2205,1861,0.8439909297052154,0.14268476621417797
participant_gender,text,3315,2287,1028,0.689894419306184,1547,121,1647,740,0.4493017607771706,0.4666666666666667
participant_age,text,3315,2075,1240,0.6259426847662142,1791,111,1413,284,0.20099079971691436,0.5402714932126697
participant_education,text,3315,1458,1857,0.43981900452488687,796,161,2358,662,0.28074639525021206,0.24012066365007542
number_DVs,numeric,3315,1107,2208,0.3339366515837104,0,0,3315,1107,0.3339366515837104,0.0
data_id,text,3315,1081,2234,0.32609351432880845,0,0,3315,1081,0.32609351432880845,0.0
IVs,text,3315,941,2374,0.28386123680241326,0,0,3315,941,0.28386123680241326,0.0
DVs,text,3315,575,2740,0.17345399698340874,0,0,3315,575,0.17345399698340874,0.0
DVs_Definitions,text,3315,215,3100,0.06485671191553545,0,0,3315,215,0.06485671191553545,0.0
indep_var,text,3315,34,3281,0.010256410256410256,0,6,3309,34,0.010275007555152614,0.0
other_game_info,text,3315,0,3315,0.0,0,1,3314,0,0.0,0.0
