feature_key,feature_label,mean_abs_shap,mean_signed_shap
citation,Citation,0.004114772527379529,-0.0007708800916309927
mathphysics_share,Math/Physics Journals,0.006543896104386837,0.0005358241569015541
journal_impact,Journal Impact Factor,0.005146995290108897,0.0009149667710050246
empirical_share,Empirical Papers,0.004098996384565888,-0.000596276130923259
collection_size,Number of Papers,0.005653148084832529,-0.000161269942799008
recent,Publication Year,0.0044837012617671215,-0.00039735521628057516
psychology_share,Psychology Journals,0.0015239699734707968,0.00013153565272169262
multidisciplinary_share,Multidisciplinary Journals,0.002950759457423142,0.00021634201730176715
biology_share,Biology Journals,0.0012726452584512747,-2.578133569292572e-05
economics_share,Economics Journals,0.000776811885169562,-3.1607114672990746e-05
