feature_key,feature_label,mean_abs_shap,mean_signed_shap
journal_impact,Journal Impact Factor,0.009633994417539076,0.0003395417663435125
collection_size,Number of Papers,0.009402117702733564,0.00016923233365629447
citation,Citation,0.006765532859505463,-0.0003320742204982639
empirical_share,Empirical Papers,0.007151305582036148,7.571127379274974e-05
recent,Publication Year,0.006008203340488046,-2.8837548650773805e-05
psychology_share,Psychology Journals,0.0016734698787590767,0.000575693041697806
mathphysics_share,Math/Physics Journals,0.003961692864705211,-0.0003527149136667382
economics_share,Economics Journals,0.0018818847478293819,-0.00024741740176469437
multidisciplinary_share,Multidisciplinary Journals,0.001454929366812443,-7.107011612456396e-06
biology_share,Biology Journals,0.004085136733032559,-0.00019202731929743544
