feature_key,feature_label,mean_abs_shap,mean_signed_shap
citation,Citation,0.013099154759713755,0.00010632978248388656
journal_impact,Journal Impact Factor,0.007324519279993913,0.0005248399874063738
mathphysics_share,Math/Physics Journals,0.009572437554829118,0.0001976935818804044
recent,Publication Year,0.009683268317613559,-0.0009357746526428877
collection_size,Number of Papers,0.007227086071626193,5.849019482467118e-05
empirical_share,Empirical Papers,0.006954485088274156,-0.0002365373258434606
psychology_share,Psychology Journals,0.002123452038908061,0.000549742601713545
biology_share,Biology Journals,0.002243626960574984,-0.00012638039462504035
economics_share,Economics Journals,0.002729680658610193,-0.000712000429271405
multidisciplinary_share,Multidisciplinary Journals,0.003328811813993467,0.0005735966540739196
