feature_key,feature_label,mean_abs_shap,mean_signed_shap
citation,Citation,0.00848700888621936,-0.0004967193217094237
mathphysics_share,Math/Physics Journals,0.007278444855947175,0.0011350755861635308
recent,Publication Year,0.006522211576815489,-0.000184583442872458
journal_impact,Journal Impact Factor,0.00535095809495597,0.0012365254904662894
collection_size,Number of Papers,0.006330158598410113,-0.00043648773372602427
empirical_share,Empirical Papers,0.006191755203054776,-0.0011566192287342158
psychology_share,Psychology Journals,0.0016283879157016612,0.00040594733771906336
multidisciplinary_share,Multidisciplinary Journals,0.002929039947335539,-0.0001679643271724832
economics_share,Economics Journals,0.001938765832325365,-0.0001706187965614777
biology_share,Biology Journals,0.0018304561671094698,-0.00016455556357280186
