model,kind,panel_label,n_items_shown,mean_augmented_correlation,sd_augmented_correlation,share_above_baseline,n_above_baseline,baseline_correlation_mean30,everything_collection_correlation
Claude Sonnet 4.6,individual_papers,"2,011 individual papers",2011,0.6565721597854087,0.026075712401830507,0.38189955246146196,768,0.6644858192216249,0.6345147993211772
Claude Sonnet 4.6,metadata_filter_collections,717 collections,716,0.6604291674311601,0.03622667594610604,0.4441340782122905,318,0.6644858192216249,0.6345147993211772
GPT-4.1,individual_papers,"2,011 individual papers",2011,0.5859601126251678,0.044140903135175345,0.20984584783689705,422,0.6145930323334075,0.5535093027771035
GPT-4.1,metadata_filter_collections,717 collections,715,0.6082825829515924,0.059615080747669816,0.4643356643356643,332,0.6145930323334075,0.5535093027771035
Gemini 2.5 Pro,individual_papers,"2,011 individual papers",2011,0.5280198709236218,0.09381706668668106,0.9070114370959722,1824,0.3993819997213735,0.39040151194208256
Gemini 2.5 Pro,metadata_filter_collections,717 collections,716,0.510857771655451,0.09635998706681188,0.8952513966480447,641,0.3993819997213735,0.39040151194208256
