model,kind,group,n_items,mean_correlation,sd_correlation,share_above_baseline,baseline_correlation_mean30
Claude Sonnet 4.6,individual_papers,Empirical,908,0.654616925750535,0.02869916417560186,0.3579295154185022,0.6644858192216249
Claude Sonnet 4.6,individual_papers,Non-empirical,1047,0.6584440284722628,0.023306580727551766,0.4078319006685769,0.6644858192216249
Claude Sonnet 4.6,type_filtered_collections,Empirical,133,0.6615134352131894,0.047509764502812774,0.46616541353383456,0.6644858192216249
Claude Sonnet 4.6,type_filtered_collections,Non-empirical,137,0.6640866994857788,0.025625928927579526,0.5255474452554745,0.6644858192216249
GPT-4.1,individual_papers,Empirical,908,0.5800033407871095,0.043952465513179655,0.16740088105726872,0.6145930323334075
GPT-4.1,individual_papers,Non-empirical,1047,0.5913890323849837,0.04367019757143823,0.24450811843361986,0.6145930323334075
GPT-4.1,type_filtered_collections,Empirical,133,0.5986657234510981,0.0744294805173654,0.38345864661654133,0.6145930323334075
GPT-4.1,type_filtered_collections,Non-empirical,137,0.6311332309333078,0.038625335701054184,0.6496350364963503,0.6145930323334075
Gemini 2.5 Pro,individual_papers,Empirical,908,0.5118550348468945,0.10712487566796437,0.8568281938325991,0.3993819997213735
Gemini 2.5 Pro,individual_papers,Non-empirical,1047,0.5428803336327147,0.0772119514052661,0.9522445081184336,0.3993819997213735
Gemini 2.5 Pro,type_filtered_collections,Empirical,133,0.4959673092217374,0.11624511865796117,0.8421052631578947,0.3993819997213735
Gemini 2.5 Pro,type_filtered_collections,Non-empirical,137,0.5282512324569869,0.06399801195975648,0.9562043795620438,0.3993819997213735
