n_design_parameters,n_papers_mentioned,n_papers_varied
0,4,99
1,2,43
2,4,5
3,25,6
4,19,1
5,25,0
6,26,0
7,27,0
8,12,0
9,4,0
10,2,0
11,1,0
12,3,0
13,0,0
14,0,0
