n_config_parameters,n_lab_conditions_mentioned,pct_lab_conditions_mentioned,n_papers_varied,pct_papers_varied
0,10,1.2706480304955527,99,64.28571428571429
1,5,0.6353240152477764,43,27.92207792207792
2,13,1.6518424396442184,5,3.2467532467532463
3,108,13.722998729351971,6,3.896103896103896
4,95,12.07115628970775,1,0.6493506493506493
5,110,13.97712833545108,0,0.0
6,130,16.518424396442185,0,0.0
7,112,14.23125794155019,0,0.0
8,75,9.529860228716645,0,0.0
9,55,6.98856416772554,0,0.0
10,28,3.5578144853875475,0,0.0
11,22,2.7954256670902162,0,0.0
12,17,2.1601016518424396,0,0.0
13,7,0.8894536213468869,0,0.0
14,0,0.0,0,0.0
