custom_id,n_design_parameters_mentioned_all_conditions,n_design_parameters_varied
10.1002_bdm.1976,12,1
10.1002_bdm.2208,5,1
10.1002_ejsp.793,3,0
10.1002_hbm.21298,7,0
10.1002_pchj.259,7,2
10.1007_s00199-018-1146-4,4,2
10.1007_s00265-014-1741-8,6,0
10.1007_s00355-017-1081-5,6,0
10.1007_s00355-021-01363-6,12,0
10.1007_s10551-011-0795-z,5,0
10.1007_s10683-011-9272-x,0,0
10.1007_s10683-013-9360-1,5,0
10.1007_s11031-014-9395-4,5,2
10.1007_s11127-016-0319-6,5,1
10.1007_s11127-021-00925-7,4,1
10.1007_s11238-022-09897-6,3,1
10.1007_s11238-023-09929-9,5,0
10.1007_s11558-025-09594-3,9,1
10.1007_s11948-014-9575-3,4,1
10.1007_s12110-003-1007-z,1,0
10.1007_s12110-009-9072-6,3,1
10.1016_j.actpsy.2024.104608,4,1
10.1016_j.amc.2020.125063,6,0
10.1016_j.chaos.2021.111183,3,0
10.1016_j.chaos.2022.112413,4,0
10.1016_j.econlet.2007.09.048,7,0
10.1016_j.econlet.2017.05.022,8,0
10.1016_j.ejpoleco.2022.102222,6,0
10.1016_j.ejpoleco.2022.102354,11,1
10.1016_j.euroecorev.2010.04.003,5,0
10.1016_j.euroecorev.2018.04.003,3,1
10.1016_j.euroecorev.2023.104659,7,0
10.1016_j.evolhumbehav.2015.12.003,3,1
10.1016_j.evolhumbehav.2016.02.001,7,1
10.1016_j.evolhumbehav.2022.10.002,3,1
10.1016_j.geb.2015.10.001,5,0
10.1016_j.geb.2019.02.006,7,0
10.1016_j.geb.2021.11.012,4,0
10.1016_j.geb.2023.02.005,7,0
10.1016_j.geb.2023.08.017,7,1
10.1016_j.geb.2025.01.011,7,1
10.1016_j.irle.2013.07.005,5,0
10.1016_j.irle.2014.03.001,7,1
10.1016_j.jebo.2008.09.007,5,0
10.1016_j.jebo.2013.04.001,3,0
10.1016_j.jebo.2017.10.009,5,1
10.1016_j.jebo.2019.03.007,7,0
10.1016_j.jebo.2019.12.007,7,0
10.1016_j.jebo.2023.01.012,3,2
10.1016_j.jebo.2023.04.028,6,3
10.1016_j.jebo.2023.06.027,4,0
10.1016_j.jebo.2024.02.003,9,0
10.1016_j.jebo.2025.107207,6,1
10.1016_j.jecp.2022.105376,4,1
10.1016_j.jeem.2023.102895,9,0
10.1016_j.jenvp.2020.101441,5,0
10.1016_j.jesp.2016.06.007,5,0
10.1016_j.jesp.2018.06.009,3,0
10.1016_j.jesp.2019.02.009,2,0
10.1016_j.jesp.2019.103823,3,1
10.1016_j.joep.2012.10.004,8,0
10.1016_j.joep.2013.07.002,8,1
10.1016_j.joep.2017.03.007,9,0
10.1016_j.joep.2018.09.006,3,1
10.1016_j.joep.2019.102193,8,0
10.1016_j.joep.2023.102657,5,0
10.1016_j.jpubeco.2015.03.012,6,3
10.1016_j.jpubeco.2015.12.012,5,0
10.1016_j.jpubeco.2016.09.001,4,0
10.1016_j.jpubeco.2016.09.008,6,1
10.1016_j.jpubeco.2019.104053,8,0
10.1016_j.jpubeco.2021.104429,8,0
10.1016_j.jrp.2016.08.004,6,0
10.1016_j.neuroimage.2019.06.047,6,0
10.1016_j.obhdp.2012.06.007,3,0
10.1016_j.socec.2011.04.001,3,0
10.1016_j.socec.2015.03.007,6,1
10.1016_j.socec.2015.12.002,7,0
10.1016_j.socec.2018.09.006,6,0
10.1016_j.socec.2023.102081,2,0
10.1016_j.ssresearch.2018.12.012,7,0
10.1016_s0167-2681(02)00098-7,7,3
10.1016_s0167-2681(98)00121-8,4,3
10.1017_s1355770x12000381,5,1
10.1037_a0011381,7,1
10.1037_npe0000011,8,4
10.1037_npe0000099,5,0
10.1037_pspi0000389,1,0
10.1037_xge0001004,7,1
10.1038_s41467-020-14712-3,3,1
10.1038_s41467-024-49779-9,6,0
10.1038_s41598-017-11580-8,0,0
10.1038_s41598-020-67757-1,5,0
10.1038_s41598-021-88663-0,0,0
10.1038_s41598-021-89675-6,6,0
10.1038_s41598-024-71106-x,6,0
10.1063_5.0147226,6,1
10.1073_pnas.0710069105,3,0
10.1073_pnas.0908855106,4,0
10.1080_0013791x.2011.650839,3,3
10.1080_00220388.2012.693169,7,0
10.1080_00220485.2018.1551097,7,0
10.1080_15534510.2019.1641147,7,0
10.1086_699547,2,0
10.1093_jleo_ewy026,6,1
10.1093_pnasnexus_pgad091,7,1
10.1093_sf_sot015,3,0
10.1098_rspb.2012.0063,3,1
10.1098_rstb.2008.0275,5,0
10.1098_rstb.2020.0304,4,2
10.1111_ajps.12139,10,0
10.1111_ecin.12477,3,0
10.1111_ecin.12713,8,0
10.1111_eth.12223,3,1
10.1111_geer.12103,7,0
10.1111_j.1467-9779.2010.01472.x,5,0
10.1111_jels.12042,6,0
10.1111_jems.12570,5,0
10.1111_jopy.12896,0,0
10.1111_jpet.12384,6,0
10.1111_jssr.12045,6,0
10.1126_sciadv.aau7296,5,0
10.1126_science.1178883,7,1
10.1177_0022002708322361,4,0
10.1177_0022002714560349,6,0
10.1177_0022002714564426,5,0
10.1177_0146167216629123,4,0
10.1177_0190272519882389,8,0
10.1177_1948550614527115,7,0
10.1257_aer.102.7.3317,8,1
10.1257_aer.90.4.980,7,0
10.1257_mic.20180336,6,0
10.1257_mic.3.4.77,4,1
10.1257_mic.6.1.290,3,0
10.1287_mnsc.2013.1848,3,0
10.1371_journal.pone.0017044,7,0
10.1371_journal.pone.0018050,7,1
10.1371_journal.pone.0044747,8,0
10.1371_journal.pone.0061458,6,0
10.1371_journal.pone.0085691,10,0
10.1371_journal.pone.0175472,5,0
10.1371_journal.pone.0248599,6,0
10.1371_journal.pone.0269523,4,1
10.1371_journal.pone.0326564,4,1
10.1523_jneurosci.0595-16.2016,4,0
10.1523_jneurosci.1642-12.2013,3,0
10.1628_093245607780182008,6,0
10.1628_093245616x14500948554072,8,1
10.2307_2667052,2,3
10.3389_fnbeh.2016.00053,12,1
10.3389_fnhum.2013.00252,4,0
10.3389_fpsyg.2018.01865,3,0
10.3389_fpsyg.2022.794953,5,1
10.3390_su12198175,6,0
