round_bin,2,3,4,5,6,7-10,11-15,>15
1,77,44,31,23,6,6,0,0
2-5,26,7,5,0,2,0,2,0
6-10,20,18,102,23,0,9,1,0
11-15,21,4,25,4,5,0,0,0
16-20,17,17,50,20,2,5,4,0
21-30,1,9,17,2,0,6,11,0
31-50,29,12,8,0,0,11,3,0
>50,17,3,0,0,0,0,0,0
