model,human_reference,model_corr,human_corr,delta_corr_model_minus_human,delta_ci95_low,delta_ci95_high,delta_ci99_low,delta_ci99_high,delta_ci999_low,delta_ci999_high,p_bootstrap_two_sided,verdict,n_boot
Claude Sonnet 4.6,Laypeople WoC,0.6644858192216249,0.6038335627266781,0.060652256494946766,-0.08935481680482305,0.24666382305699386,-0.1442615990320759,0.32444630457783236,-0.2341916877099098,0.4295504566059046,0.4692,n.s.,50000
Claude Sonnet 4.6,Experts WoC,0.6644858192216249,0.605577147311127,0.05890867191049787,-0.05287044822446384,0.2087348478353252,-0.09053468100272358,0.27424098893284066,-0.14389614576482473,0.35885841496017723,0.35428,n.s.,50000
GPT-4.1,Laypeople WoC,0.6145930323334073,0.6038335627266781,0.010759469606729244,-0.07163783580950514,0.09710962519861895,-0.09826021880328062,0.12431183837821268,-0.13035471244561322,0.15687675434363468,0.76616,n.s.,50000
GPT-4.1,Experts WoC,0.6145930323334073,0.605577147311127,0.009015885022280345,-0.0553805371421778,0.07720048404969596,-0.07886547104784186,0.10072875705961956,-0.10660718267203413,0.13248722336981053,0.71852,n.s.,50000
GPT-4.1 Mini,Laypeople WoC,0.6154436723939997,0.6038335627266781,0.011610109667321566,-0.11125814675682398,0.11819544762913106,-0.16558799097407687,0.15539450523978882,-0.23615987311392686,0.21642280192326716,0.8204,n.s.,50000
GPT-4.1 Mini,Experts WoC,0.6154436723939997,0.605577147311127,0.009866525082872668,-0.07404148475332335,0.08811432099845236,-0.11268082637158022,0.1191938933847242,-0.15633672880989463,0.15981151942893712,0.78384,n.s.,50000
GPT-4.1 Nano,Laypeople WoC,0.5212166586200164,0.6038335627266781,-0.08261690410666167,-0.19333545201583371,0.02068320640216789,-0.23658884696830523,0.048975717207741874,-0.2855936968237361,0.08939895688456019,0.12784,n.s.,50000
GPT-4.1 Nano,Experts WoC,0.5212166586200164,0.605577147311127,-0.08436048869111057,-0.21864883250609574,0.04729077913062541,-0.26855961243071325,0.08914806794452862,-0.330016912640896,0.14287686243484,0.22836,n.s.,50000
GPT-5 Mini,Laypeople WoC,0.5616469732000592,0.6038335627266781,-0.04218658952661891,-0.2782008856002574,0.1621637575924894,-0.3658141788316521,0.22179262590928903,-0.5022115579496924,0.2943457880310086,0.75028,n.s.,50000
GPT-5 Mini,Experts WoC,0.5616469732000592,0.605577147311127,-0.04393017411106781,-0.23904748115391736,0.12187369520420946,-0.31792784415227077,0.17403477379239288,-0.41411541095120236,0.23885707923430224,0.66256,n.s.,50000
GPT-5 Nano,Laypeople WoC,0.5984576014590568,0.6038335627266781,-0.005375961267621299,-0.08085482018370951,0.060019970955700386,-0.10982895506709213,0.08338223924702359,-0.145852061566224,0.11364735655465745,0.86828,n.s.,50000
GPT-5 Nano,Experts WoC,0.5984576014590568,0.605577147311127,-0.007119545852070197,-0.08144822363391345,0.05675050270573066,-0.1117830961053512,0.07967210548433215,-0.1542797767864474,0.11341786874114254,0.86192,n.s.,50000
GPT-5.1,Laypeople WoC,0.6526169304695439,0.6038335627266781,0.048783367742865846,-0.1509061108096707,0.25662013484506196,-0.24642664855390006,0.33993706457656786,-0.42913157115294187,0.45088368406826657,0.62228,n.s.,50000
GPT-5.1,Experts WoC,0.6526169304695439,0.605577147311127,0.04703978315841695,-0.11409392362125931,0.21541906551244702,-0.19053858963035572,0.28410234883068064,-0.31998249186389105,0.3769373785737235,0.55496,n.s.,50000
Gemini 2.5 Pro,Laypeople WoC,0.39938199972137367,0.6038335627266781,-0.20445156300530443,-0.5249715800237388,0.10736645777890985,-0.6576554814349848,0.20628832793103904,-0.8521544490148779,0.33943300709668617,0.19264,n.s.,50000
Gemini 2.5 Pro,Experts WoC,0.39938199972137367,0.605577147311127,-0.20619514758975332,-0.5021495435867717,0.07762318083096881,-0.6162604180730078,0.16799136073767867,-0.7792300561709358,0.2845746885951883,0.15432,n.s.,50000
