panel,model,model_display,n_rows,n_groups,in_sample_r2,in_sample_pearson_r,cv_r2,cv_pearson_r,mean_fold_r2,sd_fold_r2,mean_fold_pearson_r,sd_fold_pearson_r
Individual papers,Claude Sonnet 4.6,Claude Sonnet 4.6,2011,2011,0.018898542204746738,0.13747196879635748,0.006539377709760985,0.093592009661145,0.006005312954748221,0.005580325547798301,0.09563370786144768,0.022442678623927896
Individual papers,GPT-4.1,GPT-4.1,2010,2010,0.02221122073902604,0.14903429383543268,0.005882841618771839,0.09705026685408724,0.002887220341685115,0.017201521123459917,0.11215050143231957,0.03951444097267668
Individual papers,Gemini 2.5 Pro,Gemini Pro 2.5,2011,2011,0.038862102557004286,0.1971347319905965,0.029567780771706298,0.17383888769266073,0.03065796251276016,0.03464488551278623,0.1825613885696008,0.07985430265341192
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,717,717,0.10129756862683204,0.31827278964252026,0.07763814494927135,0.2816017431834089,0.07698030170246492,0.017271239710679988,0.2838789558654117,0.027115710931440523
Collections,GPT-4.1,GPT-4.1,716,716,0.1900897080305336,0.43599278437897765,0.16766063990020297,0.4105820839362807,0.16657054475488908,0.05722085456014436,0.4143115993365658,0.05623501082567857
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,717,717,0.10215367374936757,0.3196148834916287,0.08542596883731968,0.2937162105838519,0.08409348557305092,0.0479556266924537,0.2930136774950424,0.0779755428141585
